SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K01,"The key features of Australia’s system of government, including democracy, the Australian Constitution, responsible government and federalism",,"Describing Australia’s system of responsible and representative government set out in the Australian Constitution, with a focus on the roles of the Governor-General, the Senate and the House of Representatives, the Prime Minister and Cabinet, the Opposition and the members of parliament"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K01,"The key features of Australia’s system of government, including democracy, the Australian Constitution, responsible government and federalism",,Explaining the origins of the Australian system of government by acknowledging the aspects of the Westminster and Washington systems in the overall model of Australia’s Federation
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K01,"The key features of Australia’s system of government, including democracy, the Australian Constitution, responsible government and federalism",,"Exploring key democratic concepts, including popular sovereignty, representation, accountability and a partial separation of powers through the election of members of a legislative branch who answer to the people and from whom the executive branch is drawn"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K01,"The key features of Australia’s system of government, including democracy, the Australian Constitution, responsible government and federalism",,Investigating Australia as a federation with a division of powers and responsibilities between Commonwealth and state/territory governments
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K02,"The characteristics of Australia’s democracy, including freedom of speech, association, assembly, religion and movement",,"Explaining the origins of the characteristics of Australian democracy and how democratic freedoms, such as freedom of speech, association, assembly, religion and movement, support active participation in Australia’s democracy, and investigating cases where the “bounds of law” can limit these freedoms and why this occurs"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K02,"The characteristics of Australia’s democracy, including freedom of speech, association, assembly, religion and movement",,"Identifying how citizens can participate in a democracy (for example, engaging in community organisations, volunteering, social enterprise and collaborative problem-solving)"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K02,"The characteristics of Australia’s democracy, including freedom of speech, association, assembly, religion and movement",,"Comparing the effectiveness of different ways of participating in Australia’s democracy, including voting, standing for parliament, contributing to committees of inquiry, organising petitions or social media campaigns, and protesting"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K02,"The characteristics of Australia’s democracy, including freedom of speech, association, assembly, religion and movement",,"Identifying characteristics of formal citizenship and the attributes of active citizenship, and identifying who has been included and excluded from the rights and freedoms of citizenship in Australia, particularly in relation to First Nations Australians"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Government and democracy,AC9HC7K02,"The characteristics of Australia’s democracy, including freedom of speech, association, assembly, religion and movement",,"Examining the active citizenship of First Nations Australians such as Neville Bonner, Adam Goodes, Noel Pearson, Murundoo Yanner, Charles Mene, Ellie Gaffney, Evelyn Scott and Pat O'Shane, and their contributions to the rights and freedoms of Australian First Nations Peoples"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Laws and citizens,AC9HC7K03,"The key principles and features of the Australian legal system, including the Australian Constitution, the rule of law and the court system",,"Exploring the origins of Australia’s legal system, including British common law, the Magna Carta, an independent judiciary and the Court hierarchies, both federal and state/territory"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Laws and citizens,AC9HC7K03,"The key principles and features of the Australian legal system, including the Australian Constitution, the rule of law and the court system",,"Explaining the principles of justice, fairness, equality, the rule of law and the importance of equal access to the protections provided by the law"
HASS,Civics and Citizenship,Year 7,Knowledge and understanding,Laws and citizens,AC9HC7K03,"The key principles and features of the Australian legal system, including the Australian Constitution, the rule of law and the court system",,Making connections between a fair and just legal system and democratic principles
