SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
English,English,Year 3,Language,Language for interacting with others,AC9E3LA01,"Understand that cooperation with others depends on shared understanding of social conventions, including turn-taking language, which vary according to the degree of formality",,"Recognising and using collaborative language in group and pair work; for example, initiating a topic, changing a topic through negotiation, affirming other speakers and building on their comments, asking relevant questions, providing useful feedback, prompting and checking individual and group understanding","EAL/D students may benefit from: •culturally sensitive introduction to collaborative learning protocols, if they are accustomed to school environments where collaborating with other students is not expected"
English,English,Year 3,Language,Language for interacting with others,AC9E3LA01,"Understand that cooperation with others depends on shared understanding of social conventions, including turn-taking language, which vary according to the degree of formality",,"Understanding some first nations australian cultural protocols, cultural practices, specific roles and ways of interacting and speaking",
English,English,Year 3,Language,Language for interacting with others,AC9E3LA02,"Understand how the language of evaluation and emotion, such as modal verbs, can be varied to be more or less forceful",,"Exploring how modal verbs; for example, ""must"", ""might"" and ""could"" indicate degrees of probability or obligation",EAL/D students may benefit from: •substituting different modal verbs in a sentence and explaining how meaning is changed; for example ‘We must arrive by 11am’; ‘We might arrive by 11am’.
English,English,Year 3,Language,Language for interacting with others,AC9E3LA02,"Understand how the language of evaluation and emotion, such as modal verbs, can be varied to be more or less forceful",,"Exploring how modal verbs; for example, ""must"", ""might"" and ""could"" indicate degrees of probability or obligation","•discuss and provide examples of the use of low modality to persuade or be polite, for example. Would you mind speaking more quietly?"
English,English,Year 3,Language,Language for interacting with others,AC9E3LA02,"Understand how the language of evaluation and emotion, such as modal verbs, can be varied to be more or less forceful",,"Recognising how choice of adverbs, nouns and verbs present different evaluations of characters in texts",
English,English,Year 3,Language,Language for interacting with others,AC9E3LA02,"Understand how the language of evaluation and emotion, such as modal verbs, can be varied to be more or less forceful",,"Exploring examples of language that demonstrate a range of emotions and positions, and building a vocabulary to express judgements about characters or events; for example, ""the wizard was cunning, expert, inventive""",
English,English,Year 3,Language,Text structure and organisation,AC9E3LA03,Describe how texts across the curriculum use different language features and structures relevant to their purpose,,"Identifying the stages of a basic argument: introduction, argument one, argument 2 and conclusion","EAL/D students may benefit from: •using model texts to demonstrate and explain text structures, appropriate language choices and sentence structures."
English,English,Year 3,Language,Text structure and organisation,AC9E3LA03,Describe how texts across the curriculum use different language features and structures relevant to their purpose,,"Identifying the stages of a basic argument: introduction, argument one, argument 2 and conclusion",•use of vocabulary clines
English,English,Year 3,Language,Text structure and organisation,AC9E3LA03,Describe how texts across the curriculum use different language features and structures relevant to their purpose,,"Describing the typical text structure and language features of factual recounts, autobiographies, information reports, narratives, personal responses to literary texts (with reasons), sequential explanations, verse poetry and simple arguments, and describe their purposes",
English,English,Year 3,Language,Text structure and organisation,AC9E3LA04,"Understand that paragraphs are a key organisational feature of the stages of written texts, grouping related information together",,"Recognising that longer informative texts are organised into paragraphs which begin with a topic sentence that predicts how the paragraph will develop, and is then elaborated on in various ways",
