SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
English,English,Year 4,Language,Language for interacting with others,AC9E4LA01,Explore language used to develop relationships in formal and informal situations,,"Recognising that language is adjusted in different contexts, for example, in degree of formality when moving between group discussions and presenting a group report",
English,English,Year 4,Language,Language for interacting with others,AC9E4LA01,Explore language used to develop relationships in formal and informal situations,,"Understanding how age, expertise and familiarity influence the ways in which people interact, and how these codes and conventions vary across cultures",
English,English,Year 4,Language,Language for interacting with others,AC9E4LA01,Explore language used to develop relationships in formal and informal situations,,Recognising the importance of using inclusive language,
English,English,Year 4,Language,Language for interacting with others,AC9E4LA01,Explore language used to develop relationships in formal and informal situations,,"Exploring cultural respects for first nations australian elders, and greeting conventions between first nations australians",
English,English,Year 4,Language,Language for interacting with others,AC9E4LA02,Identify the subjective language of opinion and feeling and the objective language of factual reporting,,"Identifying ways thinking verbs are used to express opinions, for example, ""i think"", ""i believe"", and ways summary verbs are used to report findings; for example, ""we concluded""",EAL/D students may benefit from: •modelling and opportunities to compare subjective and objective language in different contexts
English,English,Year 4,Language,Language for interacting with others,AC9E4LA02,Identify the subjective language of opinion and feeling and the objective language of factual reporting,,"Comparing statements that have similar information presented objectively and subjectively; for example, ""the man has 6 cats."", ""the man has too many noisy cats.""",
English,English,Year 4,Language,Text structure and organisation,AC9E4LA03,Identify how texts across the curriculum have different language features and are typically organised into characteristic stages depending on purposes,,"Identifying the typical stages and language features of texts such as narratives, factual recounts, imaginative recounts, biographies, information reports, explanations, book talks, poetry and arguments for a particular purpose",
English,English,Year 4,Language,Text structure and organisation,AC9E4LA03,Identify how texts across the curriculum have different language features and are typically organised into characteristic stages depending on purposes,,"Understanding how and why text structure is important in texts such as sequential and causal explanations, and comparative and part-whole information reports",
English,English,Year 4,Language,Text structure and organisation,AC9E4LA03,Identify how texts across the curriculum have different language features and are typically organised into characteristic stages depending on purposes,,"Recognising that poems have different purposes that influence the organisation into characteristic stages, for example, poems that tell stories, poems that describe, and poems that reflect on aspects of life",
English,English,Year 4,Language,Text structure and organisation,AC9E4LA03,Identify how texts across the curriculum have different language features and are typically organised into characteristic stages depending on purposes,,"Recognising the difference between a text's form, such as a poster, email or list, and its organisation into stages depending on its social purpose",
English,English,Year 4,Language,Text structure and organisation,AC9E4LA04,Identify how text connectives including temporal and conditional words and topic word associations are used to sequence and connect ideas,,"Recognising how authors construct texts that are cohesive and coherent using pronouns that link to something previously mentioned, and determiners, for example, ""this"", ""that"", ""these"" and ""those"", to identify things","EAL/D students may benefit from: •creating and categorising word banks of connectives according to their use, for example clarifying; showing cause/result; indicating time; sequencing ideas; adding information; condition/concession"
English,English,Year 4,Language,Text structure and organisation,AC9E4LA04,Identify how text connectives including temporal and conditional words and topic word associations are used to sequence and connect ideas,,"Recognising how authors construct texts that are cohesive and coherent using pronouns that link to something previously mentioned, and determiners, for example, ""this"", ""that"", ""these"" and ""those"", to identify things",•opportunities to identify and explain use of connectives when reading texts
