SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
English,English,Year 6,Language,Language for interacting with others,AC9E6LA01,Understand that language varies as levels of formality and social distance increase,,"Recognising language protocols for formal address; for example, words used to address principals heads of state and monarchs","EAL/D students may benefit from: •demonstrating levels of formality, social distance and culturally appropriate behaviours through teacher-supported discussion and role play"
English,English,Year 6,Language,Language for interacting with others,AC9E6LA01,Understand that language varies as levels of formality and social distance increase,,"Discussing levels of language such as slang, colloquial, conversational and formal, and how their appropriateness changes with the situation and audience",
English,English,Year 6,Language,Language for interacting with others,AC9E6LA01,Understand that language varies as levels of formality and social distance increase,,Presenting ideas and opinions at levels of formality appropriate to the context and audience,
English,English,Year 6,Language,Language for interacting with others,AC9E6LA02,Understand the uses of objective and subjective language and identify bias,,"Identifying language choices that evoke emotion and judgements in direct and indirect ways, and how they are used to persuade different audiences to take a position and/or action","EAL/D students may benefit from: •multiple opportunities to compare objective and subjective language, e.g. ‘That person has 5 coats’ (objective) and ‘That person has too many coats’ (subjective)"
English,English,Year 6,Language,Language for interacting with others,AC9E6LA02,Understand the uses of objective and subjective language and identify bias,,"Understanding when to share feelings and opinions; for example, in a personal recount, and when to remain more objective; for example, in a factual recount",
English,English,Year 6,Language,Language for interacting with others,AC9E6LA02,Understand the uses of objective and subjective language and identify bias,,"Differentiating between reporting the facts; for example, in a factual recount or unedited photograph, and providing a commentary; for example, in an editorial",
English,English,Year 6,Language,Text structure and organisation,AC9E6LA03,Explain how texts across the curriculum are typically organised into characteristic stages and phases depending on purposes recognising how authors often adapt text structures and language features,,"Exploring a range of everyday, community, literary and informative texts, discussing elements of text structure and language features, and comparing the overall structure and effect of authors' choices in 2 or more texts",EAL/D students may benefit from: •teacher deconstruction and joint reconstruction of texts into characteristic stages and phases
English,English,Year 6,Language,Text structure and organisation,AC9E6LA03,Explain how texts across the curriculum are typically organised into characteristic stages and phases depending on purposes recognising how authors often adapt text structures and language features,,Examining a text to identify strategies such as exaggeration to create humour,
English,English,Year 6,Language,Text structure and organisation,AC9E6LA03,Explain how texts across the curriculum are typically organised into characteristic stages and phases depending on purposes recognising how authors often adapt text structures and language features,,"Recognising that texts are organised into stages such as an introduction and that introductions may be divided into phases; for example, the introduction stage of a narrative may begin with a phase that is a ""hook"" or a flashback",
English,English,Year 6,Language,Text structure and organisation,AC9E6LA03,Explain how texts across the curriculum are typically organised into characteristic stages and phases depending on purposes recognising how authors often adapt text structures and language features,,"Explaining the characteristic stages and phases in reviews, discussions of alternative positions or historical recounts and identifying any adaptations of typical structures or language features",
English,English,Year 6,Language,Text structure and organisation,AC9E6LA04,Understand that cohesion can be created by the intentional use of repetition and the use of word associations,,"Noting how a general word is often used for a more specific word already mentioned (word association); for example, ""look at those apples. granny smiths are my favourite.""",EAL/D students may benefit from: •using graphic organisers to record the repetition of key words in a poem or short story and discussing with a peer the effect of this repetition
English,English,Year 6,Language,Text structure and organisation,AC9E6LA04,Understand that cohesion can be created by the intentional use of repetition and the use of word associations,,Recognising how cohesion can be developed through repeating key words or by using synonyms or antonyms,
English,English,Year 6,Language,Language for expressing and developing ideas,AC9E6LA05,Understand how embedded clauses can expand the variety of complex sentences to elaborate extend and explain ideas,,"Investigating how the choice of conjunctions enables the construction of complex sentences to extend to elaborate on and to explain ideas; for example, ""the town that was flooded suffered extensive damage.""",
English,English,Year 6,Language,Language for expressing and developing ideas,AC9E6LA05,Understand how embedded clauses can expand the variety of complex sentences to elaborate extend and explain ideas,,"Creating complex sentences with embedded clauses to expand noun groups; for example, ""hamish studied the rock samples that he had collected on the excursion, to complete his report.""",
English,English,Year 6,Language,Language for expressing and developing ideas,AC9E6LA06,Understand how ideas can be expanded and sharpened through careful choice of verbs elaborated tenses and a range of adverb groups,,"Knowing that the simple present tense is typically used to talk about present states; for example ""he lives in darwin."" or actions that happen regularly in the present; for example, ""he watches television every night."" or that represent ""timeless"" happenings, in information reports; for example, ""bears hibernate in winter.""","EAL/D students may benefit from: •building vocabulary in context (for example, practical demonstration of multiple verbs (slice; snip, saw) that can be substituted for ‘cut’ for greater precision relative to the context"
English,English,Year 6,Language,Language for expressing and developing ideas,AC9E6LA06,Understand how ideas can be expanded and sharpened through careful choice of verbs elaborated tenses and a range of adverb groups,,"Knowing that there are various ways in english to refer to future time: using the auxiliary ""will""; for example, ""she will call you tomorrow.”, using the present tense; for example, ""tomorrow i leave for hobart.”, and using adverbials of time; for example, ""she arrives in the morning.""",
English,English,Year 6,Language,Language for expressing and developing ideas,AC9E6LA06,Understand how ideas can be expanded and sharpened through careful choice of verbs elaborated tenses and a range of adverb groups,,"Using precise verbs; for example “slice"", “dice"", ""fillet"" and ""segment"" rather than general words; for example, ""cut""",
