SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
English,English,Year 9,Language,Language for interacting with others,AC9E9LA01,Recognise how language empowers relationships and roles,,"Identifying the various communities to which students belong and how language reinforces membership of these communities; for example, the intimate language of family members, the jargon of teenage groups, the technicality of some online communities, the language specific to recreational groups and the interaction patterns of the classroom",EAL/D students may benefit from: •exploring if this use of language exists in the students’ home anguage
English,English,Year 9,Language,Language for interacting with others,AC9E9LA01,Recognise how language empowers relationships and roles,,"Exploring language used by first nations australian authors to reinforce relationships to country/place and with others; for example, “hello” in turrabul language is “galang nguruindhau”",
English,English,Year 9,Language,Language for interacting with others,AC9E9LA02,"Understand how evaluation can be expressed directly and indirectly using devices such as allusion, evocative vocabulary and metaphor",,"Comparing texts that use evaluative language in different ways; for example, print advertisements, editorials, talkback radio, podcasts and poetry, and identifying wording that appraises indirectly through evocative language, similes and metaphors that direct readers’ views in particular ways","EAL/D students may benefit from: •explanations of the cultural and historical knowledge required to identify and interpret allusion .g. ‘If you are not home by midnight, your car might turn into a pumpkin.’ (a reference to the fairytale, Cinderella), ‘Herculean effort’ (a reference to the strength of Hercules from classical mythology) •creating word banks and vocabulary clines showing graduation of emotional strength of words"
English,English,Year 9,Language,Text structure and organisation,AC9E9LA03,"Examine how authors adapt and subvert text structures and language features by experimenting with spoken, written, visual and multimodal elements, and their combination",,"Comparing the use of linear and non-linear narratives in a range of short stories, and determining the purpose and effect of the different structures","EAL/D students may benefit from: •creating a timeline to show important events in a non-linear short story as they would have happened in chronological order, and another timeline to show these events as they actually appear in the short story"
English,English,Year 9,Language,Text structure and organisation,AC9E9LA03,"Examine how authors adapt and subvert text structures and language features by experimenting with spoken, written, visual and multimodal elements, and their combination",,"Comparing the opening paragraphs of different public texts such as feature articles, and determining the purpose and effect of the different structures and language features",
English,English,Year 9,Language,Text structure and organisation,AC9E9LA04,"Investigate a range of cohesive devices that condense information in texts, including nominalisation, and devices that link, expand and develop ideas, including text connectives",,"Sequencing and developing an argument using language structures that suggest conclusions (“therefore”, “moreover” and “so”) or give reasons (“since”, “because”) or suggest conditionals (“if … then”)","EAL/D students may benefit from: •teacher modelled and guided opportunities to practice condensing information in sentences using nominalisation, for example ‘The students were thinking about all the homework they had to do and this made them worried.’ - ‘The thought of all the homework they had to do made them worried.’"
English,English,Year 9,Language,Language for expressing and developing ideas,AC9E9LA05,"Identify how authors vary sentence structures creatively for effects, such as intentionally using a dependent clause on its own or a sentence fragment",,"Identifying the effects of using an interrupting clause inside another clause; for example, “his friend, who had left home the previous year, suddenly returned.”, intentionally using a dependent clause on its own; for example, “if you see what i mean.” or using a sentence fragment; for example, “breathtaking!”",EAL/D students may benefit from: •guided practice to vary sentence structure and explain the effects
English,English,Year 9,Language,Language for expressing and developing ideas,AC9E9LA06,Understand how abstract nouns and nominalisation can be used to summarise ideas in text,,"Exploring sections of academic and technical texts, and analysing the use of abstract nouns; for example, “the previous argument”, “the prologue”, to summarise and distil information, structure the argument and summarise preceding explanations",EAL/D students may benefit from: •development of a word bank and guided practice to identify abstract nouns and nominalisation used to summarise and distil information in texts
English,English,Year 9,Language,Language for expressing and developing ideas,AC9E9LA07,Analyse how symbols in still and moving images augment meaning,,"Investigating the use of symbols; for example, specific seasons, weather and colours in images, films and picture books, and evaluating their contribution to viewers’ understanding, recognising that visual and verbal symbols have different meanings for different groups and cultures",EAL/D students may benefit from: •inclusion of still and moving images that reflect the cultural and linguistic diversity of students in the class to broaden discussion of symbols
English,English,Year 9,Language,Language for expressing and developing ideas,AC9E9LA07,Analyse how symbols in still and moving images augment meaning,,"Understanding the use of symbols by first nations australians, where a symbol may have many meanings or have different meanings across first nations australian groups; for example, artwork enables first nations australians from a particular country/place to identify symbols and interpret the artwork",
