SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
HASS,Economics and Business,Year 7,AC9HE7ASC01,"By the end of Year 7, students describe how decisions are made to allocate limited resources to individuals and communities in an economy.",Knowledge and Understanding,"allocate, communities, decisions, describe, economy, individuals, limited, made, resources, year",AC9HE7K01,High
HASS,Economics and Business,Year 7,AC9HE7ASC02,"They describe the reasons businesses exist and types of businesses, and identify how entrepreneurial characteristics contribute to the success of a business.",Knowledge and understanding,"business, businesses, characteristics, contribute, describe, entrepreneurial, exist, identify, reasons, success, types","AC9HE7K02,AC9HE7K03",High
HASS,Economics and Business,Year 7,AC9HE7ASC03,"They describe the reasons individuals choose to work, how they may derive an income and the types of work that exist.",Knowledge and understanding,"choose, derive, describe, exist, income, individuals, reasons, types, work",AC9HE7K04,High
HASS,Economics and Business,Year 7,AC9HE7ASC04,Students identify the rights and responsibilities of individuals and businesses in terms of products and services.,Knowledge and understanding,"businesses, identify, individuals, products, responsibilities, rights, services, terms",AC9HE7K05,High
HASS,Economics and Business,Year 7,AC9HE7ASC05,Students develop questions to investigate an economic and business issue.,Skills,"business, develop, economic, investigate, issue, questions",AC9HE7S01,High
HASS,Economics and Business,Year 7,AC9HE7ASC06,"They locate, select and organise data and information from sources.",Skills,"data, information, locate, organise, select, sources",AC9HE7S02,High
HASS,Economics and Business,Year 7,AC9HE7ASC07,"They interpret information and data to identify economic and business issues, trends or effects.",Skills,"business, data, economic, effects, identify, information, interpret, issues, trends",AC9HE7S03,High
HASS,Economics and Business,Year 7,AC9HE7ASC08,They develop a response and identify potential costs and benefits.,Skills,"benefits, costs, develop, identify, potential, response",AC9HE7S04,High
HASS,Economics and Business,Year 7,AC9HE7ASC09,"Students use economic and business knowledge, concepts, terms and sources to create descriptions and explanations.",Skills,"business, concepts, create, descriptions, economic, explanations, knowledge, sources, terms",AC9HE7S05,High
HASS,Economics and Business,Year 8,AC9HE8ASC01,"By the end of Year 8, students explain how markets influence the allocation of resources to the production of goods and services.",Knowledge and understanding,"allocation, explain, goods, influence, markets, production, resources, services, year",AC9HE8K01,High
HASS,Economics and Business,Year 8,AC9HE8ASC02,They explain ways that businesses adapt to opportunities in markets and respond to the work environment.,Knowledge and understanding,"adapt, businesses, environment, explain, markets, opportunities, respond, ways, work","AC9HE8K02, AC9HE8K03",High
HASS,Economics and Business,Year 8,AC9HE8ASC03,They describe the importance of Australia’s taxation system and its effect on decision-making by individuals and businesses.,Knowledge and understanding,"australia’s, businesses, decision-making, describe, effect, importance, individuals, system, taxation",AC9HE8K04,High
HASS,Economics and Business,Year 8,AC9HE8ASC04,Students explain why individuals and/or businesses budget and plan.,Knowledge and understanding,"and/or, budget, businesses, explain, individuals, plan",AC9HE8K05,High
HASS,Economics and Business,Year 8,AC9HE8ASC05,Students develop a range of questions to investigate an economic and business issue.,Skills,"business, develop, economic, investigate, issue, questions, range",AC9HE8S01,High
HASS,Economics and Business,Year 8,AC9HE8ASC06,"They locate, select and organise relevant information and data.",Skills,"data, information, locate, organise, relevant, select",AC9HE8S02,High
HASS,Economics and Business,Year 8,AC9HE8ASC07,"They interpret information and data to identify economic and business issues and trends, and describe economic cause-and-effect relationships.",Skills,"business, cause-and-effect, data, describe, economic, identify, information, interpret, issues, relationships, trends",AC9HE8S03,High
HASS,Economics and Business,Year 8,AC9HE8ASC08,They develop a response to an economic and business issue.,Skills,"business, develop, economic, issue, response",AC9HE8S04,High
HASS,Economics and Business,Year 8,AC9HE8ASC09,They identify and evaluate potential costs and benefits.,Skills,"benefits, costs, evaluate, identify, potential",AC9HE8S04,High
HASS,Economics and Business,Year 8,AC9HE8ASC10,"Students use economic and business knowledge, concepts, terms and research findings to create descriptions and explanations.",Skills,"business, concepts, create, descriptions, economic, explanations, findings, knowledge, research, terms",AC9HE8S05,High
HASS,Economics and Business,Year 9,AC9HE9ASC01,"By the end of Year 9, students explain the role of Australia’s financial sector and its effect on economic decision-making by individuals and businesses.",Knowledge and understanding,"australia’s, businesses, decision-making, economic, effect, explain, financial, individuals, role, sector, year",AC9HE9K01,High
HASS,Economics and Business,Year 9,AC9HE9ASC02,They explain the interdependence of participants in the global market and the effect on economic decision-making.,Knowledge and understanding,"decision-making, economic, effect, explain, global, interdependence, market, participants",AC9HE9K02,High
HASS,Economics and Business,Year 9,AC9HE9ASC03,They explain the reasons for trade and Australia’s pattern of trade with Asia.,Knowledge and understanding,"asia, australia’s, explain, pattern, reasons, trade",AC9HE9K03,High
HASS,Economics and Business,Year 9,AC9HE9ASC04,They explain why businesses seek to create and maintain a competitive advantage.,Knowledge and understanding,"advantage, businesses, competitive, create, explain, maintain, seek",AC9HE9K04,High
HASS,Economics and Business,Year 9,AC9HE9ASC05,Students explain how individuals and businesses manage consumer and financial risks and rewards.,Knowledge and understanding,"businesses, consumer, explain, financial, individuals, manage, rewards, risks",AC9HE9K05,High
HASS,Economics and Business,Year 9,AC9HE9ASC06,Students develop and modify questions to investigate an economic and business issue.,Skills,"business, develop, economic, investigate, issue, modify, questions",AC9HE9S01,High
HASS,Economics and Business,Year 9,AC9HE9ASC07,"They locate, select and analyse information and data from a range of sources.",Skills,"analyse, data, information, locate, range, select, sources",AC9HE9S02,High
HASS,Economics and Business,Year 9,AC9HE9ASC08,"They interpret and analyse information and data to explain economic trends and cause-and-effect relationships, and identify consumer and financial impacts.",Skills,"analyse, cause-and-effect, consumer, data, economic, explain, financial, identify, impacts, information, interpret, relationships, trends",AC9HE9S03,High
HASS,Economics and Business,Year 9,AC9HE9ASC09,"They develop a response to an economic and business issue, taking account of economic, business or financial factors.",Skills,"account, business, develop, economic, factors, financial, issue, response, taking",AC9HE9S04,High
HASS,Economics and Business,Year 9,AC9HE9ASC10,They evaluate a response using criteria and make decisions about how it is to be implemented.,Skills,"about, criteria, decisions, evaluate, implemented, make, response",AC9HE9S04,High
HASS,Economics and Business,Year 9,AC9HE9ASC11,"Students use economic and business knowledge, concepts and terms to develop descriptions, explanations and arguments that acknowledge research findings.",Skills,"acknowledge, arguments, business, concepts, descriptions, develop, economic, explanations, findings, knowledge, research, terms",AC9HE9S05,High
HASS,Economics and Business,Year 10,AC9HE10ASC01,"By the end of Year 10, students analyse how economic indicators influence Australian Government decision-making.",Knowledge and understanding,"analyse, australian, decision-making, economic, government, indicators, influence, year",AC9HE10K01,High
HASS,Economics and Business,Year 10,AC9HE10ASC02,They explain ways that government intervenes to improve economic performance and living standards.,Knowledge and understanding,"economic, explain, government, improve, intervenes, living, performance, standards, ways",AC9HE10K02,High
HASS,Economics and Business,Year 10,AC9HE10ASC03,They explain processes that businesses use to manage the workforce and improve productivity.,Knowledge and understanding,"businesses, explain, improve, manage, processes, productivity, workforce",AC9HE10K05,High
HASS,Economics and Business,Year 10,AC9HE10ASC04,They explain the importance of Australia’s superannuation system and its effect on consumer and financial decision-making.,Knowledge and understanding,"australia’s, consumer, decision-making, effect, explain, financial, importance, superannuation, system",AC9HE10K04,High
HASS,Economics and Business,Year 10,AC9HE10ASC05,"Students analyse factors that influence major consumer and financial decisions, and explain the short- and long-term effects of these decisions.",Knowledge and understanding,"analyse, consumer, decisions, effects, explain, factors, financial, influence, long-term, major, short-",AC9HE10K03,High
HASS,Economics and Business,Year 10,AC9HE10ASC06,Students develop and modify a range of questions to investigate an economic and business issue.,Skills,"business, develop, economic, investigate, issue, modify, questions, range",AC9HE10S01,High
HASS,Economics and Business,Year 10,AC9HE10ASC07,"They locate, select and analyse relevant and reliable information and data from a range of sources.",Skills,"analyse, data, information, locate, range, relevant, reliable, select, sources",AC9HE10S02,High
HASS,Economics and Business,Year 10,AC9HE10ASC08,"They interpret and analyse information and data to evaluate trends and economic cause-and-effect relationships, and make predictions about consumer and financial impacts.",Skills,"about, analyse, cause-and-effect, consumer, data, economic, evaluate, financial, impacts, information, interpret, make, predictions, relationships, trends",AC9HE10S03,High
HASS,Economics and Business,Year 10,AC9HE10ASC09,They develop an evidence-based response to an economic and business issue.,Skills,"business, develop, economic, evidence-based, issue, response",AC9HE10S04,High
HASS,Economics and Business,Year 10,AC9HE10ASC10,"They evaluate a response, using appropriate criteria to decide on a course of action.",Skills,"action, appropriate, course, criteria, decide, evaluate, response",AC9HE10S04,Low
HASS,Economics and Business,Year 10,AC9HE10ASC11,"Students use economic and business knowledge, concepts, and terms to develop descriptions, explanations and reasoned arguments that synthesise research findings.",Skills,"arguments, business, concepts, descriptions, develop, economic, explanations, findings, knowledge, reasoned, research, synthesise, terms",AC9HE10S05,High

