SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K01,"The distribution and characteristics of biomes as regions with distinctive climates, soils, vegetation and productivity",,"Identifying and describing the major aquatic and terrestrial biomes of Australia and other areas of the world, and mapping their distribution"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K01,"The distribution and characteristics of biomes as regions with distinctive climates, soils, vegetation and productivity",,Interpreting and explaining patterns and trends in the productivity of the major aquatic and terrestrial biomes in Australia compared with a country in Asia
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K01,"The distribution and characteristics of biomes as regions with distinctive climates, soils, vegetation and productivity",,"Explaining the effects of interconnections between environmental processes (atmosphere, hydrosphere, lithosphere and biosphere) and human activities such as deforestation, mining and agriculture on the characteristics of biomes"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K02,"The effects on environments of human alteration of biomes to produce food, industrial materials and fibres",,Identifying the biomes in Australia and a country in Asia that produce some of the foods and plant material people consume
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K02,"The effects on environments of human alteration of biomes to produce food, industrial materials and fibres",,"Explaining the differences between natural and agricultural ecosystems in flows of nutrients and water, and in biodiversity; for example, the tropical rainforest biome in Indonesia produces food such as fruit, grains, nuts, vegetables and spices, and non-food products such as wood, rubber, coffee, chocolate and palm oil"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K02,"The effects on environments of human alteration of biomes to produce food, industrial materials and fibres",,"Explaining how human alteration of biomes (for example, drip irrigation, fertilisers, pesticides, genetically modified seeds, agrobiotics, terracing, and controlling erosion and overgrazing) has increased agricultural productivity in Australia and a country in Asia"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K03,"The environmental, economic and technological factors that impact agricultural productivity, in Australia and a country in Asia",,"Examining how environmental factors, such as climate, soil, landform, water and hazards, support higher agricultural production, such as wheat, rice and maize, in Australia and a country in Asia"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K03,"The environmental, economic and technological factors that impact agricultural productivity, in Australia and a country in Asia",,"Examining how economic factors such as available land, labour, finance and enterprise, and technological factors such as biotechnology and use of Geographical Information Systems (GIS) software, affect agricultural production in Australia and a country in Asia; for example, increased labour supply or access to storage, transportation and markets"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K03,"The environmental, economic and technological factors that impact agricultural productivity, in Australia and a country in Asia",,"Examining how agricultural innovations have reduced environmental limitations on food production in Australia and a country in Asia; for example, increased food production due to research into and development of high-yielding and genetically engineered pest resistant varieties, construction of drip irrigation systems, and the use of stubble mulching, intercropping, agroforestry and crop rotation"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K03,"The environmental, economic and technological factors that impact agricultural productivity, in Australia and a country in Asia",,"Explaining the impact of the interconnections between environmental, economic and technological factors on the yield of a particular crop, such as wheat, rice or maize, in Australia"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K04,Challenges to sustainable food production and food security in Australia and appropriate management strategies,,"Examining environmental impacts of changes to food production causing a decline in the capacity of the land to provide agricultural products; for example, land and water degradation such as soil erosion, salinity and desertification, shortage of fresh water, competing land uses, climate change and pollution contribute to a decrease in food production"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K04,Challenges to sustainable food production and food security in Australia and appropriate management strategies,,"Examining economic and social impacts of changes to food production; for example, competing land uses such as urban and industrial uses, and recreation activities"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K04,Challenges to sustainable food production and food security in Australia and appropriate management strategies,,"Examining the impacts of modifications to biomes on the productivity and availability of staple resources for First Nations Australians; for example, reduced access to bush food such as myrrnong (yam daisy) in Victoria or cycads, bunya nuts and wongi plums in northern Australia"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K04,Challenges to sustainable food production and food security in Australia and appropriate management strategies,,"Examining management strategies that improve food security; for example, efforts to reduce food wastage, government policies or trade barriers"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K04,Challenges to sustainable food production and food security in Australia and appropriate management strategies,,"Explaining management strategies that restore the quality or diversity of agriculture in Australia; for example, improving the function of natural biomes and anthropogenic biomes, monitoring land management practices, improving the condition of the soil or building the capability of farmers"
HASS,Geography,Year 9,Knowledge and understanding,Biomes and food security,AC9HG9K04,Challenges to sustainable food production and food security in Australia and appropriate management strategies,,"Generating ideas for a strategy to expand agricultural production in Australia; for example, market bush food such as herbs and wattle seed, invest in research, support farm innovations or develop the expertise of farmers"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K05,"The ways changing transportation and technologies are used to connect people to services, information and people in other places",,"Discussing how access to transportation affects the ways people perceive, use and are connected to specific services or opportunities in a place; for example, regional flights to travel to capital cities and to international destinations"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K05,"The ways changing transportation and technologies are used to connect people to services, information and people in other places",,"Identifying and describing how transport and information networks function to connect people to goods and services (for example, from cotton crop to t-shirts or from farm to table), including how supply-chain logistics influence these connections"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K05,"The ways changing transportation and technologies are used to connect people to services, information and people in other places",,"Discussing how communications infrastructure and networks support people to collaborate; for example, local people working for social sustainability and inclusion such as the Masai in Kenya, Berber in North Africa, San or Kalahari Bushmen in southern Africa, Uyghurs in China, Ainu in Japan, Inuit in Greenland and Yanomami in the Amazon Basin"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K05,"The ways changing transportation and technologies are used to connect people to services, information and people in other places",,"Interpreting differences in people’s access to the internet between and within countries, such as in rural areas across Australia and across the world, including a country of Asia, and explaining how technologies are used to connect people to information, services and other people"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K05,"The ways changing transportation and technologies are used to connect people to services, information and people in other places",,"Examining how technologies have made it possible for places to provide a range of global business services, such as businesses operating call centres in India and the Philippines"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K06,"The effects on places of people’s travel, recreational, cultural or leisure choices, and the strategies for managing the impacts on these places",,"Discussing the causes of the global growth of tourism and its environmental, economic or social impacts on places"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K06,"The effects on places of people’s travel, recreational, cultural or leisure choices, and the strategies for managing the impacts on these places",,"Explaining the impacts of people’s cultural and leisure choices on the sustainability of places popular with tourists (for example, visiting Mecca, Vatican City or Varanasi as religious pilgrimages) and predicting how space tourism or the impacts of COVID-19 may affect places"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K06,"The effects on places of people’s travel, recreational, cultural or leisure choices, and the strategies for managing the impacts on these places",,"Examining how management plans for national parks, such as Uluru-Kata Tjuta National Park, bring together cultural and scientific knowledge and experience, and examining governance and past experience to manage the effects of people’s cultural and leisure choices"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K07,"The ways that places and people are interconnected with other places through trade in goods and services, at all scales",,Discussing some of the products and/or services that businesses in their local area sell to or buy from other places
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K07,"The ways that places and people are interconnected with other places through trade in goods and services, at all scales",,"Examining how and why places are interconnected nationally, regionally and globally through trade in goods and services"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K07,"The ways that places and people are interconnected with other places through trade in goods and services, at all scales",,"Identifying examples of change in interconnections between places and people through trade in goods and/or services over time at the local, national and global scale"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K08,"The impacts of the production and consumption of goods on places throughout the world, and strategies to manage sustainability in these places",,"Examining the effects on people, places or environments of mining, farming, forestry or the production of manufactured goods"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K08,"The impacts of the production and consumption of goods on places throughout the world, and strategies to manage sustainability in these places",,"Explaining the environmental effects of the production and distribution of consumer products and services on the places that produce the raw materials, the people who make the products, and the environments that receive the waste at the end of the products’ life; for example, the environmental effects of an e-waste supply chain from mining, production and sales to waste disposal"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K08,"The impacts of the production and consumption of goods on places throughout the world, and strategies to manage sustainability in these places",,"Evaluating the environmental, economic and social impacts of the global oil supply chain, from where the resource is extracted, processed and sold, and how impacts could be sustainably managed in Australia and in West Asia"
HASS,Geography,Year 9,Knowledge and understanding,Geographies of interconnections,AC9HG9K08,"The impacts of the production and consumption of goods on places throughout the world, and strategies to manage sustainability in these places",,"Examining a strategy used by local, state or national governments to manage waste in one of Australia’s cities or regional urban centres, and identifying implications for sustainability (environmental, economic and social factors)"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S01,Develop a range of questions for a geographical inquiry related to a phenomenon or challenge,,"Developing a range of questions to investigate why a geographical phenomenon has changed or why a challenge may arise; for example, “Why is food security important?”, “What are sources of food in Australia?”, “How are people, places and environments connected?”"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S01,Develop a range of questions for a geographical inquiry related to a phenomenon or challenge,,"Developing and modifying questions to sharpen the focus of an investigation using concepts or scale of study; for example, “Why is the security and sustainability of food production important at the national scale?”, “How can bush food become a sustainable nutritional source of food in Australia?”, “How can connections between people, environments and places affect the sustainability of places at the global scale?”"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S01,Develop a range of questions for a geographical inquiry related to a phenomenon or challenge,,"Planning an investigation of a geographical phenomenon or challenge being studied at a range of scales, using digital tools; for example, the diverse types of biomes modified by humans for food and non-food products at a national and global scale, or the different types of connections between people and places at local, national and global scales"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S02,"Collect, represent and compare data and information from primary research methods, including fieldwork and secondary research materials, using geospatial technologies and digital tools as appropriate",,"Identifying primary research methods, including fieldwork, to collect original materials; for example, comparison of aerial photographs or field sketches over time to document the use or alteration of biomes by people, or surveying peers on their use of the internet or other technologies"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S02,"Collect, represent and compare data and information from primary research methods, including fieldwork and secondary research materials, using geospatial technologies and digital tools as appropriate",,"Collecting relevant secondary research materials online using targeted criteria; for example, “allintext: connections between food security and deforestation in Bangladesh”, “allintext: the digital divide and its impacts on people and places in North Korea”"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S02,"Collect, represent and compare data and information from primary research methods, including fieldwork and secondary research materials, using geospatial technologies and digital tools as appropriate",,"Evaluating primary or secondary research materials for relevance (for example, “Does the information reflect current thinking on sustainable food production?”) and reliability (for example, “Who is/are the author/s? Does the author reference other experts or reports in the field of environmental management?”)"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S02,"Collect, represent and compare data and information from primary research methods, including fieldwork and secondary research materials, using geospatial technologies and digital tools as appropriate",,"Creating a presentation of data and information using geospatial technologies; for example, a 3D diagram illustrating interactions between an oil spill in coral reefs and resultant decline in aquatic food production; a flow diagram showing the daily activities of a female subsistence farmer in Africa; or a diagram of a mangrove ecosystem before and after human interactions"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S02,"Collect, represent and compare data and information from primary research methods, including fieldwork and secondary research materials, using geospatial technologies and digital tools as appropriate",,"Creating visual representations of multi-variable geographical data using digital tools; for example, a table to compare the daily consumption of meat per person in developed and developing countries; a complex graph to illustrate the relationship between temperature, precipitation and biomes; or a cross-section identifying horizons in a soil profile, and the impacts of mining and fracking on agricultural land"
HASS,Geography,Year 9,Skills,Questioning and researching using geographical methods,AC9HG9S02,"Collect, represent and compare data and information from primary research methods, including fieldwork and secondary research materials, using geospatial technologies and digital tools as appropriate",,"Representing spatial distribution of geographical phenomena by constructing special purpose maps that conform to cartographic conventions; for example, creating a map to show the relationship between biomes and world food production"
HASS,Geography,Year 9,Skills,Interpreting and analysing geographical data and information,AC9HG9S03,"Evaluate geographical data and information to make generalisations and predictions, explain patterns and trends, and infer relationships",,"Making generalisations about trends; for example, using questionnaires or interviews to identify people’s perspectives on live food fish trade in Australia or people’s access to the internet in the local area"
HASS,Geography,Year 9,Skills,Interpreting and analysing geographical data and information,AC9HG9S03,"Evaluate geographical data and information to make generalisations and predictions, explain patterns and trends, and infer relationships",,"Explaining a pattern; for example, using the current Global Hunger Index and the updated Food and Agricultural Organization’s Low-Income Food-Deficit Countries (LIFDCs) to identify locations of food scarcity and malnutrition, or comparing maps showing transport networks with survey responses on personal mobility"
HASS,Geography,Year 9,Skills,Interpreting and analysing geographical data and information,AC9HG9S03,"Evaluate geographical data and information to make generalisations and predictions, explain patterns and trends, and infer relationships",,"Explaining relationships between causes and impacts of factors represented in data; for example, the impact of the use of Global Positioning System (GPS) and Geographic Information Systems (GIS) on the way farmers control the dispersion of fertilisers and pesticides to produce higher yields and limit run-off, or the effects of the use of GPS to construct maps on how tourists use different transport systems to visits popular places in Australia"
HASS,Geography,Year 9,Skills,Concluding and decision-making,AC9HG9S04,Evaluate data and information to justify conclusions,,"Drawing conclusions about the impact of a geographical challenge on people, places and environments; for example, investigating the causes of a decline in food species, its impacts on food security and the establishment of the Svalbard Global Seed Vault, or the effects of cyberattacks on technological interconnections and implementation of international laws related to cybersecurity"
