SubjectArea,Subject,Band,Term,Definition
HASS,Geography,Year 7 to Year 10,argument,A claim justified with reference to evidence.
HASS,Geography,Year 7 to Year 10,Asia / Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
HASS,Geography,Year 7 to Year 10,atmosphere,One of the interconnected systems of Earth; it consists of a mix of gases essential to life in the biosphere.
HASS,Geography,Year 7 to Year 10,belief systems,"A set of principles or tenets which together form the basis of a philosophy, moral code or religion"
HASS,Geography,Year 7 to Year 10,biodiversity,"The number and variety of species within an environment. It has direct value as consumable or useful commodities, indirect value as support for ecosystems, and intrinsic value."
HASS,Geography,Year 7 to Year 10,biome,"A major terrestrial vegetation region, such as a tropical forest, temperate grassland or desert; similar biomes occur around the world in similar climatic zones."
HASS,Geography,Year 7 to Year 10,biosphere,One of the interconnected systems of Earth; it is made up of parts of Earth occupied by living organisms.
HASS,Geography,Year 7 to Year 10,cartographic conventions,"Practises guiding the making of maps (e.g. inclusion of title, border, legend, scale and north point)."
HASS,Geography,Year 7 to Year 10,characteristics of a place,"Tangible or intangible environmental and human characteristics that can be described to identify, classify or give meaning to the uniqueness of a place (e.g. location, topography, scenic quality)."
HASS,Geography,Year 7 to Year 10,classification,"A way of categorising objects or phenomena based on criteria such as similarity of properties or by relationships (e.g. renewable, non-renewable or continuous resources)."
HASS,Geography,Year 7 to Year 10,climate,"The long-term average (minimum 30 years) of weather conditions at a place, classified into distinctive types (e.g. tropical, dry, temperate, polar, Mediterranean)."
HASS,Geography,Year 7 to Year 10,climate change,Change in the long-term weather patterns and averages such as those for temperature and precipitation.
HASS,Geography,Year 7 to Year 10,colonisation,"The act of setting up a colony away from one’s place of origin. With humans, it can be seen negatively because it tends to involve an invading culture taking control over an indigenous population."
HASS,Geography,Year 7 to Year 10,coordinates,A set of values that define the position of a point or an object in a space. The coordinate system being used will govern the nature of the coordinates.
HASS,Geography,Year 7 to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
HASS,Geography,Year 7 to Year 10,cultural connectedness,"Interconnections between people and their community locally and globally; influences how people live, understand the impact they have on each other, and make sense of their identity and belonging."
HASS,Geography,Year 7 to Year 10,custodial responsibility,"The responsibility and obligation for caring for Country/Place and management of land, sea, sky and waterways based on the values and beliefs of First Nations Australian communities."
HASS,Geography,Year 7 to Year 10,data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
HASS,Geography,Year 7 to Year 10,digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
HASS,Geography,Year 7 to Year 10,distribution,"The arrangement of geographical phenomena across Earth's surface (e.g. distribution of services and facilities in a settlement, population in a country, forests or water resources)."
HASS,Geography,Year 7 to Year 10,diversity,"The mix of people in a group or society; i.e. differences in factors such as age, abilities, culture and religion and/or in how people identify in relation to factors such as gender and sexuality."
HASS,Geography,Year 7 to Year 10,ecosystem,"A functioning unit of the environment defined by a complex set of relationships among its living organisms and its non-living components, where all organisms and components are interdependent."
HASS,Geography,Year 7 to Year 10,ecosystem-based management,"A focus on improving the health of an ecosystem such as increasing biodiversity, restoring hydrological systems, protecting marine breeding areas or rebuilding soil structure and fertility."
HASS,Geography,Year 7 to Year 10,environmental function,A function that supports life (e.g. production of raw materials from natural resources; breakdown of wastes and pollution; support of ecosystems or the intrinsic value of the environment).
HASS,Geography,Year 7 to Year 10,environmental management,"A method for analysing complex interactions between an environment and people to sustain environments by identifying environmental, demographic, social, economic, technological or political impacts."
HASS,Geography,Year 7 to Year 10,environmental process,"A process (or processes) related to the interactions of the atmosphere, hydrosphere, lithosphere and biosphere (e.g. erosion or hazards)."
HASS,Geography,Year 7 to Year 10,environmental quality,"Characteristics of a local environment that affect human wellbeing, such as air and water pollution, noise, access to open space, traffic volumes, and visual effects of buildings and roads."
HASS,Geography,Year 7 to Year 10,environmental resource,"A valuable or useful material; characterised as renewable (used repeatedly and not depleted), non-renewable (after use cannot be replenished) or continuous (availability unaffected by use)."
HASS,Geography,Year 7 to Year 10,environmental world view,"A set of beliefs and values that gives a person a sense of their behaviour towards Earth. It could be anthropocentric (human centred), biocentric (life centred) or ecocentric (Earth centred)."
HASS,Geography,Year 7 to Year 10,evaluative language,"Positive or negative language that judges the worth of something. It includes language to express feelings and opinions; make judgements; and assess quality of objects, ideas and features of texts."
HASS,Geography,Year 7 to Year 10,fieldwork,"Active and firsthand collection, examination, interpretation and analysis of materials in relation to geographical questions; often conducted from outside the classroom at a local scale."
HASS,Geography,Year 7 to Year 10,food security,Assurances that food supplies are reliable and of a sufficient quality and quantity to maintain human life.
HASS,Geography,Year 7 to Year 10,geographical diversity,"The different range of environments and varied ways of living in a region, which can be influenced by a range of factors, e.g. climate, topography, beliefs, social structures, culture."
HASS,Geography,Year 7 to Year 10,geomorphological processes,Physical and chemical interactions between Earth's surface and environmental processes (e.g. geology and climate) which produce or shape landforms.
HASS,Geography,Year 7 to Year 10,geospatial technologies,"Tools (software or hardware) enabling collection, storage, mapping, representation and visualisation of the occurrence of geographical phenomena and challenges for analysis of causes and effects."
HASS,Geography,Year 7 to Year 10,hazard,"A threat arising from environmental processes or human activities that has the potential to cause loss of life, injury, property damage, socio-economic disruption or environmental degradation."
HASS,Geography,Year 7 to Year 10,human wellbeing,"A person's satisfaction and wellness or quality of life measured using objective indicators (e.g. life expectancy, educational attainment, income) and subjective indicators (e.g. perceptions, happiness surveys)."
HASS,Geography,Year 7 to Year 10,hydrosphere,"One of the interconnected systems of Earth; it comprises the combined mass of water found on, under, and above the surface of Earth."
HASS,Geography,Year 7 to Year 10,industrial materials and fibres,"Human changes to biomes to increase production of raw materials used in processing or manufacturing of finished products (e.g. timber, rubber, cotton or paper)."
HASS,Geography,Year 7 to Year 10,inter-regional transfer of water,Transfer of water from one river basin to another (e.g. transfer of water from the Snowy River to the Murray and Murrumbidgee rivers in the Snowy Mountains Scheme).
