SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K01,"The economic, political and social causes of the establishment of British colonies in Australia after 1800",,"Investigating the reasons for the establishment of different types of colonies in Australia, such as a penal colony (for example, Moreton Bay, Van Diemen’s Land) or a colony for free settlers, as in South Australia and Victoria",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K01,"The economic, political and social causes of the establishment of British colonies in Australia after 1800",,"Investigating economic reasons for the establishment of different colonies in Australia, such as the acquisition of land and resources, and the economic situation in Britain, including high unemployment and poverty",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K01,"The economic, political and social causes of the establishment of British colonies in Australia after 1800",,"Investigating political reasons for the establishment of different colonies in Australia, such as expanding the British empire and the threat that other countries might want to expand their territories",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K01,"The economic, political and social causes of the establishment of British colonies in Australia after 1800",,"Investigating social causes of the establishment of different colonies in Australia, such as overcrowded cities, high crime rates and overflowing prisons",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K02,"The impact of the development of British colonies in Australia on the lives of First Nations Australians, the colonists and convicts, and on the natural environment",,"Investigating colonial life to discover what life was like at that time for different inhabitants (for example, a First Nations Australian community and a European community, a convict and a free settler, a “squatter”, a sugarcane farmer and an indentured labourer), the challenges they faced and responses they made in terms of clothing, access to food and water, leisure, paid and unpaid work, use of technologies, shopping or trade, language, housing and children’s lives",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K02,"The impact of the development of British colonies in Australia on the lives of First Nations Australians, the colonists and convicts, and on the natural environment",,"Mapping settlement patterns in the 1800s, noting factors that shaped these patterns (for example, geographical features, climate, access to land for farming and grazing, water resources, the discovery of gold, transport and access to port facilities) and the impact these settlement patterns had on the local environment and its ecosystems (for example, comparing the present and past landscape, and the flora and fauna of the local community, including introduced species)",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K03,"The role of a significant individual or group, including First Nations Australians and those who migrated to Australia, in the development of events in an Australian colony",,"Investigating an event or development and explaining its economic, social or political impact on a colony; for example, the impact of Blaxland, Wentworth and Lawson travelling across the Blue Mountains in 1813 on the expansion of farming; the impact of the exploration of the interior by figures such as Mitchell, Oxley and Sturt on frontier conflict; the impact of the introduction of merino sheep on economic development; the impact of the Eureka Stockade on the development of democracy; the impact of internal exploration and the advent of rail on the expansion of farming; the impact of Bennelong as a mediator between two cultures",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K03,"The role of a significant individual or group, including First Nations Australians and those who migrated to Australia, in the development of events in an Australian colony",,"Creating “what if” scenarios by constructing different outcomes for a key event; for example, “What if Peter Lalor had encouraged gold miners to pay rather than resist licence fees?”, “What if Arthur Phillip had not captured Bennelong?”, “What if Chinese immigrants were not allowed to land in Robe, South Australia, during the gold rush?”, “What if Governor Macquarie had not been removed by his enemies in 1821?”, “What if he had not opened the Parramatta Native Institution?”",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K03,"The role of a significant individual or group, including First Nations Australians and those who migrated to Australia, in the development of events in an Australian colony",,"Investigating the experiences and contributions of a particular migrant group within a colony, such as the Germans in South Australia, Japanese in Broome, Afghan cameleers in the Northern Territory, Chinese at Palmer River, and Pacific Islanders in the Torres Strait",
HASS,HASS,Year 5,Knowledge and understanding,History,AC9HS5K03,"The role of a significant individual or group, including First Nations Australians and those who migrated to Australia, in the development of events in an Australian colony",,"Examining the development of at least one primary industry sector of the economy during the 1800s, such as wheat, wool, meat, whaling, sugar cane, pearling or mining, including the involvement of First Nations Australians",
