SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,HASS,Foundation,Knowledge and understanding,History,AC9HSFK01,"The people in their family, where they were born and raised, and how they are related to each other",,"Discussing the members of a family (for example, mother, father, caregiver, sister, brother, grandparent, auntie, uncle, cousin) and acknowledging other varieties of kinship structure that may be represented in the cultural backgrounds of students (for example, cousin-brother and mother-auntie in First Nations Australian families)",
HASS,HASS,Foundation,Knowledge and understanding,History,AC9HSFK01,"The people in their family, where they were born and raised, and how they are related to each other",,"Creating drawings of family members accompanied by information collected from questions and observations to share details of that person’s life, including the places they were born and raised",
HASS,HASS,Foundation,Knowledge and understanding,History,AC9HSFK01,"The people in their family, where they were born and raised, and how they are related to each other",,Creating concept maps of their family with pictures or photographs to show connections to those people who make up their family,
HASS,HASS,Foundation,Knowledge and understanding,History,AC9HSFK02,The celebrations and commemorations of significant events shared with their families and others,,"Responding to a provided calendar of events that students, their families and friends celebrate or commemorate; for example, birthdays; religious festivals such as Easter, Ramadan, Buddha’s Birthday, Feast of Passover and Coming of the Light; family reunions; cultural festivals; and community commemorations such as NAIDOC Week and Anzac Day, and discussing why they are important",
HASS,HASS,Foundation,Knowledge and understanding,History,AC9HSFK02,The celebrations and commemorations of significant events shared with their families and others,,"Discussing ways of celebrating these significant occasions; for example, special meals, family gatherings, visiting special places, and the role of art, music, telling stories and handing on traditions from generation to generation for First Nations Australians",
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK03,"The features of familiar places they belong to, why some places are special and how places can be looked after",,"Identifying the places, communities, Country/Place they live in and belong to, and why that place may be special to them; for example, a neighbourhood, suburb, town or rural locality, or community",
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK03,"The features of familiar places they belong to, why some places are special and how places can be looked after",,"Exploring the features of their own place, and places they are familiar with or aware of; for example, places they have visited, places family members have come from, imaginary places in stories, or places featured on television and websites, in books or ebooks",
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK03,"The features of familiar places they belong to, why some places are special and how places can be looked after",,"Identifying reasons why people live in or visit places, such as the provision of basic needs (water, food, shelter), to enhance lives (holiday places, places for recreation, for religious observance) and to maintain cultural connections to Country/Place",
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK03,"The features of familiar places they belong to, why some places are special and how places can be looked after",,"Discussing different ways they could or do contribute to caring for special places, including those that are unique; for example, planting trees for a local endangered species, cleaning up litter at a local park or beach, or planting flora in a local wetland",
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK04,The importance of Country/Place to First Nations Australians and the Country/Place on which the school is located,,Identifying how and why the words “Country/Place” are used by First Nations Australians for the places they belong to,
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK04,The importance of Country/Place to First Nations Australians and the Country/Place on which the school is located,,Identifying and using the name of the local First Nations Australian language group or groups,
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK04,The importance of Country/Place to First Nations Australians and the Country/Place on which the school is located,,"Listening and responding to invited members of the Traditional Owner group talking about Country/Place, and places of cultural and historical significance to the First Nations Australian community in the local neighbourhood, suburb, town or rural area",
HASS,HASS,Foundation,Knowledge and understanding,Geography,AC9HSFK04,The importance of Country/Place to First Nations Australians and the Country/Place on which the school is located,,Identifying local places of significance for First Nations Australians in the local area,
