SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K01,"Significant individuals, events and ideas that led to Australia’s Federation, the Constitution and democratic system of government",,"Studying Australia’s path to Federation through an examination of key people and events, such as Henry Parkes, Edmund Barton, Alfred Deakin, George Reid, John Quick, the Tenterfield Oration, the Corowa Conference and the referendums held in the colonies between 1898 and 1900",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K01,"Significant individuals, events and ideas that led to Australia’s Federation, the Constitution and democratic system of government",,Exploring how the United States of America’s model of federalism (the Washington system) contributed to the ideas for Andrew Clark’s first draft of the Constitution,
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K01,"Significant individuals, events and ideas that led to Australia’s Federation, the Constitution and democratic system of government",,"Investigating how Australia’s system of law and government has origins in the Magna Carta, the English Civil War and Westminster system and, therefore, why we have a constitutional monarchy and why there was a separation of powers (legislative, executive, judiciary)",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K02,"Changes in Australia’s political system and to Australian citizenship after Federation and throughout the 20th century that impacted on First Nations Australians, migrants, women and children",,Describing the significance of the 1962 right to vote federally and the importance of the 1967 referendum for First Nations Australians,
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K02,"Changes in Australia’s political system and to Australian citizenship after Federation and throughout the 20th century that impacted on First Nations Australians, migrants, women and children",,"Investigating developments in advancing democracy and citizenship for women, such as the suffragette movement, the right to vote, the bar on married women working, equal pay and the Sex Discrimination Act 1984",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K02,"Changes in Australia’s political system and to Australian citizenship after Federation and throughout the 20th century that impacted on First Nations Australians, migrants, women and children",,"Investigating developments in advancing democracy and citizenship for all citizens, including migrant groups; for example, the establishment of the minimum wage, anti-discrimination legislation and official national multicultural policy",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K02,"Changes in Australia’s political system and to Australian citizenship after Federation and throughout the 20th century that impacted on First Nations Australians, migrants, women and children",,"Investigating the experiences of children who were placed in orphanages, homes and other institutions; for example, their food and shelter, protection, education and contacts with family",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K03,"The causes of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region",,"Exploring push and pull factors that have contributed to people migrating to Australia, including economic factors, conflict and seeking political refuge, and inquiring into why particular 20th century migrant groups came to Australia; for example, migrants from Europe following the Second World War, migrants from South-East Asia due to conflict, the Assisted Passage Migration Scheme",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K03,"The causes of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region",,"Exploring individual narratives, using primary sources such as letters, documents and historical objects to interview and record an oral history of, for example, migration related to students’ own family histories, and then outlining the journey and circumstances of arrival based on the sources, using approaches such as drama or digital presentations.",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K03,"The causes of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region",,"Describing cultural practices related to family life, beliefs and customs of newly arrived migrant groups and exploring how these practices changed the communities in which they settled within Australia",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K03,"The causes of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region",,Examining population data that show the places of birth of Australia’s people at one or more points of time in the past and today,
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K03,"The causes of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region",,"Investigating the role of specific cultural groups in Australia’s economic and social development in, for example, the cattle industry, the Snowy Mountains Scheme and the pearling industry",
HASS,HASS,Year 6,Knowledge and understanding,History,AC9HS6K03,"The causes of people migrating to Australia since Federation and throughout the 20th century, their stories and effects on Australian society, including migrants from the Asia region",,"Considering the contributions to Australia of notable Australians who were migrants or from migrant families, across a range of fields; for example, Hieu Van Le (the 35th Governor of South Australia), Sir Frank Lowy, Marita Cheng, Dame Marie Bashir",
HASS,HASS,Year 6,Knowledge and understanding,Geography,AC9HS6K04,"The geographical diversity and location of places in the Asia region, and its location in relation to Australia",,"Exploring the diversity of environments and types of settlement in the Asia region, in part of the region, or in a country in North-East, South-East or South Asia, and discussing any patterns",
HASS,HASS,Year 6,Knowledge and understanding,Geography,AC9HS6K04,"The geographical diversity and location of places in the Asia region, and its location in relation to Australia",,Investigating the differences in the population size and life expectancy of people in different Asian countries,
HASS,HASS,Year 6,Knowledge and understanding,Geography,AC9HS6K04,"The geographical diversity and location of places in the Asia region, and its location in relation to Australia",,"Describing the location of places in countries of the Asia region in absolute terms, using latitude and longitude",
HASS,HASS,Year 6,Knowledge and understanding,Geography,AC9HS6K04,"The geographical diversity and location of places in the Asia region, and its location in relation to Australia",,"Comparing the daily lives of people in other countries, in terms of food, clothing, personal and household goods, housing and education, and differences between the wealthy and poor in a country",
HASS,HASS,Year 6,Knowledge and understanding,Geography,AC9HS6K04,"The geographical diversity and location of places in the Asia region, and its location in relation to Australia",,"Identifying examples of Indigenous peoples who live in different regions in Asia, such as Orang Asli of Malaysia and Indonesia, the Tibetans and the Mongols, and appreciating their similarities and differences, and the ways they have lived sustainably over time",
