SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K01,"Causes and effects of changes to the local community, and how people who may be from diverse backgrounds have contributed to these changes",,"Exploring photographs, newspapers, oral histories, diaries and letters to investigate how an aspect of life in the local community, such as transport, entertainment, the natural and built environment, and technologies, has changed over time; for example, from the time of European settlement to the present day",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K01,"Causes and effects of changes to the local community, and how people who may be from diverse backgrounds have contributed to these changes",,"Comparing photographs from the past and present of a specific location to identify the change or continuity (similarities and differences over time) associated with people, events or developments, places or ecosystems",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K01,"Causes and effects of changes to the local community, and how people who may be from diverse backgrounds have contributed to these changes",,"Identifying individuals and groups of diverse backgrounds from the past, who have contributed to the community’s economic, social, cultural, civic and environmental development and character",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K01,"Causes and effects of changes to the local community, and how people who may be from diverse backgrounds have contributed to these changes",,"Investigating reasons for change in the local community, why change was brought about and what happened because of it; for example, the change in use of a building, wasteland turning to wetland",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K02,"Significant events, symbols and emblems that are important to Australia’s identity and diversity, and how they are celebrated, commemorated or recognised in Australia, including Australia Day, Anzac Day, NAIDOC Week, National Sorry Day, Easter, Christmas, and other religious and cultural festivals",,"Identifying and discussing the historical origins of an important Australian celebration or commemoration, including Australia Day, Anzac Day, NAIDOC Week and National Sorry Day, as well as significant religious or cultural festivals, such as Easter, Christmas, Lunar New Year, Diwali and Eid",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K02,"Significant events, symbols and emblems that are important to Australia’s identity and diversity, and how they are celebrated, commemorated or recognised in Australia, including Australia Day, Anzac Day, NAIDOC Week, National Sorry Day, Easter, Christmas, and other religious and cultural festivals",,"Recognising that people have different points of view on some events that are commemorated and celebrated; for example, some First Nations Australians regard “Australia Day” as “Invasion Day” and many non-Christians celebrate Christmas",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K02,"Significant events, symbols and emblems that are important to Australia’s identity and diversity, and how they are celebrated, commemorated or recognised in Australia, including Australia Day, Anzac Day, NAIDOC Week, National Sorry Day, Easter, Christmas, and other religious and cultural festivals",,"Generating a list of local, state/territory, national and religious symbols and emblems (for example, the Commonwealth Coat of Arms, the Australian Flag and First Nations Australians’ flags, state/territory flags and coats of arms, club emblems, school logos, flags, floral emblems, and religious symbols, such as the Christian cross, the Crescent and Star, and the Magen David), and discussing their origins, use and significance",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K02,"Significant events, symbols and emblems that are important to Australia’s identity and diversity, and how they are celebrated, commemorated or recognised in Australia, including Australia Day, Anzac Day, NAIDOC Week, National Sorry Day, Easter, Christmas, and other religious and cultural festivals",,"Examining the symbolism found in the design and positioning of flags (for example, the Australian flag, First Nations Australians’ flags) and recognising special occasions when they are flown (for example, all three flags are flown during NAIDOC Week, National Reconciliation Week, National Sorry Day and Mabo Day)",
HASS,HASS,Year 3,Knowledge and understanding,History,AC9HS3K02,"Significant events, symbols and emblems that are important to Australia’s identity and diversity, and how they are celebrated, commemorated or recognised in Australia, including Australia Day, Anzac Day, NAIDOC Week, National Sorry Day, Easter, Christmas, and other religious and cultural festivals",,"Examining the roles, rights and responsibilities the community has when observing protocols around flag flying",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K03,"The representation of contemporary Australia as states and territories, and as the Countries/Places of First Nations Australians prior to colonisation, and the locations of Australia’s neighbouring regions and countries",,"Using geographical tools to locate and name the states and territories in Australia, along with their capital cities; for example, a globe, wall map or digital source such as an online satellite image",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K03,"The representation of contemporary Australia as states and territories, and as the Countries/Places of First Nations Australians prior to colonisation, and the locations of Australia’s neighbouring regions and countries",,"Using a globe or digital source to locate the Pacific Island nations, New Zealand, Papua New Guinea, Timor-Leste, Indonesia and countries relevant to students, labelling them on a map and identifying the direction of each country from Australia",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K03,"The representation of contemporary Australia as states and territories, and as the Countries/Places of First Nations Australians prior to colonisation, and the locations of Australia’s neighbouring regions and countries",,"Using the Australian Institute of Aboriginal and Torres Strait Islander Studies Map of Indigenous Australia and a states and territories map of Australia to compare the boundaries of Aboriginal Countries and Torres Strait Islander Places with the surveyed boundaries between Australian states and territories, to gain an appreciation of the different ways Australia can be represented",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K04,The ways First Nations Australians in different parts of Australia are interconnected with Country/Place,,"Explaining that some First Nations Australians have special connections to many Countries/Places; for example, through marriage, birth, parents, residence and chosen or forced movement, and that First Nations Australians can identify with more than one Country/Place",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K04,The ways First Nations Australians in different parts of Australia are interconnected with Country/Place,,"Discussing how some people are connected to one Country; for example, because it is “Mother’s” Country or “Father’s” Country",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K04,The ways First Nations Australians in different parts of Australia are interconnected with Country/Place,,"Exploring the ways Australian First Nations Peoples connect to Country/Place, by reading and viewing poems, songs, paintings and stories from outside the local area",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K05,"The similarities and differences between places in Australia and neighbouring countries in terms of their natural, managed and constructed features",,"Identifying and locating examples of the main climatic types in Australia and neighbouring countries (for example, equatorial, tropical, arid, semi-arid, temperate) and the features of those climate types and their impact on other natural features",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K05,"The similarities and differences between places in Australia and neighbouring countries in terms of their natural, managed and constructed features",,"Identifying and describing the similarities and differences between places in Australia and places in neighbouring countries, such as Indonesia and Pacific Island nations, in their natural features; for example, rocks, landforms, bodies of water, climate, soils, natural vegetation and animal life",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K05,"The similarities and differences between places in Australia and neighbouring countries in terms of their natural, managed and constructed features",,Investigating differences in the type of housing that people use in different climates and environments,
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K05,"The similarities and differences between places in Australia and neighbouring countries in terms of their natural, managed and constructed features",,"Exploring different types of settlement and classifying them into hierarchical categories, such as isolated dwellings, outstations, villages, towns, regional centres and large cities",
HASS,HASS,Year 3,Knowledge and understanding,Geography,AC9HS3K05,"The similarities and differences between places in Australia and neighbouring countries in terms of their natural, managed and constructed features",,"Choosing a place in a neighbouring country, such as Indonesia or Pacific Island nations, to compare with a place in Australia in terms of managed and built features, to explore the reasons for similarities and differences",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K06,"Who makes rules, why rules are important in the school and/or the local community, and the consequences of rules not being followed",,Developing and justifying a set of fair rules and consequences for the class,
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K06,"Who makes rules, why rules are important in the school and/or the local community, and the consequences of rules not being followed",,"Identifying familiar rules, how rules protect the rights of others, what their responsibilities are to others, and the consequences when rules are not followed",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K06,"Who makes rules, why rules are important in the school and/or the local community, and the consequences of rules not being followed",,"Exploring who has the authority to make rules in different contexts (for example, parents, teachers, coaches) and considering why rules differ across these contexts, such as a school playground, in class, at home, or in sport",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K06,"Who makes rules, why rules are important in the school and/or the local community, and the consequences of rules not being followed",,"Discussing situations where it is not fair to have one rule that treats everyone the same; for example, if some people, such as students with disability, have different needs or would be unable to follow the rules",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K06,"Who makes rules, why rules are important in the school and/or the local community, and the consequences of rules not being followed",,"Exploring cultural norms behind some rulemaking; for example, removing shoes before entering places of cultural or religious significance",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K07,Why people participate within communities and how students can actively participate and contribute to communities,,Identifying groups that actively participate in the local community or through a virtual community and exploring their purpose,
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K07,Why people participate within communities and how students can actively participate and contribute to communities,,"Exploring how they could participate in a school or community project; for example, raising money for a relevant aid project, such as supporting disadvantaged communities overseas or working to protect a bird habitat",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K07,Why people participate within communities and how students can actively participate and contribute to communities,,"Investigating how an individual’s contribution can be recognised; for example, an Order of Australia award",
HASS,HASS,Year 3,Knowledge and understanding,Civics and Citizenship,AC9HS3K07,Why people participate within communities and how students can actively participate and contribute to communities,,"Exploring the motivations of individuals who contribute to communities, such as local community volunteers, leaders and Elders",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S01,"Develop questions to guide investigations about people, events, places and issues",,"Developing inquiring questions as they investigate; for example, “Why there?” questions about location; “What might happen?” questions about future consequences of natural processes or people’s actions in places; and “What ought to happen?” questions about ethical behaviour, sustainability and preferred futures",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S01,"Develop questions to guide investigations about people, events, places and issues",,"Asking probing questions during an investigation; for example, “Why is that so?”, “What else do we need to know?”",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S01,"Develop questions to guide investigations about people, events, places and issues",,Posing questions to compare such as “How have things changed?” and “How is my house the same or different to one in a neighbouring country?”,
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S02,"Locate, collect and record information and data from a range of sources, including annotated timelines and maps",,"Locating sources suited to learning about the past, such as photographs, interviews, newspapers, digital media, stories, cemetery observations, interviews with older people, and maps, including those online",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S02,"Locate, collect and record information and data from a range of sources, including annotated timelines and maps",,"Collecting information in the field; for example, taking photographs, making sketches or collecting natural objects, or interviewing or surveying people to seek information about feelings, preferences, perspectives and actions",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S02,"Locate, collect and record information and data from a range of sources, including annotated timelines and maps",,"Gathering information from maps, aerial photographs, satellite images or digital application objects, to support the investigation of the natural, managed and constructed features of places",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S02,"Locate, collect and record information and data from a range of sources, including annotated timelines and maps",,Sequencing information about local people and events in annotated timelines to show change,
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S02,"Locate, collect and record information and data from a range of sources, including annotated timelines and maps",,"Acquiring geographical information from schools in geographically contrasting parts of Australia and neighbouring countries and recording that information by constructing and annotating maps, using the appropriate cartographic conventions, including map symbols, title and north point",
HASS,HASS,Year 3,Skills,Questioning and researching,AC9HS3S02,"Locate, collect and record information and data from a range of sources, including annotated timelines and maps",,Creating tables or picture and column graphs to show patterns in data collected from a class vote on participation in community activities,
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S03,Interpret information and data displayed in different formats,,"Distinguishing between fiction and non-fiction texts in relation to representation of places, environments and past events",
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S03,Interpret information and data displayed in different formats,,Interpreting climate data to describe the temperature and rainfall for a place in Australia and a place in a neighbouring country,
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S03,Interpret information and data displayed in different formats,,Interpreting information about the number of parents that volunteer at the school and why they may choose to contribute in this way,
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S03,Interpret information and data displayed in different formats,,"Interpreting data to identify patterns of change over time; for example, examine building dates to make inferences about changing designs and materials used",
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S03,Interpret information and data displayed in different formats,,"Using maps, ground and aerial photographs, and a digital source such as online satellite images to identify, locate and describe features, including the interpretation of cartographic information such as titles, map symbols, north point and compass direction",
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S04,"Analyse information and data, and identify perspectives",,"Comparing information in different sources to identify evidence of change; for example, images and maps of the local area over time",
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S04,"Analyse information and data, and identify perspectives",,"Comparing different accounts of historic events to determine the effects of changes; for example, how the development of local farming or industry impacted on people and the environment",
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S04,"Analyse information and data, and identify perspectives",,"Analysing information collected from interviews with different people, such as children, teachers, coaches and community members, about rules and how decisions are made",
HASS,HASS,Year 3,Skills,"Interpreting, analysing and evaluating",AC9HS3S04,"Analyse information and data, and identify perspectives",,"Using visible thinking strategies to examine a group of paintings and/or maps across a period of time, to explore evidence of continuity and change, and significant events in the local area",
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S05,Draw conclusions based on analysis of information,,"Reaching conclusions about how their place and community have changed and developed based on an analysis of data and information related to settlement patterns, local changes in plant and animal species, historic events or cultural celebrations",
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S05,Draw conclusions based on analysis of information,,Drawing conclusions about the preservation of unique features of the natural environment,
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S05,Draw conclusions based on analysis of information,,"Drawing conclusions about the ways people are connected with places, and the similarities and differences of places in Australia and those of neighbouring countries",
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S06,Propose actions or responses to an issue or challenge that consider possible effects of actions,,"Contributing ideas to a group response to a community challenge; for example, ways their class or school could contribute to recycling or conserving energy",
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S06,Propose actions or responses to an issue or challenge that consider possible effects of actions,,"Considering anticipated effects of actions designed to protect and improve places that people perceive as important, such as places of environmental, cultural or religious value, or historic significance",
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S06,Propose actions or responses to an issue or challenge that consider possible effects of actions,,"Developing a plan of action to achieve a set goal; for example, to protect a place, to participate in a community festival or commemoration, to raise awareness about an issue, to raise money for a purpose",
HASS,HASS,Year 3,Skills,Concluding and decision-making,AC9HS3S06,Propose actions or responses to an issue or challenge that consider possible effects of actions,,"Arguing a point of view on a civics and citizenship issue relevant to their lives (for example, the consequences of breaking school rules, the value of contributing to their community, the need to preserve an endangered species) and making effective use of persuasive language such as “I think” and “I dis/agree that” to gain the support of others",
HASS,HASS,Year 3,Skills,Communicating,AC9HS3S07,"Present descriptions and explanations, using ideas in sources and relevant subject-specific terms",,"Selecting ideas from sources, such as graphs, tables, photographs and pictures",
HASS,HASS,Year 3,Skills,Communicating,AC9HS3S07,"Present descriptions and explanations, using ideas in sources and relevant subject-specific terms",,"Using appropriate terms when speaking, writing and illustrating; for example, historical terms such as “immigration”, “exploration”, “development”, “settlement”, “naming days of commemoration” and “emblems”; geographical terms such as “climate”, “settlement”, “environment”, “natural” and “constructed”; and civics terms such as “community”, “decision-making” and “participation”",
