SubjectArea,Subject,Band,Term,Definition
HASS,History,Year 7 to Year 10,1938 Day of Mourning,First national civic rights action held on the 150th anniversary of the arrival of the British. A deputation presented to the Prime Minister a proposed national policy for First Nations Australians.
HASS,History,Year 7 to Year 10,accuracy,"The analysis of a source to establish correctness by identifying purpose, corroborating the information with another source and assessing bias."
HASS,History,Year 7 to Year 10,Agricultural Revolution,"An event which occurred in the 18th and early 19th centuries, characterised by rapid increase in agricultural production due to technological innovations and changed agricultural methods."
HASS,History,Year 7 to Year 10,ancient,"Historical period from 60,000 years ago to the fall of the Roman Empire in Western Europe c. 500 AD (CE), characterised by the existence of written evidence, cultural practises and social organisation."
HASS,History,Year 7 to Year 10,anno Domini (AD),"A dating method in Western societies which uses the birth of Christ as a marker to reference events in the past, present or future. It means ‘in the year of our Lord’."
HASS,History,Year 7 to Year 10,annotated timeline,"Events represented chronologically on a timeline including dates and a written, visual or multimodal summary of each event."
HASS,History,Year 7 to Year 10,Apology to the Stolen Generations (the),"A formal apology given to members of the Stolen Generations in 2008 by the Prime Minister on behalf of the Australian Parliament, and between 1997 and 1999 by all state and territory parliaments."
HASS,History,Year 7 to Year 10,argument,A claim justified with reference to evidence.
HASS,History,Year 7 to Year 10,artefact,"An object made or changed by humans for their use (such as a stone tool, metal sword, letter or plastic toy) that gives insight into how people lived or is of historical interest."
HASS,History,Year 7 to Year 10,Asia / Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
HASS,History,Year 7 to Year 10,Asia-Australian engagement,"A range of social, cultural, political, historical or economic relationships or technological connections supporting engagement between Australia and the peoples of Asia."
HASS,History,Year 7 to Year 10,atomic bomb (use of the),"An event at the end of the Second World War which involved the dropping of 2 atomic bombs on Japanese cities, hastening the end of the war."
HASS,History,Year 7 to Year 10,Australian democracy,"System of government based on the Australian Constitution, a constitutional monarch, liberal democratic values, representation and features of Westminster and Washington parliamentary processes."
