SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K01,"Theories and historical interpretations about early human evolution and migration, such as the theory that people moved out of Africa and the causes of migration to other parts of the world, including Australia",,Identifying different theories regarding human evolution such as the Out of Africa Theory and the Modern Theory of Evolution,
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K01,"Theories and historical interpretations about early human evolution and migration, such as the theory that people moved out of Africa and the causes of migration to other parts of the world, including Australia",,"Describing how environmental changes, such as climate change and desertification, triggered the movement of peoples from Africa",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K01,"Theories and historical interpretations about early human evolution and migration, such as the theory that people moved out of Africa and the causes of migration to other parts of the world, including Australia",,"Identifying how different approaches, such as the use of excavation and stratigraphy, oral history and the data derived from radiocarbon dating, inform historical interpretations",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K02,Theories about the causes and effects of the arrival of early First Nations Australians on the Australian continent and their migration routes across the continent,,"Investigating how scientific techniques have been used to establish the arrival of humans to the mega-continent known as Sahul; for example, use of radiocarbon (C14) and Thermoluminescence (TL) dating techniques used to date archaeological sites related to early human occupation such as Lake Mungo, and genetic research to map the movement of people",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K02,Theories about the causes and effects of the arrival of early First Nations Australians on the Australian continent and their migration routes across the continent,,Investigating how the ancestors of the early First Peoples of Australia were seafarers and examining the likely effects this had on the movement of people to the continent,
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K02,Theories about the causes and effects of the arrival of early First Nations Australians on the Australian continent and their migration routes across the continent,,"Examining online maps and information to investigate the relationship between geographical features and the location of known ancient sites on the mega-continent known as Sahul; for example, investigating the vegetation types and water sources in different parts of the continent and how they reflect the location of ancient sites",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K02,Theories about the causes and effects of the arrival of early First Nations Australians on the Australian continent and their migration routes across the continent,,"Investigating the techniques used to predict the chronology and the routes taken in the dispersal of early First Nations Australians across the continent; for example, using online information that explains how research into ancient landscapes, waterways, terrain and important early First Nations Australians’ habitation sites can model the movement of people across the continent, or how DNA taken from hair samples can track the genetic connections of First Nations Australians back to specific parts of Australia tens of thousands of years ago",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K03,"How First Nations Australians are the world’s oldest continuing cultures, displaying evidence of both continuity and change over deep time",,"Investigating dating methods used by archaeologists for the study of early First Nations Australians; for example, the use of the “Before Present” (BP) dating system",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K03,"How First Nations Australians are the world’s oldest continuing cultures, displaying evidence of both continuity and change over deep time",,"Exploring how we know about continuities and changes in First Nations Australians’ cultures; for example, the archaeological research showing evidence of occupation and the lives of First Nations Australians during the Pleistocene epoch at sites such as Lake Mungo and Kutikina Cave",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K03,"How First Nations Australians are the world’s oldest continuing cultures, displaying evidence of both continuity and change over deep time",,"Exploring evidence of continuities and changes in the ancient period at specific sites; for example, dating the creation of pictographs and the carving of petroglyphs at sites such as the Dampier Archipelago, Grampians National Park, Kakadu National Park, Koonalda Cave, Uluru-Kata Tjuta National Park, Preminghana, and the West Kimberley",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K03,"How First Nations Australians are the world’s oldest continuing cultures, displaying evidence of both continuity and change over deep time",,"Exploring evidence of continuing culture that was evident in the ancient period, such as the use of ochre",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K03,"How First Nations Australians are the world’s oldest continuing cultures, displaying evidence of both continuity and change over deep time",,"Examining First Nations Australians’ views on creation and changes in the landscape that have been passed down through oral tradition, such as the existence of megafauna, changes from wetter to drier climates and changes in vegetation in central Australia",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K04,How First Nations Australians have responded to environmental processes and changes over time,,"Explaining the effects of environmental changes on First Nations Australians across Australia, such as rising sea levels (for example, the loss of the land bridge to Tasmania and the formation of the Torres Strait Islands from an existing land bridge) and the aridification of some landscapes, such as Lake Mungo",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K04,How First Nations Australians have responded to environmental processes and changes over time,,"Investigating how accounts of rising sea levels that occurred between 18,000 and 7,000 years ago have been passed down through the oral traditions of First Nations Australians; for example, stories in the Boonwurrung (Port Phillip) Country about the loss of kangaroo hunting grounds, and those in the Nukunu (Spencer Gulf) Country about the sea swallowing up the land",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K04,How First Nations Australians have responded to environmental processes and changes over time,,"Investigating the megafauna that inhabited Australia in the Pleistocene epoch and discussing how it may have impacted on the sustainable harvesting of game by First Nations Australians, both prior to and after the extinction of megafauna",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K04,How First Nations Australians have responded to environmental processes and changes over time,,"Exploring evidence of how First Nations Australians responded to environmental changes in the Holocene epoch; for example, archaeological evidence that people maintained seasonal presence in the Willandra Lakes region at times when water was available, the maritime specialisation of those on the Torres Strait Islands and Cape York around 2,500 BP, and the de-population of islands such as Rottnest, Kangaroo and Flinders islands when cut off from the mainland",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K04,How First Nations Australians have responded to environmental processes and changes over time,,"Investigating the water management techniques used by early First Nations Australians in environments with scarce supplies of fresh water, such as islands and deserts",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K05,"The technological achievements of early First Nations Australians, and how these developed in different places and contributed to daily life, and land and water source management",,"Investigating chronologies of technological achievements for continuity and change over time, including the development of stone tools and stone-knapping techniques such as ground-edge tools, hafted axes and mill stones",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K05,"The technological achievements of early First Nations Australians, and how these developed in different places and contributed to daily life, and land and water source management",,"Exploring how food production or procurement such as agriculture, aquaculture, nomadism and hunter-gatherer/forager societies were influenced by the environment; for example, people in the Torres Strait Islands and Cape York developing maritime technologies and people in arid environments developing a nomadic lifestyle, and the development of sustainable harvesting practices such as those of the Mithaka People in Queensland’s Channel Country",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K05,"The technological achievements of early First Nations Australians, and how these developed in different places and contributed to daily life, and land and water source management",,"Exploring land and water management practices developed by early First Nations Australians, such as cultural burning practices, and the conservation and use of water through the development of weirs, irrigation and water evaporation reduction systems",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K05,"The technological achievements of early First Nations Australians, and how these developed in different places and contributed to daily life, and land and water source management",,"Exploring aquaculture practices developed by early First Nations Australians, such as eel traps of the Gundtitjmara People at Budj Bim, Victoria, the mollusc harvesting of the Kombumerri People on the Gold Coast, Queensland, and stone fish traps used by the Ngemba People at Brewarrina, New South Wales",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K06,"The social organisation and cultural practises of early First Nations Australians, and their continuity and change over time",,"Examining the social organisation systems of First Nations Australians, such as moieties, totems and kinship groups, and how they determine roles and relationships to others, including how they underpin marriage laws, and their development and significance in areas such as Central Australia during increasing desertification",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K06,"The social organisation and cultural practises of early First Nations Australians, and their continuity and change over time",,"Examining how aspects of social organisation and cultural practices of early First Nations Australians are known because they have been passed on through oral traditions and supported by media such as song, dance, music and visual art representations such as rock paintings; for example, narratives or visual representations related to lore, kinship structures, and responsibilities to the land, seas, waterways, sky and universe",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K06,"The social organisation and cultural practises of early First Nations Australians, and their continuity and change over time",,"Investigating important cultural practices of early First Nations Australians and their continuity and change over time; for example, lore, rites of passage, and the antiquity and types of funerary customs and burial practices such as the early example of cremation at the Willandra Lakes in New South Wales, the tombstone openings of the Torres Strait Islands and the log coffins used by the Yolngu Peoples of Arnhem Land",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K06,"The social organisation and cultural practises of early First Nations Australians, and their continuity and change over time",,"Exploring the existence of defined land, sea and sky territories, and the social and political systems that governed early First Nations Australians’ societies, such as land tenure systems, delineation and reciprocal access rights, and the trade and bartering of items such as ochre, medicine and trepang",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K07,"The cultural obligations of First Nations Australians about significant heritage sites, including ancestral remains, material culture and artefacts, and the role of collabouration between First Nations Australians and other individuals and groups to ensure cultural preservation",,"Recognising how the human remains of early First Nations Australians are the ancestors of contemporary First Nations Peoples of Australia and, as such, any unauthorised disturbance is taken as a serious breach of cultural protocol",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K07,"The cultural obligations of First Nations Australians about significant heritage sites, including ancestral remains, material culture and artefacts, and the role of collabouration between First Nations Australians and other individuals and groups to ensure cultural preservation",,"Exploring how the ancestral remains found at Lake Mungo (Willandra Lakes region) illustrate the issues of ownership, cultural protocols, research and repatriation",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K07,"The cultural obligations of First Nations Australians about significant heritage sites, including ancestral remains, material culture and artefacts, and the role of collabouration between First Nations Australians and other individuals and groups to ensure cultural preservation",,"Examining the importance of consultation with multiple stakeholders when conserving culture and heritage sites; for example, the collaboration between the Traditional Owners and researchers",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K07,"The cultural obligations of First Nations Australians about significant heritage sites, including ancestral remains, material culture and artefacts, and the role of collabouration between First Nations Australians and other individuals and groups to ensure cultural preservation",,"Investigating world heritage criteria for the listing of significant sites such as the Budj Bim and Willandra Lakes regions, and cultural landscapes such as Uluru-Kata Tjuta and Kakadu",
HASS,History,Year 7,Knowledge and understanding,Deep time history of Australia,AC9HH7K07,"The cultural obligations of First Nations Australians about significant heritage sites, including ancestral remains, material culture and artefacts, and the role of collabouration between First Nations Australians and other individuals and groups to ensure cultural preservation",,"Examining the role of national and state/territory galleries, libraries, archives, museums, historical societies and field sites in curating, conserving and showcasing First Nations Australians’ histories and cultures",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K08,"The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Evaluating various methods for investigating the ancient past; for example, stratigraphy to date discoveries, and DNA testing to identify common diseases and past individuals from their remains, such as Egyptian mummies",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K08,"The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Creating a cross-sectional drawing of the earth’s surface from an archaeological excavation to identify the evidence located at various layers (stratigraphy) and what it reveals about change over time; for example, a charcoal layer containing human remains and weapons may indicate the capture and destruction of an ancient settlement such as Troy",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K08,"The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Examining the impact of modern infrastructure works, such as the Aswan Dam, on sites of ancient significance",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K08,"The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Examining the roles and responsibilities of governments and other bodies, such as UNESCO, in protecting key archaeological sites; for example, the rescue mission to save the temples of Abu Simbel or the campaign for the return of the Elgin Marbles to Greece",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K08,"The different methods and sources of evidence used by historians and archaeologists to investigate early societies, and the importance of archaeology and conserving the remains, material culture and heritage of the past",,"Investigating world heritage criteria for the listing of significant sites; for example, the Great Wall of China or the Mausoleum of the First Qin Emperor (Qin Shi Huang) or Mohenjo-dara in India",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,Greece,"Explaining the role of topography in providing barriers of defence for city-states, such as the surrounding seas, mountain ranges and river systems; for example, the Axios (Vardar), Strimonas (Struma) and Nestos rivers",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,Rome,Explaining the role of the fertile soil of the Po and Tiber River regions in enabling trade through surplus production,
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,Rome,"Describing Roman methods to manage resources; for example, water supply through aqueducts and plumbing systems",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,Egypt,"Explaining how the Nile River enabled the establishment of ancient Egyptian society through farming (including the role of the inundation), transportation, defence (for example, the cataract fortifications) and religion (for example, Hapi, god of the inundation; Khnum, god of the Nile; and Satet, goddess of Nile floods and the Nile cataracts)",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,India,"Identifying how the environment and harmonious relationships with the natural world were reflected in belief systems such as Hinduism, Buddhism and Jainism",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,China,Examining the role of climate in enabling the establishment and expansion of agriculture around the Yellow River and how this supported the ancient society,
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K09,How the physical environment and geographical features influenced the development of the ancient society,China,"Describing the impact of topographic features, such as the Himalayas, rivers and seas, on contact with other societies, including trade and warfare",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Greece,"Examining evidence of the social structure of Athenian or Spartan society; for example, the roles of citizens, women and slaves in Athenian society and the roles of Spartiates, Perioikoi and Helots in Spartan society",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Greece,"Describing the rights of citizens in ancient Athens (for example, the right for men to vote), their responsibilities (for example, military service, attending assembly meetings) and the concept of freedom",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Rome,"Describing the significance of slavery in the period of the Roman Empire; for example, the acquisition of slaves through warfare, the use of slaves as gladiators, agricultural labourers and domestic servants, and the rise of freedmen",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Rome,"Investigating material culture and visual primary sources depicting the role of social structure (for example, the roles of patricians, plebeians, women of different classes and slaves) to understand the lived experience of republicanism in Rome",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Egypt,"Explaining the social structure of ancient Egypt, including slaves, farmers, craftsmen, merchants, scribes, soldiers, priests, Vizers, Nomarchs and Pharaoh",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Egypt,"Describing the rights and responsibilities of women of different classes in the areas of marriage, family life, work and education, and the depiction of women fulfilling these roles in artwork and funerary texts",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",Egypt,"Explaining how scribes viewed their role in the maintenance of society, using evidence such as funerary texts and literary works, such as the Instruction of Amenemope",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",India,"Explaining how society was organised and shaped through the social hierarchy, including the role of Brahmins (priests, teachers), Kshatriyas (kings, warriors), Vaishyas (merchants, artisans) and Shudras (labourers, peasants)",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",China,"Describing the role of women in shaping ancient society in the areas of marriage, family life, work and education",
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K10,"The organisation and roles of key groups in ancient society such as the nobility, bureaucracy, women and slaves, and how they influenced and changed society",China,Outlining the rights and responsibilities of the Shi class,
HASS,History,Year 7,Knowledge and understanding,The ancient world,AC9HH7K11,"Key beliefs, values and practises of an ancient society, with a particular emphasis on one of the following areas: everyday life, warfare, or death and funerary customs",Greece,Describing the role of the Delphic Oracle in informing decision-making regarding future warfare,
