SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
Mathematics,Mathematics,Foundation,Number,,AC9MFN01,"Name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals",,"Responding to a request to collect a quantity of objects or reading a numeral and selecting the associated quantity of items from a collection to match the number required; for example, collecting 9 paint brushes after hearing the word ‘nine’",
Mathematics,Mathematics,Foundation,Number,,AC9MFN01,"Name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals",,"Recognising the order in the sequence of numbers to 20 and identifying the number that is “one less” than a given number and the number that is “one more”; for example, playing instructive card games that involve reading and ordering number cards; using counting songs, story books and rhymes to establish the forwards and backwards counting sequence of numbers in the context of active counting activities",
Mathematics,Mathematics,Foundation,Number,,AC9MFN01,"Name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals",,"Understanding and using terms such as “first”, “second”, “third”, … “fifth”… to indicate ordinal position in a sequence; for example, creating a number track using cards with the numerals zero to 20 and describing positions using terms such as first, last, before, after, between",
Mathematics,Mathematics,Foundation,Number,,AC9MFN01,"Name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals",,"Recognising, writing and reading numerals written on familiar objects; for example, in images, text or illustrations in story books; writing a numeral on a container as a label to show how many objects it contains",
Mathematics,Mathematics,Foundation,Number,,AC9MFN01,"Name, represent and order numbers including zero to at least 20, using physical and virtual materials and numerals",,"Connecting quantities to number names and numerals when reading and reciting stories and playing counting games or determining and reasoning about the size of sets of objects within First Nation Australians’ instructive games; for example, Segur etug from Mer Island in the Torres Strait region",
Mathematics,Mathematics,Foundation,Number,,AC9MFN02,Recognise and name the number of objects within a collection up to 5 using subitising,,Recognising how many objects are in a collection or in images on a card with a quick look and saying the associated number without counting,
Mathematics,Mathematics,Foundation,Number,,AC9MFN02,Recognise and name the number of objects within a collection up to 5 using subitising,,"Playing instructive card games that rely on the recognition of numbers represented in different ways; for example, playing memory games, matching pairs of quantities on dot cards or similar where the arrangement on each is different; using subitising to compare and order collections and to say who has more when sharing items in a game",
Mathematics,Mathematics,Foundation,Number,,AC9MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,"Establishing the language and process of counting, understanding that each object must be counted only once, that the arrangement of objects does not affect how many there are, and that the last number counted answers the question of “How many?”; for example, saying numbers in sequence while playing and performing actions",
Mathematics,Mathematics,Foundation,Number,,AC9MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,Using counting to compare the size of two or more collections of like items to justify which collection contains more or less items,
Mathematics,Mathematics,Foundation,Number,,AC9MFN03,Quantify and compare collections to at least 20 using counting and explain or demonstrate reasoning,,"Using counting and one-to-one correspondence to quantify the number of items required for a purpose; for example, when asked to collect enough scissors for each member of their group to have a pair, counting each member and using the total count to know how many to collect",
