SubjectArea,Subject,Band,Term,Definition
Mathematics,Mathematics,Foundation to Year 10,acquire data,"The process of obtaining data by direct collection or from other sets of data so that it can be sorted, displayed and analysed."
Mathematics,Mathematics,Foundation to Year 10,acute angle,"An angle that measures between 0 and 90 degrees, i.e. less than one right angle."
Mathematics,Mathematics,Foundation to Year 10,addition facts,The results associated with the sums of pairs of natural numbers from 0 to 9. They are foundational to arithmetic.
Mathematics,Mathematics,Foundation to Year 10,additive,"A situation or relationship that involves addition, subtraction or both, e.g. giving change from a simple money transaction."
Mathematics,Mathematics,Foundation to Year 10,algebra,"The process of manipulating variables and constants in a mathematical expression according to laws, properties or rules, e.g. simplifying an expression or solving an equation."
Mathematics,Mathematics,Foundation to Year 10,algebraic expression,"A mathematical statement formed by combining numbers and algebraic symbols using arithmetic operations, e.g. a²+3ab-2b²."
Mathematics,Mathematics,Foundation to Year 10,algebraically,"Carrying out a process symbolically using variables, constants, operations and rules."
Mathematics,Mathematics,Foundation to Year 10,algorithm,"A process that can be carried out systematically, using a well-defined set of instructions, to perform a particular task or solve a type of problem."
Mathematics,Mathematics,Foundation to Year 10,alternate angles,"Angles on alternate sides of a transversal of a pair of parallel lines. If the lines AB and CD are parallel, then each pair of alternate angles are equal."
Mathematics,Mathematics,Foundation to Year 10,am,Any time before midday when using 12-hour time. An abbreviation of the Latin term ante meridiem.
Mathematics,Mathematics,Foundation to Year 10,analog clock,A clock with hours marked from 1 to 12 arranged in a circle and moving hands to show you the time.
Mathematics,Mathematics,Foundation to Year 10,angle,"The figure formed at the intersection of 2 rays in the plane with a common endpoint, called its vertex. It is typically indicated with an arc."
Mathematics,Mathematics,Foundation to Year 10,angle of depression,The angle between horizontal and the line of sight from an observer to an object that is lower than the observer.
Mathematics,Mathematics,Foundation to Year 10,angle of elevation,The angle between horizontal and the line of sight from an observer to an object that is higher than the observer.
Mathematics,Mathematics,Foundation to Year 10,angles at a point,The sum of the angles with vertices at a common point in the plane is equivalent to 4 right angles or 360 degrees. This spatial fact can be applied to determine the size of missing angles.
Mathematics,Mathematics,Foundation to Year 10,angles on a straight line,The sum of the angles that form a straight line is equivalent to 2 right angles or 180 degrees. This spatial fact can be applied to determine the size of missing angles.
Mathematics,Mathematics,Foundation to Year 10,approximate,To obtain or state a value to a particular accuracy.
Mathematics,Mathematics,Foundation to Year 10,approximation,"A result which is not exact, but is close enough for a given purpose, e.g. giving an approximation of the area of a complex shape by using a combination of basic shapes."
Mathematics,Mathematics,Foundation to Year 10,area,"The amount of interior space bounded by the perimetre of a shape. It is usually measured in square units. For example, the area of this rectangle is given by 8×2=16 units."
Mathematics,Mathematics,Foundation to Year 10,array,"An ordered collection of discrete objects or numbers, e.g. rectangular arrangements of rows and columns such as 2 arrays of dots (4×6 and 8×3) produce 2 different representations of the number 24."
Mathematics,Mathematics,Foundation to Year 10,Asia/Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
Mathematics,Mathematics,Foundation to Year 10,assign probabilities,"The process of providing a qualitative or quantitative value for the likelihood or chance of an event occurring. This may involve judgement based on experience, experiment, counting or measurement."
Mathematics,Mathematics,Foundation to Year 10,association(s),"Relationships between pairs of variables for different data types, e.g. in terms of strength, form and direction."
Mathematics,Mathematics,Foundation to Year 10,associative,Of or relating to an operation that when applied to any 3 elements of an expression is the same regardless of which pair of elements (without changing their order) is combined first.
Mathematics,Mathematics,Foundation to Year 10,associative law,"In general, the addition or multiplication of a set of real numbers gives the same output no matter how the numbers are grouped, e.g. a+(b+c)=(a+b)+cand a×(b×c)=(a×b)×c."
Mathematics,Mathematics,Foundation to Year 10,attribute,A property of an object or event that can be measured and/or directly or indirectly compared.
Mathematics,Mathematics,Foundation to Year 10,back-to-back stem-and-leaf-plot,A method for comparing 2 data distributions by attaching 2 sets of ‘leaves’ to the same ‘stem’.
Mathematics,Mathematics,Foundation to Year 10,base-10,"A number system which uses the digits 0–9 and the value of the digit is determined by its face value and its place value, e.g. 283=2×100+8×10+3×1 and 283=200+80+3."
Mathematics,Mathematics,Foundation to Year 10,bias (statistics),"A measure being systematically moved away from the true value, leading to overestimating or underestimating that value."
Mathematics,Mathematics,Foundation to Year 10,bimodal distribution,"The distribution of a set of data that has 2 modes. The term 'bimodal' is also used if the graph of the distribution has 2 distinct peak values, which may not be equal."
Mathematics,Mathematics,Foundation to Year 10,bivariate data,"Data relating to measurement of 2 variables. It can be categorical data, numerical data or a combination of both."
Mathematics,Mathematics,Foundation to Year 10,boxplot,A graphical display of a 5-number summary of data. The ‘box’ covers the middle 50% of scores. The ‘whiskers’ extend to the maximum and minimum values in the data set.
Mathematics,Mathematics,Foundation to Year 10,capacity,The amount a container will hold. It is often used in relation to the volume of fluids. Units of capacity (volume of fluids or gases) include litres (L) and millilitres (mL).
Mathematics,Mathematics,Foundation to Year 10,Cartesian coordinate system,"The positioning system for any point in the Cartesian plane, represented by an ordered pair of real numbers (x, y), which are called the coordinates of the point relative to the origin at (0, 0)."
Mathematics,Mathematics,Foundation to Year 10,Cartesian plane,"A plane divided into 4 regions (quadrants) by 2 perpendicular axes, the x-axis and the y-axis, which intersect at a point called the origin."
Mathematics,Mathematics,Foundation to Year 10,categorical data,"Data in discrete categories, e.g. data on blood groups with values of type A, B, AB or O."
Mathematics,Mathematics,Foundation to Year 10,categorical variable,A variable which takes values from sets of categories. There are 2 types of categorical variables: nominal and ordinal.
Mathematics,Mathematics,Foundation to Year 10,census,Collection of information about the whole population.
Mathematics,Mathematics,Foundation to Year 10,centre (Space),"The middle point of a shape, object or space."
Mathematics,Mathematics,Foundation to Year 10,centre (Statistics),"In a set of data, a single value which is used to represent or typify that data. Informally, it is a notion of average."
Mathematics,Mathematics,Foundation to Year 10,chance experiment (trial),An investigation process that involves planning and conducting a repeatable experiment involving chance where more than one possible outcome may occur. Experiments can be single or multi-step and results can vary across trials.
Mathematics,Mathematics,Foundation to Year 10,circle,The set of all points in the plane that are a fixed distance (the radius) from a given point (the centre of the circle).
Mathematics,Mathematics,Foundation to Year 10,circumference,"The boundary (perimetre) of a circle. The length of the circumference C is given by C=πd, where d is the diametre. Alternatively, it is given by C=2πr, wherer is the radius."
Mathematics,Mathematics,Foundation to Year 10,co-interior angles,A pair of angles that lie between a pair of parallel lines cut by a transversal and have a sum of 180 degrees or 2 right angles.
Mathematics,Mathematics,Foundation to Year 10,colonisation,"The act of setting up a colony away from one’s place of origin. With humans, it can be seen negatively because it tends to involve an invading culture taking control over an indigenous population."
Mathematics,Mathematics,Foundation to Year 10,column graph,A graph for organising and displaying categorical data. Equal-width rectangular bars are constructed for each category with height equal to the observed frequency of the category.
Mathematics,Mathematics,Foundation to Year 10,commutative,"An operation in which the result of applying it to any 2 elements of a set is the same, regardless of the order of the elements. Addition and multiplication are commutative on the set of natural numbers."
Mathematics,Mathematics,Foundation to Year 10,commutative property,"In general, the commutative property of addition and multiplication of real numbers is that for all real numbers a and b, a + b = b + a and a × b = b × a respectively."
Mathematics,Mathematics,Foundation to Year 10,complementary angles,"Two adjacent angles that form a right angle, i.e. the sum of the angles measured in degrees is 90°."
Mathematics,Mathematics,Foundation to Year 10,complementary events,"Two mutually exclusive outcomes in a probability experiment, such that Pr(A) + Pr(B) = 1 where Pr(A) is the probability of event A and Pr(B) the probability of event B."
Mathematics,Mathematics,Foundation to Year 10,complex shapes and objects,A complex shape is a closed shape comprised of a number of plane shapes. Complex objects are comprised of simpler objects.
Mathematics,Mathematics,Foundation to Year 10,composite number,A non-zero natural number that has a factor other than 1 and itself.
Mathematics,Mathematics,Foundation to Year 10,composite shape,A shape that is formed by combining other plane shapes. Composite shapes are often described as 'complex' when they are made up of many and different shapes.
Mathematics,Mathematics,Foundation to Year 10,compound event,"In probability, an event that consists of more than one event occurring at the same time, e.g. tossing a coin and selecting a card."
Mathematics,Mathematics,Foundation to Year 10,compound interest,The interest earned by investing a sum of money (the principal) when each successive interest payment is added to the principal for calculating the next interest payment.
Mathematics,Mathematics,Foundation to Year 10,compounding error,The increasing level of error that arises when measurements with errors are used to calculate other quantities.
Mathematics,Mathematics,Foundation to Year 10,computation,"The action of performing a mathematical calculation. It can be performed mentally or by using an algorithm or a digital tool, such as a calculator."
Mathematics,Mathematics,Foundation to Year 10,computational thinking,"A way of thinking which helps to organise data logically by breaking down problems into parts; defining abstract concepts; and designing and using algorithms, patterns and models."
Mathematics,Mathematics,Foundation to Year 10,conditional probability,"Consideration of whether the knowledge of the occurrence of one event, A, affects the probability of occurrence of another event, B."
Mathematics,Mathematics,Foundation to Year 10,cone,"An object that is formed by taking a circular base and a point not in the plane of this circle called the vertex, and joining the vertex to each point on the circumference of the base."
Mathematics,Mathematics,Foundation to Year 10,congruent,"An exact match between every part of one figure with the corresponding part of the other figure, i.e. congruent figures can be exactly superimposed on each other."
Mathematics,Mathematics,Foundation to Year 10,congruent triangles,"Triangles that have the same size and shape. When not all measures are known, the determination can be made using the 4 standard congruence tests for triangles (SSS, SAS, AAS, RHS)."
Mathematics,Mathematics,Foundation to Year 10,conjecture,"A statement whose truth or otherwise is not yet determined but is open to further investigation, e.g. Goldbach's conjecture of 1742 has not yet been either proven to be true or shown to be false."
Mathematics,Mathematics,Foundation to Year 10,construct,"To draw, make or build a mathematical object such as a shape, pattern, algorithm or proof."
Mathematics,Mathematics,Foundation to Year 10,context,"The situation or setting of an event, problem or application. Contexts can be real world or constructed."
Mathematics,Mathematics,Foundation to Year 10,continuous numerical variable,"A numerical variable that can take any value that lies within an interval. In practise, the values taken are recorded to the accuracy of measurement of the instrument used to obtain these values."
Mathematics,Mathematics,Foundation to Year 10,coordinate system,"A system for showing a set of values that give an exact position, e.g. Cartesian coordinate system, grid map or a seating plan for a venue."
Mathematics,Mathematics,Foundation to Year 10,coordinates,A set of values that define the position of a point or an object in a space. The coordinate system being used will govern the nature of the coordinates.
Mathematics,Mathematics,Foundation to Year 10,corresponding angles,Angles that lie in the same relative position at the points of intersection where a pair of parallel lines is cut by a transversal and which are equal.
Mathematics,Mathematics,Foundation to Year 10,cosine ratio,"The ratio of the length of the base, b, of a right-angled triangle to the length of its hypotenuse, h, for a given base angle theta, θ. In any right-angled triangle, cosθ=adjacent/hypotenuse , where 0<θ<90°."
Mathematics,Mathematics,Foundation to Year 10,counting,The process of quantifying the number of objects in a set or collection.
Mathematics,Mathematics,Foundation to Year 10,Country,"A space mapped out that individuals or groups of First Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. It includes lands, waters and sky."
Mathematics,Mathematics,Foundation to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
Mathematics,Mathematics,Foundation to Year 10,cross-section,The intersection of a solid object with a plane. It may differ for a given solid depending on the orientation of the slicing plane.
Mathematics,Mathematics,Foundation to Year 10,cylinder,An object that has parallel circular discs of equal radius at the ends that are joined by a curved surface.
Mathematics,Mathematics,Foundation to Year 10,data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
Mathematics,Mathematics,Foundation to Year 10,data displays,"Visual formats for organising, representing and summarising data. Also called visualisations."
Mathematics,Mathematics,Foundation to Year 10,data distributions,Patterns in the values of a set of data. The representation used to show the distribution depends on the type of data and how it is measured.
Mathematics,Mathematics,Foundation to Year 10,decay,Decrease in the value of the dependent variable of a function as the value of the independent variable increases.
Mathematics,Mathematics,Foundation to Year 10,decimal,"Used to describe aspects of the base-10 number system. The decimal point (. or ,) separates the whole number part of a number from its decimal part."
Mathematics,Mathematics,Foundation to Year 10,degrees,"A unit of measurement for measuring an angle. Angles are measured as a proportion of a full turn which is equivalent to 360 degrees, so that one degree is equal to 1/360 of a full turn. Written as α°."
Mathematics,Mathematics,Foundation to Year 10,denominator,"In the fraction a/b, b is the denominator. It is the number of equal parts into which the whole is divided."
Mathematics,Mathematics,Foundation to Year 10,diagonal,A line segment joining 2 vertices of a polygon that do not share an edge.
Mathematics,Mathematics,Foundation to Year 10,diameter,A chord passing through the centre of a circle. The word is also used for the length of the diametre.
Mathematics,Mathematics,Foundation to Year 10,digit,"A single symbol that is used to represent a number as a numeral. In the base-10 number system there are 10 digits: 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9."
Mathematics,Mathematics,Foundation to Year 10,digital tools,"Electronic devices, programmes, websites or online resources that can be used to support the learning and doing of mathematics."
Mathematics,Mathematics,Foundation to Year 10,direct comparison,"Comparing objects and events using a particular attribute, e.g. measuring the length of 2 pencils by placing them side by side or starting 2 events at the same time to compare duration."
Mathematics,Mathematics,Foundation to Year 10,direct proportion,"The relationship between corresponding values of 2 variables in a fixed ratio relative to each other; i.e. for variables x and y, y/x=k; and y=kx, where k ≠ 0."
Mathematics,Mathematics,Foundation to Year 10,directional language,"Words that communicate position, location and movement within a space."
Mathematics,Mathematics,Foundation to Year 10,discrete numerical data,"Numerical data that can take only a countable number of values, e.g. the number of people in a car, or clothing sizes."
Mathematics,Mathematics,Foundation to Year 10,distributive,"An operation that can take priority over the operation used for combination within brackets. Multiplication is distributive over addition, e.g. 8×17=136 as 8×17=8×(10+7) and
8×(10+7)= 8×10+8×7 and 8×10+8×7=80+56 which equals 136"
Mathematics,Mathematics,Foundation to Year 10,distributive property,"In general, the distributive law (property) for multiplication over addition for real numbers states that for all real numbers a, b and c: a(b+c)=a×b+a×c."
Mathematics,Mathematics,Foundation to Year 10,divisible,"Able to be divided exactly, i.e. without leaving a remainder."
Mathematics,Mathematics,Foundation to Year 10,division,"For a finite set, the process of partitioning the set into subsets of equal size. For natural numbers, it expresses a given number as a multiple of a smaller number and any remainder."
Mathematics,Mathematics,Foundation to Year 10,division facts,"Facts that draw on the inverse relationship between division and multiplication and are directly related to the multiplication facts, e.g. 2×5=10, so 10/2=5 and 10/5=2."
Mathematics,Mathematics,Foundation to Year 10,dot plot,"A graph used to display numerical data. Using a number line, it displays a dot for each piece of data and when there is more than one piece of data with the same value the dots are stacked vertically."
Mathematics,Mathematics,Foundation to Year 10,duration,A measure of time that an event or activity takes to complete.
Mathematics,Mathematics,Foundation to Year 10,dynamic geometric software,"Software that supports the representation, construction and manipulation of geometric shapes and objects, and related measures and other functions in an interactive and dynamic digital environment."
Mathematics,Mathematics,Foundation to Year 10,efficient strategies,"The choice of suitable approaches (mental, written, using digital tools), and methods within these. The means used for calculation reflect the purpose and context."
Mathematics,Mathematics,Foundation to Year 10,element(s),"A member of a set, e.g. 3 is a member of the set of natural numbers N = {0, 1, 2, 3, ... }. This relation can be written more concisely as 3∈N ('3 is an element of the set N')."
Mathematics,Mathematics,Foundation to Year 10,enclosed spaces,Space that is enclosed by a boundary such as the perimetre of a shape or the outer surface area of an object.
Mathematics,Mathematics,Foundation to Year 10,enlargement transformation,A scaling of a figure in which the corresponding lengths in the transformed figure are increased or decreased in proportion to the original figure. The 2 figures are similar.
Mathematics,Mathematics,Foundation to Year 10,equal sharing,"Dividing a collection, shape or object into equal parts."
Mathematics,Mathematics,Foundation to Year 10,equally likely outcomes,An event for which all outcomes have the same probability of occurring.
Mathematics,Mathematics,Foundation to Year 10,equation,A statement that includes the ‘=’ symbol. Equations are used to show the equality of 2 expressions.
Mathematics,Mathematics,Foundation to Year 10,equivalent,Equal in value or meaning. Something such as an expression or statement that is essentially the same. Two or more sets that are capable of being mapped in a one-to-one relationship.
Mathematics,Mathematics,Foundation to Year 10,equivalent fractions,"Fractions that are different representations of the same value, e.g. ½=2/4=4/8."
Mathematics,Mathematics,Foundation to Year 10,error,The difference between an actual value and its measured or estimated value.
Mathematics,Mathematics,Foundation to Year 10,estimation,The skill of conceptualising and mentally manipulating numbers or measurements to find an approximate answer. The capacity to make reasonable adjustments to estimates is essential in estimating.
Mathematics,Mathematics,Foundation to Year 10,estimation strategies,"Strategies used to estimate or find an approximate value for the amount, extent, duration, position or size of something."
