SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,"Using models and diagrams to represent the relationship between genes, chromosomes and dna of an organism's genome"
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,Explaining how genetic information passed on to offspring from both parents by meiosis and fertilisation increases the variation of a species
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,Using mendelian inheritance to predict the ratio of offspring genotypes and phenotypes in monohybrid crosses involving dominant and recessive alleles or in genes that are sex-linked
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,Using pedigree diagrams to show patterns of inheritance of simple dominant and recessive characteristics through multigenerational families
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,"Investigating first nations australians' knowledges of heredity as evidenced by the strict adherence to kinship and family structures, especially marriage laws"
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,Exploring environmental and other factors that cause mutations and identifying changes in dna or chromosomes
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U01,"Explain the role of meiosis and mitosis and the function of chromosomes, dna and genes in heredity, and predict patterns of mendelian inheritance",,"Exploring the role of dna in cancer or genetic disorders such as haemochromatosis, sickle cell anaemia, cystic fibrosis or klinefelter syndrome"
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U02,"Use the theory of evolution by natural selection to explain past and present diversity, and analyse the scientific evidence supporting the theory",,"Outlining processes involved in natural selection, including variation, isolation and selection"
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U02,"Use the theory of evolution by natural selection to explain past and present diversity, and analyse the scientific evidence supporting the theory",,Examining biodiversity as a function of evolution
Science,Science,Year 10,Science understanding,Biological sciences,AC9S10U02,"Use the theory of evolution by natural selection to explain past and present diversity, and analyse the scientific evidence supporting the theory",,"Analysing evidence for the theory of evolution by natural selection, including the fossil record, chemical and anatomical similarities, and geographical distribution of species"
