SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Science,Science,Year 1,Science understanding,Biological sciences,AC9S1U01,"Identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",,"Identifying the places where plants and animals live, including in our homes, local areas such as ponds, national parks, gardens or zoos"
Science,Science,Year 1,Science understanding,Biological sciences,AC9S1U01,"Identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",,Identifying what they do to look after pets or plants at home and grouping these activities
Science,Science,Year 1,Science understanding,Biological sciences,AC9S1U01,"Identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",,"Identifying and comparing the needs of a variety of plants and animals, including humans, based on their own experiences"
Science,Science,Year 1,Science understanding,Biological sciences,AC9S1U01,"Identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",,Creating dioramas of a place a plant or animal lives and identifying the features that enable it to meet its needs
Science,Science,Year 1,Science understanding,Biological sciences,AC9S1U01,"Identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",,Recognising how first nations australians care for living things
Science,Science,Year 1,Science understanding,Biological sciences,AC9S1U01,"Identify the basic needs of plants and animals, including air, water, food or shelter, and describe how the places they live meet those needs",,"Exploring why caring for plants and animals is important, including as sources of food and fibre"
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,"Making and recording observations of phenomena, such as changes to weather, seasonal changes to plants, such as colour or dropping of leaves, and growth of flowers or fruit"
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,Noticing how daily weather indicators and seasonal patterns help us to make plans for activities in our daily lives
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,"Investigating how seasonal changes affect plants and animals, including animals that hibernate and migrate"
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,"Investigating how changes in the weather affect plants and animals, including humans"
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,Exploring how people make clothing choices using predictions of weather or knowledge of seasonal changes
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,Recognising the extensive knowledges of daily and seasonal changes in weather patterns and landscape held by first nations australians
Science,Science,Year 1,Science understanding,Earth and space sciences,AC9S1U02,"Describe daily and seasonal changes in the environment, and explore how these changes affect everyday life",,Exploring how first nations australians' concepts of time and weather patterns explain how things happen in the world around them
Science,Science,Year 1,Science understanding,Physical sciences,AC9S1U03,"Describe pushes and pulls in terms of strength and direction, and predict the effect of these forces on objects' motion and shape",,"Observing and manipulating everyday objects, such as playground equipment, toys, windows or doors, and identifying the forces used to move these objects"
