SubjectArea,Subject,Band,Term,Definition
Technologies,Design and Technologies,Foundation to Year 10,Aerial view,"Drawing from above (in the air) to show features of a building, landscape or environment e.g. the image shows an aerial view of a garden plan."
Technologies,Design and Technologies,Foundation to Year 10,Aesthetics,"Judgements based on sentiment and the visual impact or appeal of a product or environment and are influenced by social, emotional and demographic factors."
Technologies,Design and Technologies,Foundation to Year 10,Asia/Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
Technologies,Design and Technologies,Foundation to Year 10,Backcasting,A process that starts with defining a desirable future and then working backwards to identify policies and programs that will connect the future to the present.
Technologies,Design and Technologies,Foundation to Year 10,Biomimicry,"Inspiration for features and functions found in nature for use and adaptation in the design of a product, service or environment, e.g. Velcro fastening and air vents were inspired by nature."
Technologies,Design and Technologies,Foundation to Year 10,Bunraku puppet,"The traditional Japanese form of puppet theatre in which half-life-size dolls act out a chanted, dramatic narrative using forces and motion."
Technologies,Design and Technologies,Foundation to Year 10,Characteristics,"Distinguishing aspects (including attributes and behaviours) of an object, material, living thing, system or event. These qualities influence the choices people make about materials and processes."
Technologies,Design and Technologies,Foundation to Year 10,Construction play,"Manipulating elements of materials or objects to create something new, such as modelling, stacking, sorting, drawing and disassembling."
Technologies,Design and Technologies,Foundation to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
Technologies,Design and Technologies,Foundation to Year 10,Crop sensors,Physical or remotely operated sensors that measure and record data about food or fibre crops and give real-time measurements of physiological factors such as nutrient status and moisture.
Technologies,Design and Technologies,Foundation to Year 10,Danger-zone temperatures,The temperature range between 5° Celsius and 60° Celsius is known as the danger zone and within this temperature range bacteria that cause food poisoning can multiply quickly to unsafe levels.
Technologies,Design and Technologies,Foundation to Year 10,Data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
Technologies,Design and Technologies,Foundation to Year 10,Design brief,"A statement clarifying a project task and defining the need or opportunity to be resolved. It usually identifies the users, design criteria, constraints, resources and timeframe."
Technologies,Design and Technologies,Foundation to Year 10,Design criteria,"Criteria used to determine if the proposed solution meets the requirements. They are drawn from the solutions requirements, user stories, if appropriate, and constraints."
Technologies,Design and Technologies,Foundation to Year 10,Design process,A process that involves investigating and defining; generating and designing; producing and implementing; evaluating; and collaborating and managing to create designed solutions that meet needs.
Technologies,Design and Technologies,Foundation to Year 10,Design thinking,"An approach which helps people to empathise and understand needs, opportunities and problems; generate, iterate and represent innovative, user-centred ideas; and analyse and evaluate those ideas."
Technologies,Design and Technologies,Foundation to Year 10,Designed solutions,"The products, services or environments that have been created for a specific purpose or intention as a result of design thinking, design processes and production processes."
Technologies,Design and Technologies,Foundation to Year 10,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information, e.g. software and hardware to compose and record music."
Technologies,Design and Technologies,Foundation to Year 10,Divergent techniques,"Tools or approaches to support design thinking, in particular the generation of design ideas, e.g. brainstorming and role-play techniques are unstructured and encourage creativity."
Technologies,Design and Technologies,Foundation to Year 10,Drawing standards,"Australian standards for technical drawing. Identified as Australian Standard AS 1100, they describe the drawing conventions for professionals and associated tradespeople."
Technologies,Design and Technologies,Foundation to Year 10,Electronic planting calendar,"An online or software-based month-by-month guide of suitable crops to plant and typical garden maintenance tasks which need to be done, e.g. a database or simple table."
Technologies,Design and Technologies,Foundation to Year 10,Empathy,The ability to understand and share the feelings of another person.
Technologies,Design and Technologies,Foundation to Year 10,Enterprise skills,"Abilities and dispositions to generate and apply new ideas to practical situations, including identifying new opportunities for change, risk management and following through on initiatives."
Technologies,Design and Technologies,Foundation to Year 10,Environments,"One of the outputs of technologies processes or a place or space in which technologies processes operate. Environments may be natural, managed, constructed or digital."
Technologies,Design and Technologies,Foundation to Year 10,Exploded view,An image of an object with individual parts shown separately but arranged to show the relationship and position of the parts for assembly.
Technologies,Design and Technologies,Foundation to Year 10,Features,"Distinctive properties, characteristics, functions and qualities of an object, material, living thing, system or event that affect how it performs or operates."
Technologies,Design and Technologies,Foundation to Year 10,Fibre,"Plant-based materials (e.g. cotton, bamboo, timber and hemp) or animal-based materials (e.g. wool and silk) that can be used for clothing or construction."
Technologies,Design and Technologies,Foundation to Year 10,Food and fibre production,The process of producing food and fibre as natural materials for the design and development of a range of products.
Technologies,Design and Technologies,Foundation to Year 10,Forecasting,The process of predicting the future based on current trend analysis and using historical data to determine the direction of future trends.
