SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Digital systems,AC9TDI10K01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Explaining how the operating system hides the complexity of different hardware from applications, for example applications can treat input from a mouse and touch screen in the same way",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Digital systems,AC9TDI10K01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Exploring how public key cryptography, for example TLS, and hashing, such as SHA-1, secure the storage and transmission of data",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Digital systems,AC9TDI10K01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Configuring a simple network using real or simulated hardware and observing packets moving around the network, for example monitoring packets on simulated switches and networked devices",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Digital systems,AC9TDI10K01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Explaining how domain names and IP addresses allow data to be transmitted to specific networked devices, for example DNS and routing tables",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Digital systems,AC9TDI10K01,"Investigate how hardware and software manage, control and secure access to data in networked digital systems",,"Describing elements of access control and explaining why they are necessary, for example authentication and permissions for restricting access to install software to administrators",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Data representation,AC9TDI10K02,"Represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important",,"Representing documents by separating the content (the text in the document), the structure (the document structure such as headings and paragraphs) and presentation (how the document is laid out and styled)",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Data representation,AC9TDI10K02,"Represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important",,Writing webpages using HyperText Markup Language (HTML) for the content and structure and Cascading Style Sheets (CSS) for styling the page and explaining how HTML tags separate content from structure,
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Data representation,AC9TDI10K02,"Represent documents online as content (text), structure (markup) and presentation (styling) and explain why such representations are important",,"Explaining how representing content, structure and presentation separately allows each of them to be designed, edited, manipulated and stored independently of the others and why this is important",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Data representation,AC9TDI10K03,Investigate simple data compression techniques,,"Using an algorithm to identify patterns in data and represent them in a compressed way, for example repeated pixels in an image with run-length encoding",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Data representation,AC9TDI10K03,Investigate simple data compression techniques,,"Exploring the difference between lossy and lossless compression and the consequences of each, for example exploring codecs for audiovisual compression such as MP3, MP4 and WAV formats, considering energy requirements of file sizes",
Technologies,Digital Technologies,Years 9 and 10,Knowledge and understanding,Data representation,AC9TDI10K03,Investigate simple data compression techniques,,Examining an image and discussing whether the image quality would be compromised if all the blue pixels of the sky in one row were to be replaced by one token and the number of pixels it represents,
Technologies,Digital Technologies,Years 9 and 10,Processes and production skills,"Acquiring, managing and analysing data",AC9TDI10P01,"Develop techniques to acquire, store and validate data from a range of sources using software, including spreadsheets and databases",,"Developing systems that store structured data, for example a movie or travel review website that collects Likert scale ratings and written reviews",
