SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E01,"Explore where, why and how dance is choreographed and/or performed across cultures, times, places and/or other contexts",,"Identifying meaning and describing purposes that dance can be created for; for example, exploring dances from a range of cultures from their local community and/or neighbouring countries, such as countries in Asia, that are performed for celebrations or narrative dances that share stories",
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E01,"Explore where, why and how dance is choreographed and/or performed across cultures, times, places and/or other contexts",,"Learning dances created for different purposes such as entertainment; for example, dances from a range of cultures, times or places that are/have been a dance craze or are a dance that “everyone” knows",
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E01,"Explore where, why and how dance is choreographed and/or performed across cultures, times, places and/or other contexts",,"Using Viewpoints to ask questions about dance they are experiencing, such as “Are the movements in this dance similar to movements in dances that you know?”, “Where are these dances performed?”",
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E02,Explore how First Nations Australians use dance to communicate their connection to and responsibility for Country/Place,,Collecting and sharing information about dances choreographed and/or performed by First Nations Australians for occasions such as festivals or ceremonies; reflecting on how these dances can communicate important information or knowledge about Country/Place,
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E02,Explore how First Nations Australians use dance to communicate their connection to and responsibility for Country/Place,,"Exploring how First Nations Australians use dance to express connection to and responsibility for Country/Place, culture and people, such as communicating knowledge about the local seasons",
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E02,Explore how First Nations Australians use dance to communicate their connection to and responsibility for Country/Place,,"Exploring First Nations Australians’ use of dance to express connection to and responsibility for Country/Place such as communicating knowledge about the local season, or screen-based storytelling to maintain unique ways of life",
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E02,Explore how First Nations Australians use dance to communicate their connection to and responsibility for Country/Place,,"Observing how the elements of dance are used in dances choreographed and performed by First Nations Australians to communicate connection to and responsibility for Country/Place; for example, in dance about wind, water or fire",
The Arts,Dance,Years 3 and 4,Exploring and responding,,AC9ADA4E02,Explore how First Nations Australians use dance to communicate their connection to and responsibility for Country/Place,,"Exploring the movements in dances with representatives of a First Nations Australian community or through resources created or co-created by First Nations Australians; for example, dances that share cultural accounts of Country/Place",
The Arts,Dance,Years 3 and 4,Developing practices and skills,,AC9ADA4D01,Experiment with and practise skills for moving safely and expressively using fundamental movement skills and the elements of dance,,"Exploring known movements to find alternative ways of performing them; for example, waving hello or shaking hands and then doing the same action/s at different levels, in different directions, bigger/smaller or using a different body part, zone or base",
The Arts,Dance,Years 3 and 4,Developing practices and skills,,AC9ADA4D01,Experiment with and practise skills for moving safely and expressively using fundamental movement skills and the elements of dance,,"Using contrast and repetition (choreographic devices) to explore and generate new movement in response to stimuli such as stories, memories or the environment",
