SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience dance",,"Identifying features of dances that communicate cultural knowledge, such as stories, traditions or dances used in ceremonies",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience dance",,"Using Viewpoints to ask questions about dances they experience; for example, “What sort of movements did the dancers perform?”, “What are they wearing?”, “What kind of music are they dancing to?”, “How are they communicating the ideas or intentions in this dance?”",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience dance",,"Recognising and describing patterns of movement in dances, using their own words and learnt dance terminology",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience dance",,"Identifying similarities and differences in dances by sharing, viewing and/or learning dances that they are familiar with or have experienced with their families and communities",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience dance",,"Identifying how dance can show what feelings people have about places, people or experiences",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E02,Explore examples of dance choreographed and/or performed by First Nations Australians,,"Exploring when, where, how and why First Nations Australians use dance to share knowledge about their cultures; for example, during celebrations such as National Aboriginal and Torres Strait Islander Children’s Day, NAIDOC Week, Reconciliation Week or the acknowledgement of significant occasions including Sorry Day",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E02,Explore examples of dance choreographed and/or performed by First Nations Australians,,"Observing how the elements of dance are used in choreography and/or performance by First Nations Australians; for example, exploring the movements with representatives of the First Nations Australian community or by using resources that are created or co-created by First Nations Australians",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E02,Explore examples of dance choreographed and/or performed by First Nations Australians,,"Identifying where they might experience dance in First Nations Australians’ cultural expressions, such as in ceremonies at their school, in their community, or as part of state and national events, and taking notice of ways the performers and audiences observe protocols and respect Elders or knowledge holders",
The Arts,Dance,Years 1 and 2,Exploring and responding,,AC9ADA2E02,Explore examples of dance choreographed and/or performed by First Nations Australians,,"Learning about First Nations Australians’ interpretations of the night sky; for example, working with First Nations Australians who have cultural authority to co-create movements to represent shapes and patterns that can be seen at different times of the year",
The Arts,Dance,Years 1 and 2,Developing practices and skills,,AC9ADA2D01,Experiment with ways to move safely and expressively using fundamental movement skills and the elements of dance,,"Developing awareness of, and taking responsibility for, their own safe dance practice; for example, being aware of self and others in the dance space, moving with care, respecting others dancing in the space; developing an awareness of the boundaries of the dance space and an awareness of what their bodies need; for example, getting a drink to hydrate themselves after dance activities",
