SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience drama",,"Identifying where they might experience drama in their lives and community; for example, sharing experiences of attending drama performances at their school or taking part in drama in their community, and considering why these performances might have been created",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience drama",,Recognising how drama can show feelings and ideas that people have about the world or personal experiences,
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience drama",,"Asking questions about the drama they experience; for example, “How and why are these people making drama?”, “Where are they making drama?”, “What is the drama about?”",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E01,"Explore where, why and how people across cultures, communities and/or other contexts experience drama",,"Considering how drama communicates cultural knowledge in their own communities; for example, exploring how drama communicates stories, traditions and experiences that are important to people, such as drama that communicates stories from cultures, countries or regions in Asia",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E02,Explore examples of drama created and/or performed by First Nations Australians,,"Exploring when, where, how and why First Nations Australians use drama to share knowledge about their cultures; for example, during celebrations such as National Aboriginal and Torres Strait Islander Children’s Day, NAIDOC Week, Reconciliation Week or the acknowledgement of significant occasions including Sorry Day",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E02,Explore examples of drama created and/or performed by First Nations Australians,,"Exploring First Nations Australians’ use of drama to express connection to and responsibility for Country/Place, such as communicating knowledge about the local seasons, or storytelling to communicate knowledge to maintain unique ways of life",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E02,Explore examples of drama created and/or performed by First Nations Australians,,"Observing how the elements of drama such as place, language and movement are used in First Nations Australians’ cultural expressions that they experience; for example, through direct engagement or using resources created or co-created by First Nations Australians",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E02,Explore examples of drama created and/or performed by First Nations Australians,,"Exploring ways of communicating knowledge through stories; for example, learning about stories that communicate knowledge of the environment in their region, through direct engagement (co-creating drama to share the knowledge) or using resources created or co-created by First Nations Australians",
The Arts,Drama,Years 1 and 2,Exploring and responding,,AC9ADR2E02,Explore examples of drama created and/or performed by First Nations Australians,,"Co-creating a Welcome to Country (as appropriate) or an Acknowledgement of Country to perform before their drama class with a First Nations Australian person who has cultural authority, or using advice from a resource such as protocols from their school sector",
The Arts,Drama,Years 1 and 2,Developing practices and skills,,AC9ADR2D01,Use the elements of drama and imagination in dramatic play and/or process drama,,"Exploring a situation through dramatic play using familiar props; for example, empty containers (boxes, plastic bottles, food packaging), clothing or toys",
The Arts,Drama,Years 1 and 2,Developing practices and skills,,AC9ADR2D01,Use the elements of drama and imagination in dramatic play and/or process drama,,"Understanding and employing appropriate drama terminology when discussing drama they have created and/or experienced; for example, using terms such as dramatic play, process drama, pretending, audience, theatre, performance, actors",
The Arts,Drama,Years 1 and 2,Developing practices and skills,,AC9ADR2D01,Use the elements of drama and imagination in dramatic play and/or process drama,,"Understanding and employing own language and drama terminology relating to the elements of drama, including role, place, situation, language and movement",
The Arts,Drama,Years 1 and 2,Developing practices and skills,,AC9ADR2D01,Use the elements of drama and imagination in dramatic play and/or process drama,,"Taking part in purposeful dramatic play focusing on creating roles and situations; for example, developing ideas from texts such as children’s literature or images",
The Arts,Drama,Years 1 and 2,Developing practices and skills,,AC9ADR2D01,Use the elements of drama and imagination in dramatic play and/or process drama,,"Taking turns in offering and accepting ideas, and staying in a role when participating in improvised drama",
The Arts,Drama,Years 1 and 2,Developing practices and skills,,AC9ADR2D01,Use the elements of drama and imagination in dramatic play and/or process drama,,"Brainstorming and discussing situations based on their experiences, such as situations related to games played during break time, and using these ideas to improvise drama",
The Arts,Drama,Years 1 and 2,Creating and making,,AC9ADR2C01,Create and co-create fictional situations based on imagination and/or experience,,"Using puppets to create new stories, including stories that communicate their understanding of existing stories or personal experiences; for example, using puppets they have made from repurposed or recycled materials and/or puppets that are modelled on puppets used in an Asian culture",
The Arts,Drama,Years 1 and 2,Creating and making,,AC9ADR2C01,Create and co-create fictional situations based on imagination and/or experience,,"Using learning from explorations of drama that communicates First Nations Australians’ connection to and responsibility for Country/Place to devise drama that communicates their own connection to and responsibility for place; for example, devising short scenes that communicate feelings about a “favourite” place or show how they care for a place in their community",
