SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E01,"Explore where, why and how drama is created and/or performed across cultures, times, places and/or other contexts",,Listening to actors in a drama created for purposes such as entertainment or infotainment talk about how they developed their character and what they found interesting or surprising about the imaginary world they created; then considering and discussing the actors’ responses,
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E01,"Explore where, why and how drama is created and/or performed across cultures, times, places and/or other contexts",,"Comparing the expectations and requirements of performers and audience in a range of cultural settings, such as cultural settings in Australia and Asia, and applying this learning in their own performances; for example, identifying how the audience and performers interact and what knowledge the audience needs to have about the drama",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E01,"Explore where, why and how drama is created and/or performed across cultures, times, places and/or other contexts",,"Reflecting on live or recorded drama performances and asking questions such as “What is the purpose of this drama?”, “What features and ideas in the drama come from other cultures, times and places?”, “How could we use these ideas in our drama?”, “Why do you think people from diverse cultures create drama for similar purposes?”",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E01,"Explore where, why and how drama is created and/or performed across cultures, times, places and/or other contexts",,"Examining drama in their community and comparing it to other drama of different people, times and cultures; for example, exploring examples of puppetry and/or physical (movement-based) theatre in their communities and comparing this with examples of those forms from other cultures, times or places",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E01,"Explore where, why and how drama is created and/or performed across cultures, times, places and/or other contexts",,"Reflecting on and sharing ideas with others about the meaning and intended purposes of their own drama; for example, sharing embodied responses using movement, gesture or language",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E02,"Explore how First Nations Australians use drama to communicate their connection to, and responsibility for, Country/Place",,"Collecting and sharing information about drama created and performed by First Nations Australians for occasions such as festivals or ceremonies, reflecting on how these performances can communicate important information or knowledge about Country/Place",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E02,"Explore how First Nations Australians use drama to communicate their connection to, and responsibility for, Country/Place",,"Exploring how First Nations Australians use drama to express connection to and responsibility for Country/Place, such as communicating knowledge or maintaining unique ways of life; for example, exploring how drama is used to communicate knowledge about the local environment",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E02,"Explore how First Nations Australians use drama to communicate their connection to, and responsibility for, Country/Place",,"Observing how the elements of drama are used in drama created and/or performed by First Nations Australians to communicate connection to and responsibility for Country/Place; for example, in drama that shares cultural narratives",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E02,"Explore how First Nations Australians use drama to communicate their connection to, and responsibility for, Country/Place",,"Accessing drama created and/or performed by First Nations Australians and exploring how drama communicates knowledge, such as ways to live sustainably, and to respect and care for the land, sea, sky or waterways",
The Arts,Drama,Years 3 and 4,Exploring and responding,,AC9ADR4E02,"Explore how First Nations Australians use drama to communicate their connection to, and responsibility for, Country/Place",,Looking at performances that represent the importance of Country/Place and Story for First Nations Australians as a starting point for talking about different ways of seeing the same place and telling stories,
The Arts,Drama,Years 3 and 4,Developing practices and skills,,AC9ADR4D01,Use the elements of drama to explore and develop ideas for dramatic action in improvisations and/or devised drama,,"Experimenting with the loudness/softness, pace and pitch of their voices/vocalisations to create roles and situations, time and place; for example, when initiating and developing roles and situations in process drama",
The Arts,Drama,Years 3 and 4,Developing practices and skills,,AC9ADR4D01,Use the elements of drama to explore and develop ideas for dramatic action in improvisations and/or devised drama,,"Exploring roles and situations; for example, by using language (choice of words, expressions and tone) or experimenting with ways to heighten tension in the dramatic action",
The Arts,Drama,Years 3 and 4,Developing practices and skills,,AC9ADR4D01,Use the elements of drama to explore and develop ideas for dramatic action in improvisations and/or devised drama,,"Improvising ways to connect short scenes, such as clapping a rhythmic pattern, saying words or phrases and/or through movement",
