SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E01,"Investigate the ways that media arts concepts are used in media arts works and practises across cultures, times, places and/or other contexts",,"Identifying, describing and analysing how, for example, cinematography, mise-en-scène, editing or sound are manipulated to construct representations of people, place, events or ideologies",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E01,"Investigate the ways that media arts concepts are used in media arts works and practises across cultures, times, places and/or other contexts",,"Using questions to analyse the ideology or philosophical viewpoint of a media arts work, including what institutions were involved in its distribution, and its potential impact on audiences",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E01,"Investigate the ways that media arts concepts are used in media arts works and practises across cultures, times, places and/or other contexts",,"Analysing the way media languages are used to construct representations of people, places and concepts in media genres and products; for example, the ways that technical and symbolic codes are used to construct stereotypical representations of people, places or concepts in media arts works aimed at teenagers",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E01,"Investigate the ways that media arts concepts are used in media arts works and practises across cultures, times, places and/or other contexts",,"Analysing the way audiences are positioned to respond to different representations constructed by technical and symbolic codes in media arts works, such as in the depiction of cultural or social groups and values in Australian film and television",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E02,"Investigate the diversity of First Nations Australians’ media arts works and practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Exploring how knowledge of the ways protocols can be used to protect Indigenous Cultural and Intellectual Property rights can help students make ethical choices about how they use content for media arts works; for example, by asking questions such as, “Who created these images, sounds, texts?”, “May I use these ideas, and do I need permission to do so?”",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E02,"Investigate the diversity of First Nations Australians’ media arts works and practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating an example of cultural appropriation where it has been found that First Nations Australian Indigenous Cultural and Intellectual Property rights have been denied, and identifying how this situation could have been approached respectfully; for example, a situation where a media artist used images or music in a short film that carries cultural knowledge without permission from the knowledge holders",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E02,"Investigate the diversity of First Nations Australians’ media arts works and practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating choices First Nations Australian media artists make about use of technical and symbolic elements, use of story principles, construction of representations and relationships they seek to establish with audiences, respecting Indigenous Cultural and Intellectual Property rights",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E02,"Investigate the diversity of First Nations Australians’ media arts works and practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Collaboratively constructing a set of guidelines to promote safe, ethical, legal and responsible media use; for example, guidelines that will assist decision-making about whether or not ideas from existing cultural expressions can be used when developing a new work",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E02,"Investigate the diversity of First Nations Australians’ media arts works and practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Recognising how to select and use historical materials that accurately communicate First Nations Australians’ perspectives for including in media arts works, such as their resilience in response to the impacts of colonisation",
The Arts,Media Arts,Years 7 and 8,Exploring and responding,,AC9AMA8E02,"Investigate the diversity of First Nations Australians’ media arts works and practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating issues relating to use of First Nations Australian languages or stories in lyrics and songs for screen-based works; for example, considering case studies that illustrate protocols relating to Indigenous Cultural and Intellectual Property rights",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Exploring ways to use media languages and media technologies to create representations that perpetuate or challenge relationships, or address issues such as stereotyping, bias, identity or sustainable ways of living",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Experimenting with the technical capabilities of media technologies and using media languages to inform plans for the design and construction of representations of people, places or concepts in media arts forms, such as print, moving image and interactive content",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Experimenting with digital tools such as cameras, sound recording equipment or editing/coding/animation software to construct representations of people, places or concepts for various genres or media platforms",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Constructing fictional versions of everyday spaces using augmented (AR) and virtual realities (VR); for example, interacting in AR and VR worlds and documenting their experiences, or using a green screen to “transport” students into different worlds",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Experimenting with audio effects such as sound effects, music or Foley sounds to construct ambient sound to enhance representations of different places in a media arts work",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Experimenting with established story principles, such as creating the opening scene to a documentary film that establishes a setting and location, or disrupting story principles through the manipulation of time so the narrative structure is not as an audience would expect",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D01,Develop media production skills throughout the production process to construct representations using media languages and media technologies,,"Combining established genre conventions to make a hybrid production; for example, exploring established media forms such as narrative, non-narrative, experimental, micro-documentary, trailers, music video, micro-short film and social media video campaign, or genres such as horror, western or comedy",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,"Observing and considering potential audience engagement to inform refinements across pre-production, production, post-production and/or distribution processes",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,"Using Viewpoints to develop investigating questions when making decisions about how to represent a theme, concept or idea, and considering media conventions",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,"Documenting and explaining their creative choices in relation to representations, genre codes and conventions",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,"Justifying decisions made by producers in the construction of representations of people, places or concepts through the use of technical and symbolic codes, and how producers benefit from this construction",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,Using a storyboarding or editing template to annotate their creative thinking when refining production processes,
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,"Using Viewpoints to develop reflective questions such as “How can I represent a range of views about this issue in my media arts work?”, “What do I need to change in the production processes to create a stronger connection with the audience?”",
The Arts,Media Arts,Years 7 and 8,Developing practices and skills,,AC9AMA8D02,Reflect on their own and others’ media arts works and practises to inform choices they make during the production process,,"Exploring styles and representations particular to a country or region to inform their own practice and to develop their understanding of cultural appropriation and representation; for example, exploring the use of media conventions and languages in cartooning genres in Asia.",
