SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,"Analysing and evaluating the social, cultural and/or ethical implications of the changing nature of representations in media arts works over time; for example, deconstructing representations constructed at different times or in different places to compare the representations of gender in print, screen and/or interactive media, or deconstructing the representation of multiculturalism or youth in Australian television",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,"Justifying, in a video commentary, the technical and symbolic code choices they have made in constructing representations, their framework of social and cultural values, and communicating alternative points of view",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,Analysing and evaluating the way social beliefs and values can be communicated to audiences through the manipulation of technical and symbolic codes in media arts works they view and make,
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,"Exploring how media platforms use data and how they can influence the breadth and depth of information provided to an audience; for example, through a media feed",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,Evaluating relationships embedded within media practices and discussing how media arts works and institutions can influence or challenge media practices and audience perceptions,
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,"Researching audiences of specific genres or users of specific media platforms, and analysing and evaluating the way generic technical and symbolic codes have been manipulated to engage these audiences across media forms such as music videos, animated short films, documentaries, short films, feature films, television programs, computer games, websites or social media platforms (considering online safety protocols)",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,Analysing and evaluating the ways technical and symbolic codes have been used to construct stereotypical representations in media arts works targeted to specific audiences in a range of historical and contemporary contexts or across traditional and emerging media formats,
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,"Identifying, describing and explaining the way technical and symbolic codes such as camera techniques, editing, sound, rhythm or mise-en-scène are manipulated in media arts works they have viewed or made to evoke audience responses such as excitement or fear, and/or to convey an intended meaning or position about an issue or idea, such as an opinion about climate change",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E01,"Investigate the ways that media artists use media arts concepts to construct representations in media arts works and practises from across cultures, times, places and/or other contexts",,Examining the role of media makers in perpetuating and/or challenging prevailing views on issues of contemporary relevance,
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E02,Investigate the ways First Nations Australian media artists celebrate and challenge multiple perspectives of Australian identity through media arts,,Investigating how First Nations Australian media artists and/or producers are exploring and challenging concepts and histories of Australia and Australian identity,
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E02,Investigate the ways First Nations Australian media artists celebrate and challenge multiple perspectives of Australian identity through media arts,,"Exploring the ways that First Nations Australian media artists and/or producers use their practice to communicate ideas, messages and lived experiences to the broader community; for example, issues such as The Stolen Generations, land rights, racism, family, stereotyping or dispossession",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E02,Investigate the ways First Nations Australian media artists celebrate and challenge multiple perspectives of Australian identity through media arts,,"Comparing and critiquing ways First Nations Australian media artists use their practice to celebrate and challenge perspectives about Australia’s identity, and the multiple ways they communicate these perspectives",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E02,Investigate the ways First Nations Australian media artists celebrate and challenge multiple perspectives of Australian identity through media arts,,"Using questions based on Viewpoints to examine the ideology or philosophical stance taken in media arts works, such as ways that music videos, feature films, community service announcements, advertisements and news reports depict First Nations Australians’ histories and cultures, and evaluating the potential impact on audiences and relationships",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E02,Investigate the ways First Nations Australian media artists celebrate and challenge multiple perspectives of Australian identity through media arts,,"Understanding the ways that media arts provide a voice for First Nations Australians through media institutions and forms such as film, television and online media platforms",
The Arts,Media Arts,Years 9 and 10,Exploring and responding,,AC9AMA10E02,Investigate the ways First Nations Australian media artists celebrate and challenge multiple perspectives of Australian identity through media arts,,"Analysing the ways that First Nations Australian media artists use their practice to challenge and inform community debate and present multiple ways of understanding an issue; for example, exploring how First Nations Australians are caring for Country/Place and highlighting these issues through media arts",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D01,"Experiment with ways to construct representations that reflect ideas, perspectives and/or meaning, and/or use of media conventions, media languages and media technologies",,"Examining the way technical and symbolic codes are shaped by a media artist such as a social media influencer, auteur, game designer or music video director, to inform their construction of representations; for example, using design, production and post-production processes to engage a target audience for a narrative music video or short film, social media product, or genre film such as a teen flick, thriller film or documentary",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D01,"Experiment with ways to construct representations that reflect ideas, perspectives and/or meaning, and/or use of media conventions, media languages and media technologies",,Researching target audiences and conventions used in successful online media arts works and using the results of this research to design and produce a media arts work that communicates representations aimed at building relationships with and engaging an audience,
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D01,"Experiment with ways to construct representations that reflect ideas, perspectives and/or meaning, and/or use of media conventions, media languages and media technologies",,"Experimenting with use of mise-en-scène, camera work, sound, editing and media technologies in ways that are typically used in a genre, auteur or film movement",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D01,"Experiment with ways to construct representations that reflect ideas, perspectives and/or meaning, and/or use of media conventions, media languages and media technologies",,"Manipulating technical and symbolic media codes and conventions of specific film, television or radio genres to produce a media arts work for a target audience; for example, creating a film trailer, film poster, short genre film or soundscape that communicates their understandings of the world around them",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D02,Reflect on their own or others’ media arts works and/or practises to refine and inform choices they make during stages of the production process,,"Developing skills needed to use selected media technologies to produce a photographic sequence for distribution in print, through an online photo gallery or a moving image media arts work, such as sequences or scenes using a DSLR camera, and developing understanding through reflective practice of how to use the manual settings for ISO, shutter speed and aperture for accurate exposure",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D02,Reflect on their own or others’ media arts works and/or practises to refine and inform choices they make during stages of the production process,,"Identifying and developing knowledge and skills needed to produce a media arts work such as a computer game, community service announcement, website or music video, to develop audience awareness about a social or cultural issue",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D02,Reflect on their own or others’ media arts works and/or practises to refine and inform choices they make during stages of the production process,,"Using Viewpoints to frame questions and explore possibilities by, for example, examining how camera work, sound, editing, media technologies and mise-en-scène have been manipulated to construct conventional representations of values, themes or ideas in a genre or body of work of an auteur or film movement or style; then safely, ethically, legally and responsibly designing, producing and editing a media arts work that communicates alternative representations to audiences",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D02,Reflect on their own or others’ media arts works and/or practises to refine and inform choices they make during stages of the production process,,Documenting and explaining their creative choices in relation to representations or genre codes and conventions,
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D02,Reflect on their own or others’ media arts works and/or practises to refine and inform choices they make during stages of the production process,,"Using editing software to experiment with structuring sequences, and applying technical and symbolic codes and conventions, to create meaning for audiences; for example, adding filters, text, music, rhythm and pace to a suspense sequence, using teen flick genre conventions for font, music and split screen to create a sequence, or paying homage to an influential director by manipulating pace and rhythm to create suspense",
The Arts,Media Arts,Years 9 and 10,Developing practices and skills,,AC9AMA10D02,Reflect on their own or others’ media arts works and/or practises to refine and inform choices they make during stages of the production process,,"Using Viewpoints to develop investigating questions when making decisions about how they will represent a theme, concept or idea, and considering possibilities for using or disrupting media conventions",
The Arts,Media Arts,Years 9 and 10,Creating and making,,AC9AMA10C01,"Design and structure media arts works that examine and communicate ideas, perspectives and/or meaning",,"Using media technologies, languages and representations when designing a media arts work such as a computer game, community service announcement, website or music video, with the intention of developing audience awareness of a social or cultural issue",
The Arts,Media Arts,Years 9 and 10,Creating and making,,AC9AMA10C01,"Design and structure media arts works that examine and communicate ideas, perspectives and/or meaning",,"Using media technologies to design a media arts work that communicates stereotypical representations for a specific target audience; for example, creating a film poster for a genre that relies on stereotypical representations, a music video that perpetuates stereotypical representations of youth, a movie trailer that manipulates genre conventions to meet audiences' expectations, or a social media campaign to advertise a community event",
The Arts,Media Arts,Years 9 and 10,Creating and making,,AC9AMA10C01,"Design and structure media arts works that examine and communicate ideas, perspectives and/or meaning",,"Designing the camera work, sound, editing or mise-en-scène to construct alternative representations of people, places, ideas and events in a narrative media arts work such as a genre film, music video, documentary or animation",
The Arts,Media Arts,Years 9 and 10,Creating and making,,AC9AMA10C01,"Design and structure media arts works that examine and communicate ideas, perspectives and/or meaning",,"Examining the way technical and symbolic codes and conventions of specific film, television or radio genres have been used in a media arts work to communicate values, themes or ideas to an audience; using pre-production processes such as a shot list, shooting script, screenplay, treatment or storyboard to trial ideas, designing a different media arts work that communicates or challenges these values, themes or ideas; for example, a film trailer, short genre film or soundscape",
The Arts,Media Arts,Years 9 and 10,Creating and making,,AC9AMA10C02,"Apply production processes and use media arts concepts to construct representations and produce media arts works that communicate ideas, perspectives and/or meaning, and confirm or challenge the expectations of specific audiences",,"Filming a short sequence to show a conflict, and selecting camera angles, lighting and costume to convey meaning through silent film, music video, stop motion or computer animation, experimenting with filming and framing the subject, and using basic shot types, angles and lighting to control picture space and mood",
The Arts,Media Arts,Years 9 and 10,Creating and making,,AC9AMA10C02,"Apply production processes and use media arts concepts to construct representations and produce media arts works that communicate ideas, perspectives and/or meaning, and confirm or challenge the expectations of specific audiences",,"Collaborating with communities to explore, challenge and celebrate local histories, cultures and identities; for example, using protocols from their school or school sector as a guide to contacting local First Nations Australian communities and establishing a learning partnership or using recognised online resources",
