SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"exploring how facial expressions, gestures and other ways of moving, and using voice or language, can communicate emotions and feelings in arts works; for example, characters in portraits, cartoons, songs, chants or dances from different times and cultures"
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"identifying and/or learning social or cultural dances that have meaning for people and communities, taking care to observe relevant protocols; for example, working with community representatives or using accredited resources"
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"using dramatic play to explore ideas or understandings they observe or perceive in a text or image (print or screen); for example, exploring questions such as “What is happening?”, “What will happen next?”"
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"identifying arts works and experiences in their lives, such as songs they sing, dances or drama they watch or perform, animations, computer games or music videos, public art, 2D, 3D or screen-based works they encounter at school or in community settings, and sharing ideas and feelings about the works with peers and teachers"
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"singing songs that are used for celebrations, such as school songs, anthems, sports teams’ songs, birthday songs and songs that help teach content or concepts from other learning areas, such as health messages"
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"exploring how illustrations/images in a text (fiction or non-fiction, print or screen) help to communicate narrative or information about characters, settings and/or mood"
The Arts,Music,Foundation,Exploring and responding,,AC9AMUFE01,explore how and why the arts are important for people and communities,,"listening to First Nations Australians talk about the importance of the arts for connecting to people, culture and Country/Place; for example, using resources created or co-created by First Nations Australians"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"playing with the tactile qualities of a range of materials (rough, smooth, spikey, gooey) and exploring how they feel about these qualities to develop ideas for a visual artwork, dance or soundscape; for example, using art materials, movement and/or voice to depict or embody the tactile qualities they have discovered; moving their body to communicate the smooth or rough qualities of a stone or ball"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"imagining how the characters in a story they are reading might dress or move, and making still or moving images to communicate ideas about the characters; for example, working in groups and using dramatic play to imagine possibilities about characters and situations or asking questions such as “What happens next?”"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"identifying and describing shapes, colours and lines they observe in their environment and exploring ways to use these shapes creatively; for example, imagining and trialling ways to use geometric and organic shapes and collage techniques to represent a familiar object such as a face; improvising movements that trace a series of shapes such as circle, rectangle and triangle; improvising a melody that follows the contour of the shape, or working collaboratively to form frozen or still images of each shape"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"playing games to develop subject-specific practices such as pitch, beat and/or rhythm recognition, exploring ways that body parts, zones and bases can be moved safely and expressively; taking on the point of view of a fictional character in dramatic play"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"responding to the emotions they experience while listening to different pieces of music and using movement to share their response; for example, using scarves and movement, or creating visual images using materials such as crayons or paint"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"improvising rhythmic patterns for clapping or stamping, or inventing new movements for familiar action songs, and interpreting these visually using elements of art/design such as shapes, lines and/or colours, and materials such as paper and pencil or string"
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,exploring their speaking and singing voices and discovering ways they can use their voices/vocalisation to communicate ideas and feelings
The Arts,Music,Foundation,Developing practices and skills,,AC9AMUFD01,"use play, imagination, arts knowledge, processes and/or skills to discover possibilities and develop ideas",,"improvising movements to explain the steps in a process, and then using a camera to capture a series of images or a photographic story that can be displayed in the classroom to remind everybody about the process"
The Arts,Music,Foundation,Creating and making,,AC9AMUFC01,create arts works that communicate ideas,,"creating arts works in a range of forms to communicate ideas from lived personal or social experiences; for example, creating a dance or scenes showing favourite activities such as games; using digital devices to record their peers playing a game and creating a voice-over that describes what's happening; composing a song or chant about a favourite food or activity; drawing a home scene of people and animals"
