SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E01,"Investigate the ways that artists across cultures, times, places and/or other contexts develop personal expression in their visual arts practise to represent, communicate and/or challenge ideas, perspectives and/or meaning",,"Analysing a selection of artworks that represent a point of view on the same or similar theme, story, historical event, place, time, use of a technique or materials, noting the differences and similarities in the range of artworks and how an artist’s lived experience and cultural forces can have an impact on perspectives found in their work",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E01,"Investigate the ways that artists across cultures, times, places and/or other contexts develop personal expression in their visual arts practise to represent, communicate and/or challenge ideas, perspectives and/or meaning",,"Investigating how linear timelines, in contrast to circular timelines, can shift meaning in art with reference to First Nations Australian ways of knowing, being and doing",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E01,"Investigate the ways that artists across cultures, times, places and/or other contexts develop personal expression in their visual arts practise to represent, communicate and/or challenge ideas, perspectives and/or meaning",,"Researching, analysing and evaluating the ways that artists from different times and places represent subject matter, themes or concepts, such as portraiture, freedom and social change or identity, using a range of styles and conventions",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E01,"Investigate the ways that artists across cultures, times, places and/or other contexts develop personal expression in their visual arts practise to represent, communicate and/or challenge ideas, perspectives and/or meaning",,"Creating extended written, oral or multimedia accounts, such as essays, pod/vodcast, debate or reviews, that discuss and explain how artists have represented their ideas in their artworks and artist practices",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E01,"Investigate the ways that artists across cultures, times, places and/or other contexts develop personal expression in their visual arts practise to represent, communicate and/or challenge ideas, perspectives and/or meaning",,Selecting different critical viewpoints to develop explanations about artists’ approaches and works at different times and in different contexts,
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E01,"Investigate the ways that artists across cultures, times, places and/or other contexts develop personal expression in their visual arts practise to represent, communicate and/or challenge ideas, perspectives and/or meaning",,"Exploring the development of a visual arts form over time, considering the impact of globalisation, cultural practices, and new discoveries in materials and technologies; for example, wood block printing or photography",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E02,Investigate the ways that First Nations Australian artists celebrate and challenge multiple perspectives of Australian identity through their artworks and visual arts practise,,"Researching a diverse range of artworks or designs such as artworks in galleries, protest posters or street art in order to analyse how and why First Nations Australian artists have used visual communication as a tool to express activism for change",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E02,Investigate the ways that First Nations Australian artists celebrate and challenge multiple perspectives of Australian identity through their artworks and visual arts practise,,"Analysing the ways that First Nations Australian artists use their practices to challenge and inform community debate and present multiple ways of understanding an issue; for example, understandings about “first contacts” between the First Nations Peoples of Australia and people from Britain or Europe",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E02,Investigate the ways that First Nations Australian artists celebrate and challenge multiple perspectives of Australian identity through their artworks and visual arts practise,,"Comparing, analysing and evaluating ways that contemporary First Nations Australian artists and designers are exploring and challenging concepts and histories of Australia and Australian identity",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E02,Investigate the ways that First Nations Australian artists celebrate and challenge multiple perspectives of Australian identity through their artworks and visual arts practise,,"Exploring the ways that First Nations Australian visual artists use their practices to communicate ideas, messages and lived experiences to the broader community",
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E02,Investigate the ways that First Nations Australian artists celebrate and challenge multiple perspectives of Australian identity through their artworks and visual arts practise,,Understanding ways that the arts provide opportunities for First Nations Australian artists and designers to continue and develop their culture,
The Arts,Visual Arts,Years 9 and 10,Exploring and responding,,AC9AVA10E02,Investigate the ways that First Nations Australian artists celebrate and challenge multiple perspectives of Australian identity through their artworks and visual arts practise,,"Investigating how First Nations Australian visual artists are caring for Country/Place, culture and people through the visual arts; for example, by working with representatives of the First Nations Australian community to explore how local groups are caring for the local environment and highlighting these issues through visual arts projects, such as campaigns that focus on environmental issues",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D01,"Experiment with visual conventions, visual arts processes and materials to refine skills and develop personal expression",,"Experimenting with the material properties of a medium or form and investigating/exploring, in depth, the technical processes associated with that form in order to develop a comprehensive understanding of the ways that they can use it to represent their ideas in their own visual arts practice",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D01,"Experiment with visual conventions, visual arts processes and materials to refine skills and develop personal expression",,"Interrogating multiple ways of approaching an activity; for example, using a diverse range of media to express different interpretations of the one topic, such as producing several sketches of the one object using different media with each one exploring a different emotion",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D01,"Experiment with visual conventions, visual arts processes and materials to refine skills and develop personal expression",,"Investigating a diverse selection of artists through their sketchbooks to uncover their practices, and find connections between their processes and the development of their personal expression",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D01,"Experiment with visual conventions, visual arts processes and materials to refine skills and develop personal expression",,"Developing an “inspiration” journal of collections from everyday life, such as photographs, found objects, experiments with media, thoughts and ideas, and using questions based on Viewpoints to interrogate their “inspiration” journal and begin identifying their own personal style; for example, ""What am I drawn to, and why is this important to me?""",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D01,"Experiment with visual conventions, visual arts processes and materials to refine skills and develop personal expression",,"Documenting and evaluating their investigations of visual art processes, visual conventions and materials in a diary, portfolio or digital journal; for example, annotating the processes used and using Viewpoints to develop questions to deepen their understanding of the concepts explored or processes used, such as ""Have I pushed and explored this idea, medium or technique as far as I can?"", ""What is the problem, and how can I find multiple possible solutions?"", ""What happens when I …?”, “What did I learn from this …?”, “How can it inform my future art-making?""",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D01,"Experiment with visual conventions, visual arts processes and materials to refine skills and develop personal expression",,"Drawing lines, shapes and arrows drawn over photocopies of artworks and using a code to demonstrate their understanding of the way the artist has composed the artwork to communicate meaning; for example, using lines to trace over an artwork to show composition techniques, such as rule of thirds, creating movement using diagonal and or curved lines, repetition and pattern, or the use of visual hierarchy to indicate how the viewer’s eye follows the layout of a designed product",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D02,"Reflect on the way they and other visual artists respond to influences to inspire, develop and resolve choices they make in their own visual arts practise",,"Investigating and reflecting on the role and influence of their own culture, family or personal experiences when developing ideas for artworks",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D02,"Reflect on the way they and other visual artists respond to influences to inspire, develop and resolve choices they make in their own visual arts practise",,"Investigating a diverse range of visual artists; for example, artists who live and work in a different place, such as a country in the Asia region, and reflecting on accounts of them discussing influences on their work and practices, in order to develop an understanding of the many factors that can shape their own visual arts practice",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D02,"Reflect on the way they and other visual artists respond to influences to inspire, develop and resolve choices they make in their own visual arts practise",,"Analysing and reflecting on the ways that artists have structured their artworks to represent ideas; for example, using Viewpoints to generate questions to facilitate their understanding of the artists’ intentions",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D02,"Reflect on the way they and other visual artists respond to influences to inspire, develop and resolve choices they make in their own visual arts practise",,"Reflecting on, evaluating and resolving their choices for representing their ideas as their work progresses; for example, through informal discussions or reviews, or in written/oral/multimedia evaluations, such as journals",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D02,"Reflect on the way they and other visual artists respond to influences to inspire, develop and resolve choices they make in their own visual arts practise",,"Exploring current issues that are of importance to them, such as global or local issues, as a starting point for generating and reflecting on ideas for artworks that explore themes/concepts such as sustainable futures, wellbeing and emotional health, or human rights issues",
The Arts,Visual Arts,Years 9 and 10,Developing practices and skills,,AC9AVA10D02,"Reflect on the way they and other visual artists respond to influences to inspire, develop and resolve choices they make in their own visual arts practise",,"Investigating the ways that artists use their visual arts practice to explore, examine, resolve or represent personal experiences and expressions as a starting point to understand how they can use their own visual arts practice to explore and respectfully/safely represent personal issues, such as self-awareness, emotional awareness and personal wellbeing",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C01,"Evaluate critical feedback when planning, developing and refining their visual arts practise",,"Uncovering meaning, interpretations or reactions from audiences by seeking impressions without confirming or leading the audience towards intended responses",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C01,"Evaluate critical feedback when planning, developing and refining their visual arts practise",,"Tracking success using self-assessment and reflection guided by questions based on Viewpoints in order to solve creative challenges, and considering how the artwork could be improved, and then editing, altering, updating, improving, adding or taking away from the work and re-evaluating",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C01,"Evaluate critical feedback when planning, developing and refining their visual arts practise",,"Experimenting with and evaluating ways of structuring ideas in sketches, studies, maquettes, annotated digital images or journal entries",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C01,"Evaluate critical feedback when planning, developing and refining their visual arts practise",,"Evaluating and responding to feedback on works in process from teachers and peers, in discussions or reviews, and documenting their decisions and responses in written, oral or multimedia, physical or digital journals/diaries",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C01,"Evaluate critical feedback when planning, developing and refining their visual arts practise",,"Collaborating with other students, groups or agencies, such as community groups, to generate ideas for artworks on design or artistic projects for curated exhibitions or events",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C02,"Select and manipulate visual conventions, visual arts processes and/or materials to create artworks that reflect personal expression, and represent and/or challenge, ideas, perspectives and/or meaning",,Creating artworks that realise the intentions and communicate ideas developed through their experimentation and planning,
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C02,"Select and manipulate visual conventions, visual arts processes and/or materials to create artworks that reflect personal expression, and represent and/or challenge, ideas, perspectives and/or meaning",,Researching approaches to representing their ideas and interests in the world/subjects or concepts from a particular viewpoint or a range of viewpoints in order to plan and refine their approach,
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C02,"Select and manipulate visual conventions, visual arts processes and/or materials to create artworks that reflect personal expression, and represent and/or challenge, ideas, perspectives and/or meaning",,"Recording and documenting their research into their subject using their own images or images from other sources, written annotations, and comments and evaluations",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C02,"Select and manipulate visual conventions, visual arts processes and/or materials to create artworks that reflect personal expression, and represent and/or challenge, ideas, perspectives and/or meaning",,"Initiating their own ways of resolving ideas and concepts visually, using creative problem-solving throughout the process of creating their final artworks",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C02,"Select and manipulate visual conventions, visual arts processes and/or materials to create artworks that reflect personal expression, and represent and/or challenge, ideas, perspectives and/or meaning",,"Creating their own artworks in response to a specific subject, theme or idea, using material, techniques and conventions in intentional, interpretative and personal ways",
The Arts,Visual Arts,Years 9 and 10,Creating and making,,AC9AVA10C02,"Select and manipulate visual conventions, visual arts processes and/or materials to create artworks that reflect personal expression, and represent and/or challenge, ideas, perspectives and/or meaning",,"Applying their knowledge and understanding of visual arts processes and materials to create artworks; for example, demonstrating understanding of sculptural techniques, space and form to create a site-specific 3D work, or a range of painting techniques to create the illusion of texture and form in a landscape painting",
