SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are manipulated to represent ideas, perspectives and/or meaning in artworks created across cultures, times, places and/or other contexts",,"Investigating arts works by First Nations Australian artist/s that cross over multiple artforms, either through direct engagement with First Nations Australian artists or using online resources created or co-created by First Nations Australians, analysing how the arts forms come together; for example, a drama presentation with visual elements such as backdrops, costumes and props, or music such as songs with lyrics that reference environmental concerns or historical events (protest songs) and are presented with projections of visual images",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are manipulated to represent ideas, perspectives and/or meaning in artworks created across cultures, times, places and/or other contexts",,"Researching the ways that artists from different times and places have represented a particular subject or theme, such as portraiture, the natural world or social events, using a range of styles and conventions",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are manipulated to represent ideas, perspectives and/or meaning in artworks created across cultures, times, places and/or other contexts",,Analysing the ways that artists represent subject matter and ideas in their artworks when developing ideas for their own representations,
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are manipulated to represent ideas, perspectives and/or meaning in artworks created across cultures, times, places and/or other contexts",,"Creating written accounts, such as catalogue entries, interview transcripts or reviews, that discuss or explain how artists have shown their ideas in their art-making",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are manipulated to represent ideas, perspectives and/or meaning in artworks created across cultures, times, places and/or other contexts",,"Investigating and trialling techniques and visual arts processes used by artists, thinking about whether these processes and technologies have changed over time, and how they can have an impact on art-making",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E01,"Investigate ways that visual conventions, visual arts processes and materials are manipulated to represent ideas, perspectives and/or meaning in artworks created across cultures, times, places and/or other contexts",,"Exploring the ways that artists are inspired and influenced by the practice of artists from other countries or cultures they have relationships with; for example, the reciprocal influence and impact between Australian and Asian artists and their practices",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E02,"Investigate the diversity of First Nations Australians’ artworks and arts practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Locating and discussing information about Indigenous Cultural and Intellectual Property rights and protocols, and engaging in activities that help them understand how to make ethical choices and empathise with content creators and story owners; for example, asking questions such as “Who created this artwork?”, “Whose story is it?”, “May I use ideas from this artwork and do I need permission to do so?”",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E02,"Investigate the diversity of First Nations Australians’ artworks and arts practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating examples of how visual artists and designers ensure their legal and moral obligations are met when selecting and using First Nations Australians’ cultural material to develop and create contemporary work; for example, by accessing information about how professional artists and design companies go about obtaining permission to use cultural material that belongs to a collective or a cultural group rather than an individual when creating new work",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E02,"Investigate the diversity of First Nations Australians’ artworks and arts practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating an example of cultural appropriation where it has been found that First Nations Australian Indigenous Cultural and Intellectual Property rights have been denied and identifying how this situation could have been approached respectfully; for example, a situation where an artist used symbols, techniques or styles that carry cultural knowledge without gaining permission from the knowledge holders",
The Arts,Visual Arts,Years 7 and 8,Exploring and responding,,AC9AVA8E02,"Investigate the diversity of First Nations Australians’ artworks and arts practises, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Exploring how visual artists can respect Indigenous Cultural and Intellectual Property rights when using historical or other background materials that accurately communicate First Nations Australians’ perspectives, such as their resilience in response to the impacts of colonisation; for example, by using protocols or guidelines from education authorities or those that are endorsed by First Nations Australian organisations",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Selecting and appropriately acknowledging the use of found images when making and responding to artworks; for example, when choosing source material for collage or deliberate appropriation, such as images that represent identity and personality in a self-portrait",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Investigating the choices that other artists have made when structuring their representation of ideas to assist in structuring their own ideas; for example, using sketches, studies, maquettes, annotated digital images or journal entries of other artists",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Developing an understanding of how and why artists choose to use encryption in their artworks; for example, in analog artworks using lemon juice, symbolism or ciphers, layering of content, symbols and visual elements, and/or in digital images through the use of hex encryption software for the purposes of copyrighting works, and including information in works",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Evaluating feedback from teachers and peers; for example, feedback offered in discussions and reviews of their artworks and planning in progress; then documenting their subsequent decisions and responses in written, oral or multimedia, physical or digital journals or diaries using visual arts terminology",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Developing an awareness of cultural and artistic conventions for representing subjects through a contextual study of artists and their artworks, taking care to observe protocols for using First Nations Australian cultural property in the arts",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Reflecting on learning and evaluating/resolving choices to represent their ideas as the ideas for the artwork progresses, using informal discussions, process annotations, reviews or written/oral/multimedia evaluations in physical or digital journals or visual diaries",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Exploring the ways that a range of artists use materials, visual conventions and visual art processes to communicate their concepts; for example, investigating how artists use choices of materials and visual arts processes when working on a similar concept and how this impacts the viewer response, or experimenting with these approaches to consider how they might approach the same concept",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D01,"Experiment with visual conventions, visual arts processes and materials to develop skills",,"Observing the different ways that artists respond to sensory stimuli, such as emotions, feelings or material properties, to generate ideas and directions for their own works; for example, being guided by the tactile qualities of a material as inspiration for practical exploration",
The Arts,Visual Arts,Years 7 and 8,Developing practices and skills,,AC9AVA8D02,Reflect on the ways that they and other artists respond to influences to inform choices they make in their own visual arts practise,,"Developing understanding of the ways that visual conventions can be used to communicate feelings and emotions in artworks; for example, exploring multiple small compositional sketches to identify and reflect on how they can change the emotions communicated in a simple still life by making changes in composition, colour and tone",
