SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
HASS,History,Year 7,AC9HH7ASC01,"By the end of Year 7, students describe the historical significance of the ancient past and the histories of early First Nations Peoples of Australia.",Knowledge and understanding,"ancient, australia, describe, early, first, historical, histories, nations, past, peoples, significance, year","AC9HH7K01,AC9HH7K02,AC9HH7K03,AC9HH7K08",High
HASS,History,Year 7,AC9HH7ASC02,"They identify the causes and effects of events, developments and achievements connected to groups and individuals in Australia and other societies from the ancient past.",Knowledge and understanding,"achievements, ancient, australia, causes, connected, developments, effects, events, groups, identify, individuals, other, past, societies","AC9HH7K04,AC9HH7K05,AC9HH7K09",High
HASS,History,Year 7,AC9HH7ASC03,"Students describe the social, religious, cultural, economic, environmental and/or political aspects related to changes and continuities in these societies.",Knowledge and understanding,"and/or, aspects, changes, continuities, cultural, describe, economic, environmental, political, related, religious, social, societies","AC9HH7K06,AC9HH7K11",High
HASS,History,Year 7,AC9HH7ASC04,"They identify the roles and achievements of significant individuals and groups, and the influences on the development of ancient societies.",Knowledge and understanding,"achievements, ancient, development, groups, identify, individuals, influences, roles, significant, societies","AC9HH7K10,AC9HH7K12,AC9HH7K13",High
HASS,History,Year 7,AC9HH7ASC05,Students explain the importance of heritage sites connected to Australia and other societies from the ancient past.,Knowledge and understanding,"ancient, australia, connected, explain, heritage, importance, other, past, sites, societies","AC9HH7K07,AC9HH7K08",High
HASS,History,Year 7,AC9HH7ASC06,Students develop questions about the past.,Skills,"about, develop, past, questions",AC9HH7S01,High
HASS,History,Year 7,AC9HH7ASC07,They locate and identify primary and secondary sources as evidence in historical inquiry.,Skills,"evidence, historical, identify, inquiry, locate, primary, secondary, sources",AC9HH7S02,High
HASS,History,Year 7,AC9HH7ASC08,"They describe the origin, content, context and purpose of primary and secondary sources.",Skills,"content, context, describe, origin, primary, purpose, secondary, sources",AC9HH7S03,High
HASS,History,Year 7,AC9HH7ASC09,Students identify the accuracy and usefulness of sources as evidence.,Skills,"accuracy, evidence, identify, sources, usefulness",AC9HH7S04,High
HASS,History,Year 7,AC9HH7ASC10,"They sequence events and developments to describe causes and effects, and continuities and changes across societies and periods of time.",Skills,"across, causes, changes, continuities, describe, developments, effects, events, periods, sequence, societies, time",AC9HH7S05,High
HASS,History,Year 7,AC9HH7ASC11,"They describe the perspectives, attitudes and values of the past in sources.",Skills,"attitudes, describe, past, perspectives, sources, values",AC9HH7S06,High
HASS,History,Year 7,AC9HH7ASC12,They identify and describe historical interpretations about significant events and people.,Skills,"about, describe, events, historical, identify, interpretations, people, significant",AC9HH7S07,High
HASS,History,Year 7,AC9HH7ASC13,"Students use historical knowledge, concepts, terms and evidence from sources to create descriptions, explanations and historical arguments.",Skills,"arguments, concepts, create, descriptions, evidence, explanations, historical, knowledge, sources, terms",AC9HH7S08,High
HASS,History,Year 8,AC9HH8ASC01,"By the end of Year 8, students describe the historical significance of the periods between the ancient and modern past.",Skills,"ancient, between, describe, historical, modern, past, periods, significance, year",AC9HH8K01,High
HASS,History,Year 8,AC9HH8ASC02,"They explain the causes and effects of events, developments, turning points or challenges in Medieval, Renaissance or pre-modern Europe, or in the societies connected to empires or expansions, or the societies of the Asia-Pacific world during these periods.",Knowledge and understanding,"asia-pacific, causes, challenges, connected, developments, during, effects, empires, europe, events, expansions, explain, medieval, periods, points, pre-modern, renaissance, societies, turning, world"," AC9HH8K03,AC9HH8K08,AC9HH8K13",High
HASS,History,Year 8,AC9HH8ASC03,"They describe the social, religious, cultural, economic, environmental and/or political aspects related to the changes and continuities in a society or a historical period.",Knowledge and understanding,"and/or, aspects, changes, continuities, cultural, describe, economic, environmental, historical, period, political, related, religious, social, society"," AC9HH8K02,AC9HH8K07,AC9HH8K12",High
HASS,History,Year 8,AC9HH8ASC04,"Students describe the role of significant individuals, groups and institutions connected to the societies of these periods and their influences on historical events.",Knowledge and understanding,"connected, describe, events, groups, historical, individuals, influences, institutions, periods, role, significant, societies","AC9HH8K04,AC9HH8K05,AC9HH8K09,AC9HH8K10,AC9HH8K14,AC9HH8K15",High
HASS,History,Year 8,AC9HH8ASC05,Students develop questions about the past to inform historical inquiry.,Skills,"about, develop, historical, inform, inquiry, past, questions",AC9HH8S01,High
HASS,History,Year 8,AC9HH8ASC06,They locate and identify a range of primary and secondary sources as evidence in historical inquiry.,Skills,"evidence, historical, identify, inquiry, locate, primary, range, secondary, sources",AC9HH8S02,High
HASS,History,Year 8,AC9HH8ASC07,"They describe the origin, content and context of sources, and explain the purpose of primary and secondary sources.",Skills,"content, context, describe, explain, origin, primary, purpose, secondary, sources",AC9HH8S03,High
HASS,History,Year 8,AC9HH8ASC08,"Students compare sources to explain the accuracy, usefulness and reliability of sources as evidence.",Skills,"accuracy, compare, evidence, explain, reliability, sources, usefulness",AC9HH8S04,High
HASS,History,Year 8,AC9HH8ASC09,"They sequence events and developments to explain causes and effects, and patterns of continuity and change across societies and time periods.",Skills,"across, causes, change, continuity, developments, effects, events, explain, patterns, periods, sequence, societies, time",AC9HH8S05,High
HASS,History,Year 8,AC9HH8ASC10,"They describe perspectives, attitudes and values of the past, and suggest reasons for different points of view.",Skills,"attitudes, describe, different, past, perspectives, points, reasons, suggest, values, view",AC9HH8S06,High
HASS,History,Year 8,AC9HH8ASC11,They explain historical interpretations about significant events and people.,Knowledge and understanding,"about, events, explain, historical, interpretations, people, significant"," AC9HH8K06,AC9HH8K11,AC9HH8K16,AC9HH8S07",High
HASS,History,Year 8,AC9HH8ASC12,"Students use historical knowledge, concepts, terms and references to evidence from sources to create descriptions, explanations and historical arguments.",Skills,"arguments, concepts, create, descriptions, evidence, explanations, historical, knowledge, references, sources, terms",AC9HH8S08,High
HASS,History,Year 9,AC9HH9ASC01,"By the end of Year 9, students explain the historical significance of the period of the early modern world up to 1918.",Knowledge and understanding,"1918, early, explain, historical, modern, period, significance, world, year","AC9HH9K01,AC9HH9K02,AC9HH9K04,AC9HH9K19,AC9HH9K21",High
HASS,History,Year 9,AC9HH9ASC02,"They explain the causes and effects of events, developments, turning points or movements globally, in Australia and in relation to the First World War or in an Asian context.",Knowledge and understanding,"asian, australia, causes, context, developments, effects, events, explain, first, globally, movements, points, relation, turning, world","AC9HH9K02,AC9HH9K03,AC9HH9K08,AC9HH9K13,AC9HH9K14,AC9HH9K15,AC9HH9K19,AC9HH9K20",High
HASS,History,Year 9,AC9HH9ASC03,"They describe the social, cultural, economic and/or political aspects related to the changes and continuities in a society or a historical period.",Knowledge and understanding,"and/or, aspects, changes, continuities, cultural, describe, economic, historical, period, political, related, social, society","AC9HH9K05,AC9HH9K07,AC9HH9K11,AC9HH9K17,AC9HH9K18,AC9HH9K22,AC9HH9K24",High
HASS,History,Year 9,AC9HH9ASC04,"Students explain the role of significant ideas, individuals, groups and institutions connected to the developments of this period and their influences on the historical events.",Knowledge and understanding,"connected, developments, events, explain, groups, historical, ideas, individuals, influences, institutions, period, role, significant","AC9HH9K05,AC9HH9K06,AC9HH9K09,AC9HH9K10,AC9HH9K11,AC9HH9K16,AC9HH9K18,AC9HH9K22,AC9HH9K23",High
HASS,History,Year 9,AC9HH9ASC05,Students develop and modify questions about the past to inform historical inquiry.,Skills,"about, develop, historical, inform, inquiry, modify, past, questions",AC9HH9S01,High
HASS,History,Year 9,AC9HH9ASC06,"They locate, select and compare primary and secondary sources, and use information in sources as evidence in historical inquiry.",Skills,"compare, evidence, historical, information, inquiry, locate, primary, secondary, select, sources",AC9HH9S02,High
HASS,History,Year 9,AC9HH9ASC07,"They explain the origin, content, context and purpose of primary and secondary sources.",Skills,"content, context, explain, origin, primary, purpose, secondary, sources",AC9HH9S03,High
HASS,History,Year 9,AC9HH9ASC08,"Students compare sources to determine the accuracy, usefulness and reliability of sources as evidence.",Skills,"accuracy, compare, determine, evidence, reliability, sources, usefulness",AC9HH9S04,High
HASS,History,Year 9,AC9HH9ASC09,"They explain causes and effects, and patterns of continuity and change connected to a period, event or movement.",Skills,"causes, change, connected, continuity, effects, event, explain, movement, patterns, period",AC9HH9S05,High
HASS,History,Year 9,AC9HH9ASC10,"Students compare perspectives of significant events and developments, and explain the factors that influence these perspectives.",Skills,"compare, developments, events, explain, factors, influence, perspectives, significant",AC9HH9S06,High
HASS,History,Year 9,AC9HH9ASC11,They analyse different and contested historical interpretations.,Knowledge and understanding,"analyse, contested, different, historical, interpretations","AC9HH9K12,AC9HH9S07",High
HASS,History,Year 9,AC9HH9ASC12,"Students use historical knowledge, concepts and terms to develop descriptions, explanations and historical arguments that acknowledge evidence from sources.",Skills,"acknowledge, arguments, concepts, descriptions, develop, evidence, explanations, historical, knowledge, sources, terms",AC9HH9S08,High
HASS,History,Year 10,AC9HH10ASC01,"By the end of Year 10, students explain the historical significance of the period between 1918 and the early 21st century.",Knowledge and understanding,"1918, 21st, between, century, early, explain, historical, period, significance, year","AC9HH10K03,AC9HH10K07,AC9HH10K11,AC9HH10K12,AC9HH10K13,AC9HH10K14,AC9HH10K15",High
HASS,History,Year 10,AC9HH10ASC02,"They explain the causes and effects of events, developments, turning points or movements in 20th-century Australia and internationally, leading up to and through the Second World War, and the post-war world.",Knowledge and understanding,"20th-century, australia, causes, developments, effects, events, explain, internationally, leading, movements, points, post-war, second, turning, world","AC9HH10K01,AC9HH10K02,AC9HH10K03,AC9HH10K08,AC9HH10K09,AC9HH10K12,AC9HH10K16",High
HASS,History,Year 10,AC9HH10ASC03,"They describe social, cultural, economic and/or political aspects, including international developments, related to the changes and continuities in Australian society over this historical period.",Knowledge and understanding,"and/or, aspects, australian, changes, continuities, cultural, describe, developments, economic, historical, international, over, period, political, related, social, society","AC9HH10K04,AC9HH10K05,AC9HH10K17,AC9HH10K18",High
HASS,History,Year 10,AC9HH10ASC04,"Students explain the role of significant ideas, individuals, groups and institutions connected to the developments of this period and their influences on Australian and global history.",Knowledge and understanding,"australian, connected, developments, explain, global, groups, history, ideas, individuals, influences, institutions, period, role, significant","AC9HH10K05,AC9HH10K06,AC9HH10K10,AC9HH10K11,AC9HH10K13,AC9HH10K15,AC9HH10K19,AC9HH10K20",High
HASS,History,Year 10,AC9HH10ASC05,Students develop and modify a range of questions about the past to inform historical inquiry.,Skills,"about, develop, historical, inform, inquiry, modify, past, questions, range",AC9HH10S01,High
HASS,History,Year 10,AC9HH10ASC06,"They locate, select and compare a range of primary and secondary sources and synthesise the information in sources to use as evidence in historical inquiry.",Skills,"compare, evidence, historical, information, inquiry, locate, primary, range, secondary, select, sources, synthesise",AC9HH10S02,High
HASS,History,Year 10,AC9HH10ASC07,"They analyse the origin, content, context and purpose of primary and secondary sources.",Skills,"analyse, content, context, origin, primary, purpose, secondary, sources",AC9HH10S03,High
HASS,History,Year 10,AC9HH10ASC08,"Students evaluate the accuracy, usefulness and reliability of sources as evidence.",Skills,"accuracy, evaluate, evidence, reliability, sources, usefulness",AC9HH10S04,High
HASS,History,Year 10,AC9HH10ASC09,"They sequence events and developments to analyse cause and effect, and patterns of continuity and change, connected to a period, event or movement.",Knowledge and understanding,"analyse, cause, change, connected, continuity, developments, effect, event, events, movement, patterns, period, sequence",AC9HH10S05,High
