SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K01,The key features and values of Australia’s system of government compared with at least one other democratic or non-democratic system of government in the Asia-Pacific region,,"Comparing the key institutional features of Australia’s system of government (for example, free, fair and frequent elections, the party system, the partial separation of powers, the rule of law, and the protection of human rights and freedoms) with the key features of a system of government of a country in Asia"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K01,The key features and values of Australia’s system of government compared with at least one other democratic or non-democratic system of government in the Asia-Pacific region,,Researching and comparing the experiences of First Nations Australians in engaging with the political system with those of the Indigenous peoples in an Asian nation
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K01,The key features and values of Australia’s system of government compared with at least one other democratic or non-democratic system of government in the Asia-Pacific region,,Exploring and reflecting on the cultural influences shaping the Australian political system and that of a comparison country
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K02,The Australian Government’s role and responsibilities at a regional and global level,,"Explaining the ways Australia contributes to and participates in the Asia-Pacific region, including membership of international organisations and participation in agreements with other nations (for example, exchange programs, peacekeeping, election monitoring, development aid, health programs, disaster management) and internationally, including participation in the United Nations Security Council"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K02,The Australian Government’s role and responsibilities at a regional and global level,,"Investigating Australia’s responsibilities and commitment to various international treaties, conventions and agendas, such as the UN Sustainable Development Agenda and the United Nations Framework Convention on Climate Change"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K02,The Australian Government’s role and responsibilities at a regional and global level,,"Analysing and evaluating the reasons for and effectiveness of Australia's participation in the region and globally with regard to a global issue, such as human rights, war and conflict, challenges to democracy or climate"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K02,The Australian Government’s role and responsibilities at a regional and global level,,"Comparing the responses of governments and organisations around the world to a global issue; for example, gender equality, poverty, climate change, vaccination against communicable diseases"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K02,The Australian Government’s role and responsibilities at a regional and global level,,Identifying ways that the forces of global interconnectedness could both exacerbate and enhance the ability to solve the key issues of our time
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Government and democracy,AC9HC10K02,The Australian Government’s role and responsibilities at a regional and global level,,"Evaluating the impacts of these issues on Australia’s identity; First Nations Australians’ reconciliation, truth-telling and sovereignty; Australian government policies and citizens’ choices to act in the global interest"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Laws and citizens,AC9HC10K03,"The role of the parliament and the High Court of Australia in protecting rights under the Constitution, common law, and through federal and state statute law",,"Explaining the role of the High Court in interpreting and applying the law, using contemporary Australian examples"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Laws and citizens,AC9HC10K03,"The role of the parliament and the High Court of Australia in protecting rights under the Constitution, common law, and through federal and state statute law",,Exploring the concepts of express and implied rights through High Court cases such as the Stolen Generations Case (Kruger v the Commonwealth [1997]) and the Vicki Lee Roach Case (Roach v Electoral Commissioner [2007])
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Laws and citizens,AC9HC10K03,"The role of the parliament and the High Court of Australia in protecting rights under the Constitution, common law, and through federal and state statute law",,Investigating understanding of terra nullius and how the Native Title Act (1993) property rights were developed through High Court interpretation of common law and enshrined in statutory law
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Laws and citizens,AC9HC10K03,"The role of the parliament and the High Court of Australia in protecting rights under the Constitution, common law, and through federal and state statute law",,"Comparing the effectiveness of a constitutional bill of rights, such as in the USA, with a statutory bill of rights, such as in New Zealand"
HASS,Civics and Citizenship,Year 10,Knowledge and understanding,Laws and citizens,AC9HC10K04,"How Australia’s international legal obligations shape Australian law and government policies, including those relating to First Nations Australians, and the issues related to the application of these obligations",,"Investigating how many of the 9 key human rights treaties Australia has signed and ratified, and researching how at least one of these has shaped Australian law or government policy"
