SubjectArea,Subject,Band,Term,Definition
HASS,Economics and Business,Year 7 to Year 10,argument,A claim justified with reference to evidence.
HASS,Economics and Business,Year 7 to Year 10,Asia / Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
HASS,Economics and Business,Year 7 to Year 10,belief systems,"A set of principles or tenets which together form the basis of a philosophy, moral code or religion"
HASS,Economics and Business,Year 7 to Year 10,budget,A financial planning tool that gives an overview of income and expenses to plan for and achieve financial objectives.
HASS,Economics and Business,Year 7 to Year 10,business,"An organisation or enterprise engaged in producing or buying and selling goods and services, usually for profit."
HASS,Economics and Business,Year 7 to Year 10,capital,"Physical resources such as equipment, machinery and buildings; and human resources such as intellectual property and knowledge used to produce goods and services (e.g. a farmer uses a harvester)."
HASS,Economics and Business,Year 7 to Year 10,colonisation,"The act of setting up a colony away from one’s place of origin. With humans, it can be seen negatively because it tends to involve an invading culture taking control over an indigenous population."
HASS,Economics and Business,Year 7 to Year 10,common good,"The idea that societies and communities work together for a mutually beneficial purpose, or share resources for the benefit of the community as a whole."
HASS,Economics and Business,Year 7 to Year 10,comparative advantage,The ability of a country to produce and export particular goods or services at a lower opportunity cost. This could be due to specialisation in a particular field.
HASS,Economics and Business,Year 7 to Year 10,competitive advantage,"The ability of a business to sell more of a product, or operate at a lower cost, or better meet the needs of consumers. This usually implies the business is more profitable than its competitors."
HASS,Economics and Business,Year 7 to Year 10,consumer,A person or group that purchases or uses goods and services produced in an economy.
HASS,Economics and Business,Year 7 to Year 10,consumer and financial decisions,"Ability to make informed choices about strategies to manage finances in consumer and financial contexts considering consequences (e.g. on self, others, sense of security or future options)."
HASS,Economics and Business,Year 7 to Year 10,coordinates,A set of values that define the position of a point or an object in a space. The coordinate system being used will govern the nature of the coordinates.
HASS,Economics and Business,Year 7 to Year 10,corporate social responsibility,"Consideration by businesspeople of the implications for and interests of stakeholders, society and the environment when making economic and business decisions."
HASS,Economics and Business,Year 7 to Year 10,corporation,"A business organisation with a legal entity, separate and distinct from its owners (e.g. it can enter into contracts, lend and borrow money, sue and be sued, hire employees, own assets and pay taxes)."
HASS,Economics and Business,Year 7 to Year 10,cost-benefit analysis,Analysis in economic and business decision-making to determine and evaluate benefits and costs of a response to an issue including monetary and non­monetary consequences or effects.
HASS,Economics and Business,Year 7 to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
HASS,Economics and Business,Year 7 to Year 10,data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
HASS,Economics and Business,Year 7 to Year 10,demand,"The quantity of a good or amount of service a consumer is willing to purchase at a set price, with an increase in the price likely to decrease the demand, and vice versa."
HASS,Economics and Business,Year 7 to Year 10,digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
HASS,Economics and Business,Year 7 to Year 10,diversity,"The mix of people in a group or society; i.e. differences in factors such as age, abilities, culture and religion and/or in how people identify in relation to factors such as gender and sexuality."
HASS,Economics and Business,Year 7 to Year 10,economic and business issue,"A consumer or financial matter at the point of decision by individuals, businesses, government, finance sector (e.g. management of finances, business success and productivity, economic performance)."
HASS,Economics and Business,Year 7 to Year 10,economic growth,"An increase in the quantity of goods and services produced in an economy over a period of time, characterised by an increasing ability of society to satisfy the needs and wants of its people."
HASS,Economics and Business,Year 7 to Year 10,economic indicator,"Information about economic performance that is used to predict an economy’s performance on the trade cycle. Indicators can be leading (in advance), coincident (at the same time) or lagging (following)."
HASS,Economics and Business,Year 7 to Year 10,economic objectives,"Goals that relate to performance of the economy (e.g. economic growth, full employment, price stability)."
HASS,Economics and Business,Year 7 to Year 10,economic performance,"A measure of achievement of economic objectives using a variety of economic indicators (e.g. gross domestic product, employment, building approvals, retail sales, inflation (Consumer Price Index))."
HASS,Economics and Business,Year 7 to Year 10,economy,"A process or system which coordinates resource allocation for the production, distribution and consumption of goods and services within and across countries."
HASS,Economics and Business,Year 7 to Year 10,efficiency,"Allocation of scarce resources to optimise production and distribution of goods and services at the lowest cost, eliminate or minimise wastage, and maximise profit or income."
HASS,Economics and Business,Year 7 to Year 10,entrepreneur,"An innovative person who sets up a business to exploit market opportunities, and plans for and manages financial objectives, risks and rewards with the aim of being successful and profitable."
HASS,Economics and Business,Year 7 to Year 10,evaluative language,"Positive or negative language that judges the worth of something. It includes language to express feelings and opinions; make judgements; and assess quality of objects, ideas and features of texts."
HASS,Economics and Business,Year 7 to Year 10,export,Selling goods or services to another country for the purposes of trade.
HASS,Economics and Business,Year 7 to Year 10,financial landscape,The financial industry and the forces that shape and affect it; it is a complex scene that constantly evolves in response to economic activity and indicators (e.g. consumer and business confidence).
HASS,Economics and Business,Year 7 to Year 10,financial objectives,Individual and business goals that relate to consumer and financial decisions (e.g. increasing savings or profit).
