SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
HASS,Geography,Year 7,"By the end of Year 7, students describe how the characteristics of places are perceived and valued differently by people.",Knowledge and understanding,"characteristics,describe,differently,people,perceived,places,students,valued,year","AC9HG7K03,AC9HG7K05",High
HASS,Geography,Year 7,They describe the importance of environments to people.,Knowledge and understanding,"describe,environments,importance,people",AC9HG7K05,High
HASS,Geography,Year 7,They describe the features of a distribution.,Knowledge and understanding,"describe,distribution,features","AC9HG7K02,AC9HG7K06",High
HASS,Geography,Year 7,"They explain the interconnections between people and places and environments, and describe how these interconnections change places or environments.",Knowledge and understanding,"between,change,describe,environments,explain,interconnections,people,places","AC9HG7K01,AC9HG7K07",High
HASS,Geography,Year 7,Students describe a response or strategy to address a geographical phenomenon or challenge.,Knowledge and understanding,"about,address,challenge,describe,develop,geographical","AC9HG7K02,AC9HG7K04,AC9HG7K08",High
HASS,Geography,Year 7,Students develop questions about a geographical phenomenon or challenge.,Knowledge and understanding,"phenomenon,questions,response,strategy,students",AC9HG7S01,High
HASS,Geography,Year 7,"They collect, organise and represent relevant data and information, using primary research methods and secondary research materials.",Skills,"collect,data,information,materials,methods,organise,primary,relevant,represent,research,secondary,using",AC9HG7S02,High
HASS,Geography,Year 7,"They identify similarities and differences, and describe patterns in data and information.",Skills,"data,describe,differences,identify,information,patterns,similarities",AC9HG7S03,High
HASS,Geography,Year 7,"They draw conclusions about the impact of the geographical phenomenon or challenge on people, places and environments.",Skills,"about,challenge,conclusions,draw,environments,geographical,impact,people,phenomenon,places",AC9HG7S04,High
HASS,Geography,Year 7,They develop a strategy for action.,Skills,"action,develop,strategy",AC9HG7S05,High
HASS,Geography,Year 7,"Students use geographical knowledge, concepts, terms and relevant findings from sources to create descriptions, explanations and responses.",Skills,"concepts,create,descriptions,explanations,findings,geographical,knowledge,relevant,responses,sources,students,terms",AC9HG7S06,High
HASS,Geography,Year 8,"By the end of Year 8, students explain how the interactions of people and environmental processes impact on the characteristics of places.",Knowledge and understanding,"characteristics,environmental,explain,impact,interactions,people,places,processes,students,year","AC9HG8K01,AC9HG8K05,AC9HG8K06",High
HASS,Geography,Year 8,They explain how the characteristics of places are perceived and valued differently by people.,Knowledge and understanding,"characteristics,differently,explain,people,perceived,places,valued",AC9HG8K03,High
HASS,Geography,Year 8,They describe the effects of human activity or hazards on environments.,Knowledge and understanding,"activity,describe,effects,environments,hazards,human","AC9HG8K05,AC9HG8K06",High
HASS,Geography,Year 8,They explain the features of a distribution and identify implications.,Knowledge and understanding,"distribution,explain,features,identify,implications","AC9HG8K02,AC9HG8K07",High
HASS,Geography,Year 8,They explain the interconnections between people and places and environments.,Knowledge and understanding,"between,environments,explain,interconnections,people,places","AC9HG8K04,AC9HG8K08",High
HASS,Geography,Year 8,They explain how these interconnections change places or environments.,Knowledge and understanding,"change,environments,explain,interconnections,places","AC9HG8K06,AC9HG8K08",High
HASS,Geography,Year 8,"Students explain responses or strategies to address a geographical phenomenon or challenge, referring to environmental, economic or social factors.",Skills,"geographical,phenomenon,questions,referring,relevant,responses,social,strategies,students","AC9HG8K04,AC9HG8K09",High
HASS,Geography,Year 8,Students develop relevant questions about a geographical phenomenon or challenge.,Skills,"about,address,challenge,develop,economic,environmental,explain,factors,geographical",AC9HG8S01,High
HASS,Geography,Year 8,"They collect, organise and represent relevant and reliable data and information, using primary research methods and secondary research materials.",Skills,"collect,data,information,materials,methods,organise,primary,relevant,reliable,represent,research,secondary,using",AC9HG8S02,High
HASS,Geography,Year 8,They interpret and analyse data and information to explain patterns and trends and infer relationships.,Skills,"analyse,data,explain,infer,information,interpret,patterns,relationships,trends",AC9HG8S03,High
HASS,Geography,Year 8,They draw reasoned conclusions about the impact of the geographical phenomenon or challenge.,Skills,"about,challenge,conclusions,draw,geographical,impact,phenomenon,reasoned",AC9HG8S04,High
HASS,Geography,Year 8,They decide on appropriate strategies for action and explain potential impacts.,Skills,"action,appropriate,decide,explain,impacts,potential,strategies",AC9HG8S05,High
HASS,Geography,Year 8,"Students use geographical knowledge, methods, concepts, terms and reference findings from sources to create descriptions, explanations and responses.",Skills,"concepts,create,descriptions,explanations,findings,geographical,knowledge,methods,reference,responses,sources,students,terms",AC9HG8S06,High
