SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K01,Classification of environmental resources and the way that water connects and changes places as it moves through environments,,"Classifying resources into renewable, non-renewable and continuous resources, and identifying examples of each type"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K01,Classification of environmental resources and the way that water connects and changes places as it moves through environments,,"Explaining how the movement of water, such as groundwater; soil moisture (green water); surface water in dams, rivers and lakes (blue water); through the environment connects places and how water is a potential resource when it exists as salt water, ice or water vapour"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K01,Classification of environmental resources and the way that water connects and changes places as it moves through environments,,"Explaining the environmental, economic or social effects of water as it connects places; for example, the environmental effects of water diversion in the Snowy Mountains, the economic effects of irrigation in the Ord River or the social effects of the Mutitjulu Waterhole connecting Australian First Nations Peoples in Central Australia"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K01,Classification of environmental resources and the way that water connects and changes places as it moves through environments,,"Explaining how moving water changes places; for example, moving water causes soil and rock erosion or cuts valleys into mountains"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K02,"The location and distribution of water resources in Australia, their implications, and strategies to manage the sustainability of water",,"Representing the location of Australia’s water resources, such as surface water and groundwater"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K02,"The location and distribution of water resources in Australia, their implications, and strategies to manage the sustainability of water",,"Describing the distribution of Australia’s water resources and its implications for people; for example, limited access to water for people in rural and remote places and its implications"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K02,"The location and distribution of water resources in Australia, their implications, and strategies to manage the sustainability of water",,"Identifying the causes of variability in water resources or water scarcity; for example, an absolute shortage of water (physical cause), inadequate development of water resources (economic cause), or the ways water is used (such as farming, industry, drinking, washing or watering)"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K02,"The location and distribution of water resources in Australia, their implications, and strategies to manage the sustainability of water",,"Explaining the factors that contribute to variability in water resources or water scarcity; for example, location, climate, topography, seasonality or evaporation"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K02,"The location and distribution of water resources in Australia, their implications, and strategies to manage the sustainability of water",,"Examining why water is a difficult resource for communities to manage and sustain; for example, because of its shared and competing uses, and variability of supply over time"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K02,"The location and distribution of water resources in Australia, their implications, and strategies to manage the sustainability of water",,"Examining how a strategy may manage the sustainability of water resources; for example, recycling (“grey water”), stormwater harvesting and re-use, desalination, inter-regional transfer of water and trade in virtual water, and reducing water consumption"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K03,"The economic, cultural, spiritual and aesthetic value of water for people, including First Nations Australians",,"Examining and comparing places in Australia and a country in Asia that have economies and communities based on irrigation; for example, rice production in the Murrumbidgee Irrigation Area in New South Wales and the Mekong Delta in Vietnam"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K03,"The economic, cultural, spiritual and aesthetic value of water for people, including First Nations Australians",,"Discussing the multilayered meanings (material, cultural and spiritual wellbeing) associated with rivers, waterways, waterholes, human-made wells, seas, lakes, soaks and springs for First Nations Australians"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K03,"The economic, cultural, spiritual and aesthetic value of water for people, including First Nations Australians",,"Examining bays, rivers, waterfalls or lakes in Australia and in countries of Asia that have been listed as either World Heritage sites or national parks for their aesthetic and cultural value"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K03,"The economic, cultural, spiritual and aesthetic value of water for people, including First Nations Australians",,Investigating the spiritual significance of water in an Asian culture
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K04,"The causes and impacts of an atmospheric or hydrological hazard, and responses from communities and governments",,"Explaining the environmental processes that cause a hazard, such as drought, storms, tropical cyclones or floods"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K04,"The causes and impacts of an atmospheric or hydrological hazard, and responses from communities and governments",,"Explaining how the impacts of a hazard on people and the environment are influenced by environmental, social or economic factors"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K04,"The causes and impacts of an atmospheric or hydrological hazard, and responses from communities and governments",,"Identifying examples of responses to a hazard from the community and the government at the local scale, and identifying practices that increased effectiveness"
HASS,Geography,Year 7,Knowledge and understanding,Water in the world,AC9HG7K04,"The causes and impacts of an atmospheric or hydrological hazard, and responses from communities and governments",,"Reflecting on the principles of prevention, mitigation and preparedness in responses from the community and the government to explain how the impact of a hazard can be reduced"
