SubjectArea,Subject,Band,Term,Definition
HASS,HASS,Foundation to Year 6,annotated timeline,"Events represented chronologically on a timeline including dates and a written, visual or multimodal summary of each event."
HASS,HASS,Foundation to Year 6,Anzac Day,"An annual day of remembrance in Australia and New Zealand for Australian and New Zealand Army Corps who fought at Gallipoli, Turkey, in the First World War, or served in conflicts and peacekeeping since then."
HASS,HASS,Foundation to Year 6,Apology to the Stolen Generations (the),"A formal apology given to members of the Stolen Generations in 2008 by the Prime Minister on behalf of the Australian Parliament, and between 1997 and 1999 by all state and territory parliaments."
HASS,HASS,Foundation to Year 6,argument,A claim justified with reference to evidence.
HASS,HASS,Foundation to Year 6,artefact,"An object made or changed by humans for their use (such as a stone tool, metal sword, letter or plastic toy) that gives insight into how people lived or is of historical interest."
HASS,HASS,Foundation to Year 6,Asia / Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
HASS,HASS,Foundation to Year 6,Australia Day,An annual public holiday held on 26 January to recognise the arrival of the British in Sydney Cove in 1788.
HASS,HASS,Foundation to Year 6,Australian democracy,"System of government based on the Australian Constitution, a constitutional monarch, liberal democratic values, representation and features of Westminster and Washington parliamentary processes."
HASS,HASS,Foundation to Year 6,Australian Electoral Commission,"The Commonwealth agency providing Australians with an independent electoral service, including education about the electoral process."
HASS,HASS,Foundation to Year 6,belief systems,"A set of principles or tenets which together form the basis of a philosophy, moral code or religion"
HASS,HASS,Foundation to Year 6,British Empire,"Development involving British control of other countries or territories, growing from the 16th century to cover a quarter of the world's land in 1920, with most countries ruling themselves now."
HASS,HASS,Foundation to Year 6,budget,A financial planning tool that gives an overview of income and expenses to plan for and achieve financial objectives.
HASS,HASS,Foundation to Year 6,business,"An organisation or enterprise engaged in producing or buying and selling goods and services, usually for profit."
HASS,HASS,Foundation to Year 6,Cabinet,"Executive body of government, comprising senior ministers and headed by the Prime Minister, Premier or Chief Minister. It makes decisions on policy issues and directs the legislative programme."
HASS,HASS,Foundation to Year 6,capital,"Physical resources such as equipment, machinery and buildings; and human resources such as intellectual property and knowledge used to produce goods and services (e.g. a farmer uses a harvester)."
HASS,HASS,Foundation to Year 6,cartographic conventions,"Practises guiding the making of maps (e.g. inclusion of title, border, legend, scale and north point)."
HASS,HASS,Foundation to Year 6,characteristics of a place,"Tangible or intangible environmental and human characteristics that can be described to identify, classify or give meaning to the uniqueness of a place (e.g. location, topography, scenic quality)."
HASS,HASS,Foundation to Year 6,citizen,An individual who has formal membership of a political community (e.g. a nation) and who is given privileges (e.g. voting in elections or a referendum) and has responsibilities (e.g. jury duty).
HASS,HASS,Foundation to Year 6,citizenship,"The legal status of full membership of a nation acquired by birth or application with civil (rights, responsibilities), political (participation, representation) and social (contribution) commitments."
HASS,HASS,Foundation to Year 6,civic goal,"A shared goal that members of a community have and work together on voluntarily at a local, regional or global scale."
HASS,HASS,Foundation to Year 6,civic life,"Participation in civic, political, legal or community affairs (e.g. investigating an issue, voting in an election, expressing an opinion or volunteering for an environmental group)."
HASS,HASS,Foundation to Year 6,civics,"Rights and responsibilities of citizens, and the organisation and working of a society's political and legal systems (e.g. political and social heritage, shared values or democratic processes)."
HASS,HASS,Foundation to Year 6,climate,"The long-term average (minimum 30 years) of weather conditions at a place, classified into distinctive types (e.g. tropical, dry, temperate, polar, Mediterranean)."
HASS,HASS,Foundation to Year 6,colonisation,"The act of setting up a colony away from one’s place of origin. With humans, it can be seen negatively because it tends to involve an invading culture taking control over an indigenous population."
HASS,HASS,Foundation to Year 6,colony / colonies,"A country, territory or area settled or controlled by a foreign government through its political, legal and economic systems."
HASS,HASS,Foundation to Year 6,constitution,Fundamental principles that govern an organisation or a nation (e.g. the Commonwealth of Australia Constitution Act (1900) sets out the basic rules or specific powers for the government of Australia).
HASS,HASS,Foundation to Year 6,constitutional monarchy,A form of government where a monarch is head of state and whose role (e.g. formal or ceremonial) and powers (e.g. issuing a writ for an election) are defined in the nation's constitution.
HASS,HASS,Foundation to Year 6,consumer,A person or group that purchases or uses goods and services produced in an economy.
HASS,HASS,Foundation to Year 6,consumer and financial choices,"Ability to make informed decisions about strategies to manage finances in consumer and financial contexts considering consequences (e.g. on self, others, sense of security or future options)."
HASS,HASS,Foundation to Year 6,consumer and financial decisions,"Ability to make informed choices about strategies to manage finances in consumer and financial contexts considering consequences (e.g. on self, others, sense of security or future options)."
HASS,HASS,Foundation to Year 6,coordinates,A set of values that define the position of a point or an object in a space. The coordinate system being used will govern the nature of the coordinates.
HASS,HASS,Foundation to Year 6,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality including lands, waters and sky."
HASS,HASS,Foundation to Year 6,court,"A key institution or forum within Australia's legal system where legally enforceable judgements are made in civil and criminal cases, presided over by judge/s or a magistrate."
HASS,HASS,Foundation to Year 6,cultural connections,"Interrelationships between people and their community locally and globally; influences how people live, understand the impact they have on each other, and make sense of their identity and belonging."
HASS,HASS,Foundation to Year 6,custodial responsibility,"The responsibility and obligation for caring for Country/Place and management of land, sea, sky and waterways based on the values and beliefs of First Nations Australian communities."
HASS,HASS,Foundation to Year 6,data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
HASS,HASS,Foundation to Year 6,democracies (Western),"Forms of government in nations such as Australia, New Zealand and the United Kingdom where elected representatives make decisions on behalf of a nation's people and are guided by its constitution."
HASS,HASS,Foundation to Year 6,democracy (representative),A system of government in which electors select representatives for their community or region to represent them in parliament to make decisions or laws on their behalf.
HASS,HASS,Foundation to Year 6,democratic system of government,"A system of government characterised by power being held by the people either directly or indirectly, representatives elected to parliament, protection of human rights and recognition of freedoms."
HASS,HASS,Foundation to Year 6,digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
HASS,HASS,Foundation to Year 6,diversity,"The mix of people in a group or society; i.e. differences in factors such as age, abilities, culture and religion and/or in how people identify in relation to factors such as gender and sexuality."
HASS,HASS,Foundation to Year 6,economy,"A process or system which coordinates resource allocation for the production, distribution and consumption of goods and services within and across countries."
HASS,HASS,Foundation to Year 6,ecosystem,"A functioning unit of the environment defined by a complex set of relationships among its living organisms and its non-living components, where all organisms and components are interdependent."
HASS,HASS,Foundation to Year 6,election,An agreed voting process for citizens to express a preference for a candidate to represent their community or region. In Australia elections are administered by the Australian Electoral Commission.
HASS,HASS,Foundation to Year 6,elector,A citizen who has the right to participate in an election and chooses to do so.
HASS,HASS,Foundation to Year 6,empire,"A political or economic unit or collection of states ruled over or controlled by a single monarch, or emperor or empress, or a sovereign state, through political, legal and economic systems."
HASS,HASS,Foundation to Year 6,environmental resource,"A valuable or useful material; characterised as renewable (used repeatedly and not depleted), non-renewable (after use cannot be replenished) or continuous (availability unaffected by use)."
HASS,HASS,Foundation to Year 6,evaluative language,"Positive or negative language that judges the worth of something. It includes language to express feelings and opinions; make judgements; and assess quality of objects, ideas and features of texts."
HASS,HASS,Foundation to Year 6,Executive,"In the context of Australia, the Prime Minister and ministers, who report to parliament, oversee the implementation of policies and the administration of law which is undertaken by public servants."
HASS,HASS,Foundation to Year 6,features of a place,"Visible elements of a place; classified as natural (e.g. rivers), managed (e.g. parks, farms) and constructed or built (e.g. home, a city)."
HASS,HASS,Foundation to Year 6,federalism,A system of government in which powers and responsibilities are divided between a national government and separate governments in states or territories.
HASS,HASS,Foundation to Year 6,Federation (Australia's),The process by which 6 self-governing British colonies came together as states in a unified country known as the Commonwealth of Australia.
HASS,HASS,Foundation to Year 6,fieldwork,"Active and firsthand collection, examination, interpretation and analysis of materials in relation to geographical questions; often conducted from outside the classroom at a local scale."
HASS,HASS,Foundation to Year 6,geographical diversity,"The different range of environments and varied ways of living in a region, which can be influenced by a range of factors, e.g. climate, topography, beliefs, social structures, culture."
HASS,HASS,Foundation to Year 6,geographical division,"Divisions of Earth's surface based on human-defined scales (e.g. local, state or territory, national, regional, global)."
HASS,HASS,Foundation to Year 6,geospatial tools,"Tools (software or hardware) enabling collection, storage, mapping, representation and visualisation of the occurrence of geographical phenomena and challenges for analysis of causes and effects."
HASS,HASS,Foundation to Year 6,global citizen,"At a global level, an individual’s rights are defined by the Universal Declaration of Human Rights and responsibilities are interpreted differently (e.g. to care for the environment)."
HASS,HASS,Foundation to Year 6,good,A tangible item that satisfies needs and wants.
