SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K01,"Differences in family structures and roles today, and how these have changed or remained the same over time",,"Identifying the similarities and differences of a range of family structures; for example, nuclear families, one-child families, large families, single-parent families, extended families, blended or step families, adoptive and foster parent families, grandparent families, and kinship groups",
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K01,"Differences in family structures and roles today, and how these have changed or remained the same over time",,"Comparing families in the present with those from the recent past; for example, the size of families across the generations",
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K01,"Differences in family structures and roles today, and how these have changed or remained the same over time",,"Examining the roles of family members over time, such as roles of parents, children and extended family members, and comparing these with family roles today",
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K02,Continuity and change between aspects of their daily lives and their parents’ and grandparents’ childhoods,,"Comparing and commenting on photographs and oral histories to find out how daily lives have changed and remained the same over time; for example, talking to parents, grandparents and other elders",
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K02,Continuity and change between aspects of their daily lives and their parents’ and grandparents’ childhoods,,"Comparing what has changed in daily life over time; for example, homes, family traditions, diverse religious and cultural practices, leisure, school life, rules, and shopping/consumer habits",
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K02,Continuity and change between aspects of their daily lives and their parents’ and grandparents’ childhoods,,"Examining the traditional toys used by First Nations Australian children to play and learn; for example, Arrernte children learn to play string games so they can remember stories they have been told",
HASS,HASS,Year 1,Knowledge and understanding,History,AC9HS1K02,Continuity and change between aspects of their daily lives and their parents’ and grandparents’ childhoods,,"Identifying similarities and differences in classroom equipment, learning activities, school playgrounds and playground games through observations of provided artefacts and photos, and asking questions of adults from different generations",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K03,"The natural, managed and constructed features of local places, and their location",,"Identifying natural features (for example, hills, rivers, native vegetation and weather), managed features (for example, farms, parks and gardens) and constructed features (for example, roads and buildings) and locating them on a map",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K03,"The natural, managed and constructed features of local places, and their location",,Listening to and viewing Dreaming and Creation stories of First Nations Australians that identify the natural features of a place,
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K03,"The natural, managed and constructed features of local places, and their location",,"Listing the different types of buildings in their local area; for example, houses, shops, offices, factories, religious buildings and farm buildings",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K03,"The natural, managed and constructed features of local places, and their location",,"Describing the daily and seasonal weather of their place using simple terms such as “rainy”, “hot”, “cold”, “windy” and “cloudy”, and comparing it with the weather of other places that they know or are aware of; for example, “It was windy at the beach but not at my house”, “It is colder on the mountain”, “It is rainy in the winter”, “It is hot in the summer”",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K03,"The natural, managed and constructed features of local places, and their location",,"Explaining to classmates where places are and the directions to be followed when moving from one place to another, with the use of appropriate terms for direction and location; for example, terms such as “beside”, “forward”, “up”, “down”, “by”, “near”, “further”, “close to”, “before”, “after”, “here”, “there”, “at”",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K04,How places change and how they can be cared for by different groups including First Nations Australians,,"Observing changes in natural, managed and constructed features in their place; for example, recent erosion, revegetated areas, planted crops or new buildings",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K04,How places change and how they can be cared for by different groups including First Nations Australians,,"Identifying which resources they can recycle, reduce, re-use or none of these, and what local spaces and systems support these activities; for example, rules, signs, waste collection truck routes",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K04,How places change and how they can be cared for by different groups including First Nations Australians,,"Describing how local places change due to changing weather and seasons, and how we can care for places because of those changes; for example, not walking in muddy areas during wet weather, and watering plants in dry weather",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K04,How places change and how they can be cared for by different groups including First Nations Australians,,"Describing local features that people look after, finding out why and how these features need to be cared for, and who provides this care; for example, bushland, wetlands, a park or a heritage building",
HASS,HASS,Year 1,Knowledge and understanding,Geography,AC9HS1K04,How places change and how they can be cared for by different groups including First Nations Australians,,Investigating examples of how First Nations Australians manage and care for places,
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S01,"Develop questions about objects, people, places and events in the past and present",,"Posing questions with the stems “where”, “what”, “how” and “why” about families and places when provided with everyday objects and other sources, such as photos, found objects, maps and observation sketches",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S01,"Develop questions about objects, people, places and events in the past and present",,"Asking questions before, during and after listening to stories about people and places, and about their past and present",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S01,"Develop questions about objects, people, places and events in the past and present",,"Preparing questions for parents and members of older generations about how and where they lived in the past, and the places they value",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S02,"Collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",,"Exploring stories from the past and present about people and families (for example, fiction books, letters, diaries, songs) and about places (for example, myths, Dreaming and Creation stories, fiction, story maps, films)",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S02,"Collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",,"Gathering evidence of features in a local place; for example, using observations, online aerial photographs and sketches, and noting how they change, such as by comparing current observations of a place with photographs of it taken in the past, or recording observations of weather and seasons",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S02,"Collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",,"Developing a pictorial table to categorise information; for example, matching clothes with seasons, activities with the weather, features with places, places with the work done there",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S02,"Collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",,"Creating a peg timeline in which labelled, drawn or photographic representations of events or objects from different generations are pegged onto string in the correct sequence",
HASS,HASS,Year 1,Skills,Questioning and researching,AC9HS1S02,"Collect, sort and record information and data from observations and from provided sources, including unscaled timelines and labelled maps or models",,"Recording data about the locations of places and their features on maps and/or plans; for example, labelling the location of their home on a map of the local area, using a provided plan of their classroom and labelling its activity spaces",
