SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K01,"The transformation of the ancient world to the early modern world, from the decline of the Roman Empire in western Europe through Medieval, Renaissance or pre-modern Europe",,"Identifying the key events that have shaped the modern era, such as the decline of ancient empires and societies; the spread of Christianity in Europe; the spread of Islam through the Arab world, Mediterranean coast Egypt, North Africa and Persia; the development of the feudal system; the growth of towns and cities; trade; the migration of peoples and the emergence of new ideas",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K01,"The transformation of the ancient world to the early modern world, from the decline of the Roman Empire in western Europe through Medieval, Renaissance or pre-modern Europe",,"Describing the connection between key events or developments of this period to modern day life, such as religious holidays and political systems; for example, the expansion of the Ottoman Empire, the Magna Carta and the Westminster system",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K01,"The transformation of the ancient world to the early modern world, from the decline of the Roman Empire in western Europe through Medieval, Renaissance or pre-modern Europe",,"Investigating the emergence of ideas about the world such as those formed during the Renaissance, and the place of significant individuals and people that caused change",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K01,"The transformation of the ancient world to the early modern world, from the decline of the Roman Empire in western Europe through Medieval, Renaissance or pre-modern Europe",,Explaining the historical significance of selected key events such as the conversion to Christianity of the Emperor Constantine in 312 CE and the invasion of England by William the Conqueror in 1066,
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",Medieval Europe,"Describing the structure of feudal society, including the role and responsibilities of the king, nobles, church, knights, peasants, and women and men",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",Medieval Europe,"Explaining the continuities and changes in society in one of the following areas: crime and punishment; military and defence systems; towns, cities and commerce; farming and the impact on the environment such as tree clearance",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",Medieval Europe,"Explaining how medieval society changed and affected the environment; for example, harnessing water and wind power for milling, urban settlements and agriculture, management practices and legal structures of medieval forests such as the English royal forests",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",Medieval Europe,"Describing key changes of life in the late Medieval period such as the spread of literacy and the development of new ways to disseminate ideas through schools and universities, scientific academies, debating societies, literary salons, coffee houses, and the reach of printed books, journals and pamphlets",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",Medieval Europe,"Explaining reactions to the Black Death, such as the emergence of flagellants (those who would whip themselves to be free of sin) and the persecution of Jewish people",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",The Renaissance,Identifying the similarities and differences of daily life between the popolo minuto and popolo grasso,
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",The Renaissance,"Describing the way of life of people in Renaissance Italy; for example, the role of men in tending the fields or merchant shops, the role of women in the society and the influence of government in particular city-states such as Naples (a monarchy) and Florence (a republic)",
HASS,History,Year 8,Knowledge and understanding,Medieval Europe and the early modern world,AC9HH8K02,"The roles and relationships of different groups in Medieval, Renaissance or pre-modern Europe",The Renaissance,"Identifying the spread of Renaissance culture to England; for example, the rise of literature through Shakespeare",
