SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K01,"The causes and effects of European imperial expansion and the movement of peoples in the late 18th and early 19th centuries, and the different responses to colonisation and migration",,"Identifying and describing the causes of the movement of peoples in the modern world, including the push factors (for example, the Agricultural Revolution, the Industrial Revolution, the Irish Potato Famine, discrimination and persecution, forced migration such as slavery and convict settlements) and pull factors (for example, the promise of a better life, employment opportunities, space and personal freedom)",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K01,"The causes and effects of European imperial expansion and the movement of peoples in the late 18th and early 19th centuries, and the different responses to colonisation and migration",,"Identifying and describing the effects of the movements of peoples on colonised peoples, such as dispossession, disease, and destruction of traditional society and culture",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K01,"The causes and effects of European imperial expansion and the movement of peoples in the late 18th and early 19th centuries, and the different responses to colonisation and migration",,"Examining data on the movement of peoples in the period, such as the number of slaves transported and the nations/places involved, including Portugal, Britain, France, Spain, North America, or the number of people forced to migrate from Ireland due to the potato famine, and the nations/places they emigrated to, such as the United States, Canada and Australia",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K02,"The key social, cultural, economic and political changes and their significance in the development of Australian society during the period",,"Examining the different contexts of the Australian colonies and explaining their influences; for example, analysing and evaluating the effects of physical isolation on the development of the Swan River Colony in Western Australia, the deliberate exclusion of convicts in the colonisation of South Australia, the discovery of gold on the development of Victoria, and the expansion across the Blue Mountains in New South Wales",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K02,"The key social, cultural, economic and political changes and their significance in the development of Australian society during the period",,"Examining the development of Australia’s economy from the early days of settlement up to the First World War, in particular agricultural and pastoral industries, and the key role played by the “squattocracy” and figures such as Elizabeth Macarthur",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K03,"The causes and effects of European contact and extension of settlement, including their impact on the First Nations Peoples of Australia",,Investigating Cook’s ”secret” instructions from the Lords of the Admiralty (30 July 1768) that requested him to “with the Consent of the Natives to take possession of the Convenient Situations in the Country in the Name of the King of Great Britain” with relation to understanding of terra nullius,
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K03,"The causes and effects of European contact and extension of settlement, including their impact on the First Nations Peoples of Australia",,"Examining the effects of colonisation, such as frontier conflict and massacres of First Nations Australians, the spread of European diseases and the destruction of cultural lifestyles",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K03,"The causes and effects of European contact and extension of settlement, including their impact on the First Nations Peoples of Australia",,"Explaining the contribution of various industries such as wheat, wool, beef, mining, cotton, fishing, pearling and whaling to Australia’s economic development and prosperity over the 19th century, as well as the associated impacts on the ecosystems; for example, the loss of native plants, compacting of soil, water run-off",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K03,"The causes and effects of European contact and extension of settlement, including their impact on the First Nations Peoples of Australia",,"Analysing the impact of colonisation by Europeans on First Nations Australians such as frontier warfare, massacres, removal from land, and relocation to “protectorates”, reserves and missions",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K03,"The causes and effects of European contact and extension of settlement, including their impact on the First Nations Peoples of Australia",,"Investigating how First Nations Australians responded to colonisation, including through making important contributions to the various industries that were established on their lands and waters, adopting Christianity and other settler religions",
HASS,History,Year 9,Knowledge and understanding,Making and transforming the Australian nation (1750–1914),AC9HH9K03,"The causes and effects of European contact and extension of settlement, including their impact on the First Nations Peoples of Australia",,"Investigating the forcible removal of children from First Nations Australian families in the late 19th century and 20th century (leading to the Stolen Generations), including the motivations for the removal of children, the practices and laws that were in place, and experiences of separation",
