SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Identities and change,AC9HPFP01,Investigate who they are and the people in their world,,"Making personal connections with stories that explore identity and belonging; discussing who they are, where they come from and people in their lives"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Identities and change,AC9HPFP01,Investigate who they are and the people in their world,,Exploring similarities and differences in family structures in First Nations Australian communities and other cultures
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Identities and change,AC9HPFP01,Investigate who they are and the people in their world,,"Exploring cultural practices from different cultures, including the cultures of Asia, that are important to individuals, families and communities"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Identities and change,AC9HPFP01,Investigate who they are and the people in their world,,"Identifying different families in their communities; for example, 2-parent, single-parent, extended and non-traditional families"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Identities and change,AC9HPFP01,Investigate who they are and the people in their world,,Identifying ways they use their strengths in physical activities to help themselves and others to be successful
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Identities and change,AC9HPFP01,Investigate who they are and the people in their world,,Recognising that they have a right to belong and contribute to a variety of groups
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP02,Practise personal and social skills to interact respectfully with others,,Explaining their reasons and actions in response to challenging situations in shared play experiences
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP02,Practise personal and social skills to interact respectfully with others,,"Identifying characters in texts who have been excluded from a group, exploring why they have been excluded and discussing how other characters could have been more inclusive"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP02,Practise personal and social skills to interact respectfully with others,,"Cooperating, collaborating and negotiating with others when participating in physical activities to achieve agreed outcomes"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP02,Practise personal and social skills to interact respectfully with others,,Identifying behaviours that may be disrespectful and cause hurt or harm to others during play
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP03,Express and describe emotions they experience,,"Identifying and describing the emotions of people who are happy, sad, excited, tired, angry, scared or confused"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP03,Express and describe emotions they experience,,Learning and using appropriate language and actions to communicate their feelings in different situations
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP03,Express and describe emotions they experience,,Recalling and sharing emotional responses to different situations and representing these in a variety of ways
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP03,Express and describe emotions they experience,,"Reading and viewing stories about adventures, and talking about how characters feel and react when taking risks or responding to emergencies"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP03,Express and describe emotions they experience,,"Talking about connections between feelings, body reactions and body language"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP03,Express and describe emotions they experience,,"Expressing a variety of emotions, thoughts and views in a range of situations"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP04,"Explore how to seek, give or deny permission respectfully when sharing possessions or personal space",,Practising and refining how to ask for permission when sharing possessions or personal space
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP04,"Explore how to seek, give or deny permission respectfully when sharing possessions or personal space",,Negotiating roles and demonstrating awareness of rights (such as body autonomy/integrity) and respect for different perspectives through imaginative and shared play experiences
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Interacting with others,AC9HPFP04,"Explore how to seek, give or deny permission respectfully when sharing possessions or personal space",,Exploring the importance of asking for permission and giving permission when sharing or negotiating in play and respecting someone’s right to say no
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Making healthy and safe choices,AC9HPFP05,"Demonstrate protective behaviours, name body parts and rehearse help-seeking strategies that help keep them safe",,Exploring protective behaviours and help-seeking strategies they can use when they or others feel unsafe or uncomfortable
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Making healthy and safe choices,AC9HPFP05,"Demonstrate protective behaviours, name body parts and rehearse help-seeking strategies that help keep them safe",,Exploring and demonstrating assertive strategies to seek help when they or others feel unsafe
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Making healthy and safe choices,AC9HPFP05,"Demonstrate protective behaviours, name body parts and rehearse help-seeking strategies that help keep them safe",,Recognising online spaces and digital tools that are safe for them to use and recognising the importance of seeking help from a trusted adult if they feel unsafe while online
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Making healthy and safe choices,AC9HPFP05,"Demonstrate protective behaviours, name body parts and rehearse help-seeking strategies that help keep them safe",,"Identifying a support network of adults they can trust to help them if they feel unsafe, uncomfortable or scared"
Health and Physical Education,Health and Physical Education,Foundation,"Personal, social and community health",Making healthy and safe choices,AC9HPFP05,"Demonstrate protective behaviours, name body parts and rehearse help-seeking strategies that help keep them safe",,Recognising that all people have the right to bodily autonomy: the right to make choices about what others ask them to do with and to their bodies
