SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P01,Analyse factors that shape identities and evaluate how individuals influence the identities of others,,"Evaluating how societal norms, stereotypes and expectations influence how young people view themselves and how they deal with these influences"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P01,Analyse factors that shape identities and evaluate how individuals influence the identities of others,,Analysing how the use of personal totems in First Nations Australian cultures can be based on personal qualities and contribute to identities
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P01,Analyse factors that shape identities and evaluate how individuals influence the identities of others,,"Investigating how cultural beliefs and practices surrounding transitions to adulthood may differ between cultures, including the cultures of Asia"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P01,Analyse factors that shape identities and evaluate how individuals influence the identities of others,,"Analysing the role of family, friends and community in supporting an individual’s identities, and proposing strategies to enhance their own and others’ wellbeing"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P01,Analyse factors that shape identities and evaluate how individuals influence the identities of others,,"Examining how societal norms, stereotypes and expectations influence perceptions of movement competence"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Practising skills to deal with challenging or unsafe situations, such as refusal skills, communicating choices, expressing opinions and initiating contingency plans"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Assessing behavioural expectations in different relationships and social situations, and examining how these expectations can influence decisions and actions"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,Analysing the changing roles and responsibilities for First Nations Australians as their social standing changes within their communities
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,Discussing the impact of border crossing on the development of identities for First Nations Australians
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P02,"Refine, evaluate and adapt strategies for managing changes and transitions",,"Rehearsing strategies to respectfully assert their stance on a situation, dilemma or decision by expressing thoughts, opinions and beliefs that acknowledge the feelings of others"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Investigate and challenge attitudes that lead to people enacting, excusing or condoning gender-based violence"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Analysing ways that attitudes towards gender equality and power can affect expectations and behaviour, and lead to practices of sexual coercion, harassment, violence and submission"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,Evaluating how gender equality can empower people to develop equal and respectful relationships
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Identities and change,AC9HP10P03,Investigate how gender equality and challenging assumptions about gender can prevent violence and abuse in relationships,,"Exploring scenarios in texts that demonstrate how gender inequality can arise from intergenerational patterns of inequity and unequal power in relationships, and proposing strategies for challenging inequality in their communities"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating the characteristics of positive, respectful relationships and the rights and ethical responsibilities of individuals in relationships"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,Investigating how the balance of power influences the nature of relationships and proposing actions that can be taken when a relationship is not respectful
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating how demonstrating support for causes that promote truth-telling can build cultural awareness, empathy and respectful relationships"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Identifying the ways in which historical patterns of inequity, violence and discrimination can have lasting intergenerational effects on wellbeing, and considering strategies to build the cultural awareness, empathy, compassion and respect that contribute to reconciliation"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P04,"Evaluate the influence of respect, empathy, power and coercion on establishing and maintaining respectful relationships",,"Investigating how bullying, racism and gender-based violence can take different forms, including verbal, physical, emotional, sexual and economic forms, and can occur in both face-to-face and online environments"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Analysing the implications of attitudes and behaviours such as prejudice, marginalisation, homophobia, racism, discrimination, violence and harassment on individuals and communities, and proposing countermeasures to prevent these behaviours"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Investigating community health resources to evaluate how accessible they are for marginalised individuals and groups, and proposing changes to improve inclusiveness and accessibility"
Health and Physical Education,Health and Physical Education,Years 9–10,"Personal, social and community health",Interacting with others,AC9HP10P05,"Propose strategies and actions individuals and groups can implement to challenge biases, stereotypes, prejudices and discrimination, and promote inclusion in their communities",,"Critiquing media representations of different cultural and racial groups and analysing whether the representations are respectful, realistic and inclusive"
