SubjectArea,Subject,Band,Term,Definition
Science,Science,Foundation to Year 10,Abiotic,A non-living condition or thing in an ecosystem.
Science,Science,Foundation to Year 10,Accuracy,The correctness of a single measurement; how close it is to the true or accepted value.
Science,Science,Foundation to Year 10,Argument,A claim justified with reference to evidence; scientific arguments are contestable.
Science,Science,Foundation to Year 10,Asia-Pacific,"A region including Australia, countries across Asia and Pacific Island nations."
Science,Science,Foundation to Year 10,Assumption,Something taken for granted to be true.
Science,Science,Foundation to Year 10,Bias,"Presentation of one perspective, favouring one side in an argument or discussion, often accompanied by a refusal to consider possible merits of alternative perspectives."
Science,Science,Foundation to Year 10,Biotic,The living components of ecosystems.
Science,Science,Foundation to Year 10,Change of state,"The change of a substance from one physical state of matter (solid, liquid, gas) to another."
Science,Science,Foundation to Year 10,Characteristic,"A distinguishing aspect (including features and behaviours) of an object, material, living thing or event."
Science,Science,Foundation to Year 10,Claim,An assertion that something is true.
Science,Science,Foundation to Year 10,Conclusion,A judgement based on evidence.
Science,Science,Foundation to Year 10,Condensation,The process where water vapour becomes liquid water.
Science,Science,Foundation to Year 10,Conductors,"Materials through which heat, sound or electrical energy are freely transferred."
Science,Science,Foundation to Year 10,Consumers,Living things that cannot make their own food and have to feed on other living things to survive.
Science,Science,Foundation to Year 10,Continuous data,Quantitative data with a potentially infinite number of possible values along a continuum.
Science,Science,Foundation to Year 10,Controlled variable,A variable that is kept constant (or changed in constant ways) during an investigation.
Science,Science,Foundation to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
Science,Science,Foundation to Year 10,Credibility,The believability and reliability of information.
Science,Science,Foundation to Year 10,Dark energy,"A form of energy that exerts a negative, repulsive force."
Science,Science,Foundation to Year 10,Dark matter,"A form of matter that does not absorb, reflect or refract light."
Science,Science,Foundation to Year 10,Data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
Science,Science,Foundation to Year 10,Decomposers,Living things such as fungi and bacteria that break down dead organic material.
Science,Science,Foundation to Year 10,Decomposition reaction,A chemical reaction in which a complex reactant breaks down into 2 or more simpler products.
Science,Science,Foundation to Year 10,Dependent variable,A variable that changes in response to changes to the independent variable in an investigation.
Science,Science,Foundation to Year 10,Deposition,"The process in which sediments, soil and rocks are laid down so that new landforms or land masses are formed or modified."
Science,Science,Foundation to Year 10,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
Science,Science,Foundation to Year 10,Discrete data,Quantitative data consisting of a number of separate values where intermediate values are not permissible.
Science,Science,Foundation to Year 10,Displacement (reaction),"A chemical reaction in which one atom (or group of atoms) is replaced by another atom (or group of atoms) in a compound, or a reaction in which 2 compounds react to form 2 new components."
Science,Science,Foundation to Year 10,Earth system,"The entire Earth system; a combination of interrelated, interdependent and interacting systems (the biosphere, geosphere, hydrosphere and atmosphere)."
Science,Science,Foundation to Year 10,Earth’s systems,"The interrelated, interdependent systems within the Earth system; the geosphere, hydrosphere, atmosphere and biosphere."
