SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
Science,Science,Foundation,AC9SFASC01,By the end of Foundation students group plants and animals based on external features.,Science understanding,"animals, based, external, features, foundation, group, plants",AC9SFU01,High
Science,Science,Foundation,AC9SFASC02,They identify factors that influence the movement of objects.,Science understanding,"factors, identify, influence, movement, objects",AC9SFU02,High
Science,Science,Foundation,AC9SFASC03,They describe the observable properties of the materials that make up objects.,Science understanding,"describe, make, materials, objects, observable, properties",AC9SFU03,High
Science,Science,Foundation,AC9SFASC04,They identify examples of people using observation and questioning to learn about the natural world.,Science as a human endeavour,"about, examples, identify, learn, natural, observation, people, questioning, world",AC9SFH01,High
Science,Science,Foundation,AC9SFASC05,Students pose questions and make predictions based on their experiences.,Science inquiry,"based, experiences, make, pose, predictions, questions",AC9SFI01,High
Science,Science,Foundation,AC9SFASC06,They engage in investigations and make observations safely.,Science inquiry,"engage, investigations, make, observations, safely",AC9SFI02,High
Science,Science,Foundation,AC9SFASC07,"With guidance, they represent observations and identify patterns.",Science inquiry,"guidance, identify, observations, patterns, represent",AC9SFI03,High
Science,Science,Foundation,AC9SFASC08,"With guidance, they compare their observations with their predictions.",Science inquiry skills,"compare, guidance, observations, predictions",AC9SFI04,High
Science,Science,Foundation,AC9SFASC09,"They share questions, predictions, observations and ideas about their experiences with others.",Science inquiry skills,"about, experiences, ideas, observations, others, predictions, questions, share",AC9SFI05,High
Science,Science,Year 1,AC9S1ASC01,By the end of Year 1 students identify how living things meet their needs in the places they live.,Science understanding,"identify, live, living, meet, needs, places, things, year",AC9S1U01,High
Science,Science,Year 1,AC9S1ASC02,They identify daily and seasonal changes and describe ways these changes affect their everyday life.,Science understanding,"affect, changes, daily, describe, everyday, identify, life, seasonal, ways",AC9S1U02,High
Science,Science,Year 1,AC9S1ASC03,They describe how different pushes and pulls change the motion and shape of objects.,Science understanding,"change, describe, different, motion, objects, pulls, pushes, shape",AC9S1U03,High
Science,Science,Year 1,AC9S1ASC04,They describe situations where they use science in their daily lives and identify examples of people making scientific predictions.,Science as a human endeavour,"daily, describe, examples, identify, lives, making, people, predictions, science, scientific, situations, where",AC9S1H01,High
