SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Science,Science,Foundation,Science understanding,Biological sciences,AC9SFU01,"Observe external features of plants and animals, and describe ways they can be grouped based on these features",,"Observing fruits and vegetables and identifying them as parts of plants, such as roots, flowers, fruits or leaves"
Science,Science,Foundation,Science understanding,Biological sciences,AC9SFU01,"Observe external features of plants and animals, and describe ways they can be grouped based on these features",,"Recognising humans as animals, describing external features of humans and exploring similarities and differences compared with other animals"
Science,Science,Foundation,Science understanding,Biological sciences,AC9SFU01,"Observe external features of plants and animals, and describe ways they can be grouped based on these features",,"Using magnifying glasses or digital cameras to observe and identify external features of plants, including seeds, flowers, fruits and roots, or of animals, such as eyes, body covering, legs and wings"
Science,Science,Foundation,Science understanding,Biological sciences,AC9SFU01,"Observe external features of plants and animals, and describe ways they can be grouped based on these features",,Sorting collections of model animals and explaining different grouping strategies
Science,Science,Foundation,Science understanding,Biological sciences,AC9SFU01,"Observe external features of plants and animals, and describe ways they can be grouped based on these features",,Recognising first nations australians' use of observable features to group living things
Science,Science,Foundation,Science understanding,Biological sciences,AC9SFU01,"Observe external features of plants and animals, and describe ways they can be grouped based on these features",,Exploring how first nations australians' observations of external features of living things are replicated in traditional dance
Science,Science,Foundation,Science understanding,Physical sciences,AC9SFU02,"Describe how objects move, and how factors, including their size, shape or material, influence their movement",,Observing how toys move and grouping them based on their movement
Science,Science,Foundation,Science understanding,Physical sciences,AC9SFU02,"Describe how objects move, and how factors, including their size, shape or material, influence their movement",,"Observing and describing ways different and unusually shaped objects, such as blocks, tubes or eggs, move when rolled down a slope"
Science,Science,Foundation,Science understanding,Physical sciences,AC9SFU02,"Describe how objects move, and how factors, including their size, shape or material, influence their movement",,"Comparing the way different-sized, similar-shaped objects, such as tennis balls, golf balls, marbles or basketballs, roll and bounce"
Science,Science,Foundation,Science understanding,Physical sciences,AC9SFU02,"Describe how objects move, and how factors, including their size, shape or material, influence their movement",,"Exploring how the material a ball is made from affects the way it moves, such as plastic, foam, cloth or rubber balls on a surface"
Science,Science,Foundation,Science understanding,Physical sciences,AC9SFU02,"Describe how objects move, and how factors, including their size, shape or material, influence their movement",,Exploring how the size and shape of traditional instructive toys used by first nations australians influence their movement
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,Observing and manipulating objects to identify the materials they are made of and recognising that some objects are made of more than one type of material
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,"Recognising that tools, such as magnifying glasses, enable more-detailed observations"
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,"Sorting and grouping materials based on observed properties, such as colour, hardness, texture and flexibility"
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,"Creating a display of different materials, naming each material and exploring language to describe properties of materials"
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,Using a digital camera to collect images of objects on a materials scavenger hunt
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,"Suggesting why different parts of everyday objects, such as saucepans and clothing, are made from different materials"
Science,Science,Foundation,Science understanding,Chemical sciences,AC9SFU03,"Recognise that objects can be composed of different materials, and describe the observable properties of those materials",,Investigating the ways in which first nations australians make utensils for different purposes by combining different materials
Science,Science,Foundation,Science as a human endeavour,Use and influence of science,AC9SFH01,Explore the ways people make and use observations and questions to learn about the natural world,,Using their senses to make observations and exploring how scientists use their senses as well as equipment to make observations
Science,Science,Foundation,Science as a human endeavour,Use and influence of science,AC9SFH01,Explore the ways people make and use observations and questions to learn about the natural world,,"Viewing examples of observations, such as rock paintings, bark drawings, age-appropriate written reports, labelled drawings or photographs, to explore ways they can make and record observations"
Science,Science,Foundation,Science as a human endeavour,Use and influence of science,AC9SFH01,Explore the ways people make and use observations and questions to learn about the natural world,,"Exploring how first nations australians gain knowledge about the land and its vital resources, such as water and food, through observation"
Science,Science,Foundation,Science as a human endeavour,Use and influence of science,AC9SFH01,Explore the ways people make and use observations and questions to learn about the natural world,,"Interacting with stories or documentaries about scientists, such as dame jane goodall or sir joseph banks, and noticing the ways they make their observations, such as through drawings, collections, sound recordings and photography, and how they ask questions about what they think they will observe and find"
Science,Science,Foundation,Science as a human endeavour,Use and influence of science,AC9SFH01,Explore the ways people make and use observations and questions to learn about the natural world,,"Watching an age-appropriate documentary, noticing how people, including scientists, engineers, naturalists or citizen scientists, ask questions, and posing their own questions"
Science,Science,Foundation,Science inquiry,Questioning and predicting,AC9SFI01,Pose questions and make predictions based on experiences,,"Posing questions based on experiences, such as: 'what part of a plant is broccoli?' or 'how high do balls bounce?'"
Science,Science,Foundation,Science inquiry,Questioning and predicting,AC9SFI01,Pose questions and make predictions based on experiences,,Posing questions about everyday objects and the materials that they may be made of
Science,Science,Foundation,Science inquiry,Questioning and predicting,AC9SFI01,Pose questions and make predictions based on experiences,,"Making predictions before field work, such as which plants and animals they may observe in the school grounds"
Science,Science,Foundation,Science inquiry,Questioning and predicting,AC9SFI01,Pose questions and make predictions based on experiences,,"Making predictions about how an unusually shaped object, such as an egg or a hexagonal block, might move down a slope"
Science,Science,Foundation,Science inquiry,Planning and conducting,AC9SFI02,"Engage in investigations safely, and make observations using their senses",,"Discussing ways to conduct investigations safely, such as by being sun safe, not running with equipment, not tasting objects or materials and following teacher instructions"
Science,Science,Foundation,Science inquiry,Planning and conducting,AC9SFI02,"Engage in investigations safely, and make observations using their senses",,"Explaining safety considerations for using the senses of touch, smell, sight and hearing, and discussing why we do not use taste to make observations in science"
Science,Science,Foundation,Science inquiry,Planning and conducting,AC9SFI02,"Engage in investigations safely, and make observations using their senses",,"Using provided tools, such as binoculars, magnifying glasses, digital photography or video, to enhance their observations of plants and animals"
Science,Science,Foundation,Science inquiry,Planning and conducting,AC9SFI02,"Engage in investigations safely, and make observations using their senses",,"Recording observations using numbers, dots, drawings, voice recordings, digital photography or video"
Science,Science,Foundation,Science inquiry,"Processing, modelling and analysing",AC9SFI03,"Represent observations in provided templates, and identify patterns with guidance",,Using provided tables or graphic organisers to sort images or models of plants and animals into groups based on external features
Science,Science,Foundation,Science inquiry,"Processing, modelling and analysing",AC9SFI03,"Represent observations in provided templates, and identify patterns with guidance",,Collaborating to create a floor or wall display to link images or samples of materials to images of observed objects
Science,Science,Foundation,Science inquiry,"Processing, modelling and analysing",AC9SFI03,"Represent observations in provided templates, and identify patterns with guidance",,"Identifying common features of familiar groups of animals, such as fish, birds or reptiles"
Science,Science,Foundation,Science inquiry,"Processing, modelling and analysing",AC9SFI03,"Represent observations in provided templates, and identify patterns with guidance",,"Identifying patterns of movement of objects with guidance, such as that balls roll easily in a straight line when pushed or toy cars move in certain ways because of their wheels"
Science,Science,Foundation,Science inquiry,"Processing, modelling and analysing",AC9SFI03,"Represent observations in provided templates, and identify patterns with guidance",,"Identifying patterns in uses of everyday objects made of similar materials, such as wood, plastic, metal or glass"
Science,Science,Foundation,Science inquiry,Evaluating,AC9SFI04,"Compare observations with predictions, with guidance",,Revisiting their predictions and with guidance identifying whether their predictions matched their observations
Science,Science,Foundation,Science inquiry,Evaluating,AC9SFI04,"Compare observations with predictions, with guidance",,Comparing with guidance observations of plants or animals made during field work with their predictions
Science,Science,Foundation,Science inquiry,Evaluating,AC9SFI04,"Compare observations with predictions, with guidance",,Using a provided table to draw or dictate their prediction and their observation and identifying whether they are the same or different
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,"Sharing questions, making predictions and describing observations to others through discussions and circle groups"
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,"Recounting stories and posing questions about their own experiences learning about the natural world, such as when gardening or observing plants and animals at home or visits to conservation areas or centres"
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,Acknowledging and exploring first nations australians' ways of communicating information about anatomical features of plants and animals
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,Showing or describing how objects can be moved in different ways and responding to questions
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,Role-playing or showing how people use different equipment to make scientific observations
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,"Representing external features of animals and plants using a range of materials, such as blocks, modelling clay, craft materials or paper"
Science,Science,Foundation,Science inquiry,Communicating,AC9SFI05,"Share questions, predictions, observations and ideas with others",,"Communicating questions, predictions and observations using posters, collages, digital displays, drawings or storyboards"
