SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,Observing and identifying the similarities and differences of particular features within and between groups of organisms
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,Creating and modifying a dichotomous key to classify organisms into groups and groups within groups
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,"Naming and classifying species using scientific conventions from the linnaean hierarchical classification system, such as kingdom, phylum, class, order, family, genus, species"
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,"Considering the reasons for classifying living things, such as identification and communication"
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,Examining how biological classification has changed over time through improvements in microscopy
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,Using provided dichotomous keys to identify organisms surveyed on a field trip
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U01,"Investigate the role of classification in ordering and organising the diversity of life on earth, and use and develop classification tools, including dichotomous keys",,Investigating first nations australians' systems of classifying living things and how these systems differ from those used by contemporary science
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U02,"Use models, including food webs, to represent matter and energy flow in ecosystems, and predict the impact of changing abiotic and biotic factors on populations",,Analysing food webs to show feeding relationships between organisms in an ecosystem and the role of microorganisms
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U02,"Use models, including food webs, to represent matter and energy flow in ecosystems, and predict the impact of changing abiotic and biotic factors on populations",,Modelling how energy flows into and out of an ecosystem via the pathways of food webs
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U02,"Use models, including food webs, to represent matter and energy flow in ecosystems, and predict the impact of changing abiotic and biotic factors on populations",,Predicting the effects on local ecosystems when living things such as pollinators or predators are removed from or die out in an area
Science,Science,Year 7,Science understanding,Biological sciences,AC9S7U02,"Use models, including food webs, to represent matter and energy flow in ecosystems, and predict the impact of changing abiotic and biotic factors on populations",,"Examining how events such as seasonal changes, destruction of habitat or introduction of a species, impact abiotic and biotic factors and cause changes to populations"
