SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"analysing design and technologies professions and their contributions to society, for example engineers working in disaster recovery or empowering communities to improve access to clean, safe energy"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,carbon footprint
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"considering the factors that influence design and manufacture, and the work of professional designers, engineers and technologists, including time, access to skills, knowledge, finance, expertise in global engineering and manufacturing, for example Australian designers and engineers working with rapid prototyping manufacturers in a country in Asia or the significance of the collaboration between Australia and Vietnam on the development of the Cao Lanh Bridge"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"examining mass production systems taking into account ethics and sustainability considerations, for example the mass production of food, clothing and shoes and why manufacturers produce different versions of the same product and support complete product life cycle strategies"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"examining sustainability factors influencing the design and production of a solution developed by First Nations Australians, such as the sustainable production of culturally significant pigments, for example in many places throughout Australia white and red pigments are not freely available and must be manufactured through a complex process of calcination by firing rocks or clays in a kiln"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"explaining how product life cycle thinking can influence decision-making related to design and technologies, for example rethinking products to provide for re-use, selecting a material for a product that has a lower"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"explaining the consequences of ethical and sustainability decisions for products, services and environments, for example the accessibility of a managed public environment, the design of roads to include aerial bridges for wildlife and signage powered with solar technologies"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K01,"analyse how people in design and technologies occupations consider ethical, security and sustainability factors to innovate and improve products, services and environments",,"recognising the impact of past designed solutions when creating solutions for preferred futures, for example the design of public transport systems that use renewable energy and are accessible, and the design of rural community environments to reduce fire risk"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K02,"analyse the impact of innovation, enterprise and emerging technologies on designed solutions for global preferred futures",,"examining real-world problems and understanding basic needs when considering designed solutions, for example students collaborating to design solutions to challenges in the Asia region; or artists from a country in South-East Asia creating posters for the world to take action in a pandemic"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K02,"analyse the impact of innovation, enterprise and emerging technologies on designed solutions for global preferred futures",,"exploring the ways commercial enterprises respond to the challenges and opportunities of technological change, for example e-commerce, and considering their carbon footprint"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K02,"analyse the impact of innovation, enterprise and emerging technologies on designed solutions for global preferred futures",,"investigating how the knowledges of First Nations Australians have led to the discovery of potential innovative solutions, for example biodegradable polymers using spinifex grass to reduce landfill and strengthen latex, plastics and concrete"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies and society,AC9TDE10K02,"analyse the impact of innovation, enterprise and emerging technologies on designed solutions for global preferred futures",,"investigating scenarios of how the future may unfold and what opportunities and impacts there may be for society and particular groups in a preferred future, for example by using forecasting and backcasting techniques"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies context: Engineering principles and systems,AC9TDE10K03,"analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems",,"calculating forces, reactions and loads in structures and analysing the relationship between materials of properties, forces and safety in engineered systems such as bridges"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies context: Engineering principles and systems,AC9TDE10K03,"analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems",,"critiquing the effectiveness of the combinations of materials, forces, energy and motion in an engineered system such as a 3D printer"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies context: Engineering principles and systems,AC9TDE10K03,"analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems",,"explaining the way common machines or engineered systems interact and combine properties of materials, force, motion and energy efficiently, for example examining the structure and function of cranes on building sites or in a system, or examining the structure and function of car safety features such as seatbelts, airbags and crumple zones"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies context: Engineering principles and systems,AC9TDE10K03,"analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems",,"investigating how the placement of wind turbines in a wind farm affects their performance, for example designing a layout to maximise the productivity of a wind farm within a given space"
Technologies,Design and Technologies,Years 9–10,Knowledge and understanding,Technologies context: Engineering principles and systems,AC9TDE10K03,"analyse and make judgements on how the characteristics and properties of materials are combined with force, motion and energy to control engineered systems",,"investigating the engineering innovations of First Nations Australians, such as spearthrowers and bow and arrow, and how the characteristics and properties of materials are used, such as rigidity, flexibility and hardness"
