SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies and society,AC9TDE2K01,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"asking questions about the design of a range of shelters provided for the public and how they meet the needs of people in the community, for example the structures of a school or local sportsground or how to"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies and society,AC9TDE2K01,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"exploring how First Nations Australians have long understood their dependence on living systems to meet their local and community needs, for example exploring the material culture of the Ngarrindjeri Peoples who sustainably make woven items from a grass-like sedge"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies and society,AC9TDE2K01,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"exploring how local products are designed, for example brainstorming the materials and processes needed to create a costume for a school or community event including using recycled clothing or components to minimise waste"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies and society,AC9TDE2K01,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"exploring how particular services meet different needs of people in the community, for example describing why doctors provide medical care to people in many ways including by phone, video conference, plane, car or outdoor clinic"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies and society,AC9TDE2K01,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,"exploring how people come up with new ideas or modify existing designs, for example preventing water wastage when caring for plants"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies and society,AC9TDE2K01,"identify how familiar products, services and environments are designed and produced by people to meet personal or local community needs and sustainability",,improve accessibility
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Engineering principles and systems; Materials and technologies specialisations,AC9TDE2K02,explore how technologies including materials affect movement in products,,exploring a system such as a marionette or Indonesian wayang kulit shadow puppet to see that by combining materials with forces movement can be created
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Engineering principles and systems; Materials and technologies specialisations,AC9TDE2K02,explore how technologies including materials affect movement in products,,"exploring how to manipulate materials using a range of tools, equipment and techniques to create movement, for example when constructing a toy boat that floats or a kite that flies"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Engineering principles and systems; Materials and technologies specialisations,AC9TDE2K02,explore how technologies including materials affect movement in products,,"investigating First Nations Australians’ instructive toys and how such toys are designed and made to produce movement, for example propeller toys made from pandanus across northern Australia"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Engineering principles and systems; Materials and technologies specialisations,AC9TDE2K02,explore how technologies including materials affect movement in products,,"selecting materials to show how material properties are appropriate for particular designed solutions, for example materials that enable sliding, floating or flying"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Engineering principles and systems; Materials and technologies specialisations,AC9TDE2K02,explore how technologies including materials affect movement in products,,"testing materials to see how they affect movement and speed, for example the movement of a wheeled toy on different surfaces such as timber, carpet, rubber and plastic"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Food and fibre production; Food specialisations,AC9TDE2K03,"explore how plants and animals are grown for food, clothing and shelter",,"considering a range of tools and equipment that can be used to grow plants for a purpose and their suitability, for example naming and describing tools such as a spade or rake used to cultivate or mulch a home vegetable garden, or equipment such as a seed spreader or global positioning system (GPS) tractor to sow wheat, or a tubestock planting tool and drones to manage forestry plantations"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Food and fibre production; Food specialisations,AC9TDE2K03,"explore how plants and animals are grown for food, clothing and shelter",,"exploring how First Nations Australians grow plants and animals for food, for example how land is transformed through the construction of terraces at Wagadagam on Mabuiag Island in the Torres Strait, or how the Kombumerri Peoples of South East Queensland developed an important aquaculture industry farming"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Food and fibre production; Food specialisations,AC9TDE2K03,"explore how plants and animals are grown for food, clothing and shelter",,"exploring where plants and animals are grown for food, clothing and shelter in Australia, for example citrus fruit in South Australia; cotton in New South Wales, which is harvested and made into yarn and fabric for clothing; or timber for building homes from sustainable forests in Tasmania"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Food and fibre production; Food specialisations,AC9TDE2K03,"explore how plants and animals are grown for food, clothing and shelter",,"identifying products that can be designed and produced from plants and animals, for example food products, paper and wood products, fabrics and yarns"
Technologies,Design and Technologies,Years 1–2,Knowledge and understanding,Technologies context: Food and fibre production; Food specialisations,AC9TDE2K03,"explore how plants and animals are grown for food, clothing and shelter",,"identifying which plants and animals can provide food or materials for clothing and shelter, for example looking at a range of items and sorting them according to plant or animal source"
