SubjectArea,Subject,Band,Term,Definition
Technologies,Digital Technologies,Foundation to Year 10,abstraction,"The process of reducing complexity to define the main idea, problem or solution. This is achieved by hiding details to focus on a manageable number of aspects."
Technologies,Digital Technologies,Foundation to Year 10,acquire (data),"Ways of collecting and accessing data from a range of sources, e.g. data could be collected by counting objects and accessed from a file provided by the teacher."
Technologies,Digital Technologies,Foundation to Year 10,advanced features,"Functions and peripherals that exploit the capabilities of digital tools (hardware and software), e.g. using a style sheet to automate formatting and a drone to capture field data."
Technologies,Digital Technologies,Foundation to Year 10,agile projects,An approach to completing projects that takes an iterative path rather than a linear one. It involves incremental improvement and continual evaluation and feedback from the users.
Technologies,Digital Technologies,Foundation to Year 10,agreed conventions,"Rules or preferred standards about how content is to be created, located and communicated, e.g. using agreed formatting styles for headings and charts, and a common file-naming system."
Technologies,Digital Technologies,Foundation to Year 10,algorithms,"Precise description of the steps and decisions needed to solve a problem. Algorithms often involve iterative (repetitive) processes and can be represented, e.g. as flowcharts and pseudocode."
Technologies,Digital Technologies,Foundation to Year 10,apps,Software originally designed to run on mobile devices and to be quite targeted in its purpose; an app (abbreviation of application) can now be considerably broader in its purpose.
Technologies,Digital Technologies,Foundation to Year 10,ASCII (American Standard Code for Information Interchange),"An early encoding system, later extended, used to represent characters, including 0–9 and a–z, in computer systems. For example, capital P is represented by the number 80 in ASCII, which in turn is represented as 0101000 in binary. See also data representation."
Technologies,Digital Technologies,Foundation to Year 10,Asia/Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
Technologies,Digital Technologies,Foundation to Year 10,attributes,"Characteristics or properties that identify and describe entities within a database, e.g. an attribute of an entity 'person' could be name or date of birth."
Technologies,Digital Technologies,Foundation to Year 10,binary,"A base 2 number system that uses 2 states or allowable values to represent data, such as the off and on state of a light switch and the 0 and 1 values in the binary number system."
Technologies,Digital Technologies,Foundation to Year 10,bitmap,"A representation in which each item corresponds to one or more bits of information, especially the information used to control the display of a computer screen."
Technologies,Digital Technologies,Foundation to Year 10,branching (decision),"A control structure that involves making a decision based on defined conditions and the data provided, and determining the next step, e.g. if it is raining take a raincoat, else take a hat."
Technologies,Digital Technologies,Foundation to Year 10,comparison operators (branching),"Algorithmic expressions that compare values, returning true or false to make decisions, e.g. the operator '<' determines if one value is less than another."
Technologies,Digital Technologies,Foundation to Year 10,components,"The hardware and software parts of a digital system that perform specific functions and are needed for the system to operate, e.g. input, processing, storage and output components."
Technologies,Digital Technologies,Foundation to Year 10,computational thinking,"A way of thinking which helps to organise data logically by breaking down problems into parts; defining abstract concepts; and designing and using algorithms, patterns and models."
Technologies,Digital Technologies,Foundation to Year 10,control structures,"The decision-making building blocks of an algorithm that determine or control the flow of which statements are executed. The 3 control structures are sequence, branching and iteration."
Technologies,Digital Technologies,Foundation to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
Technologies,Digital Technologies,Foundation to Year 10,cyber security,"Technologies, processes and practises taken to protect digital systems and networks from theft or damage to their hardware, software, data or to the disruption of services."
Technologies,Digital Technologies,Foundation to Year 10,cyber security threats,"Malicious acts designed to damage or steal stored and transmitted data, or to disrupt networked digital systems, e.g. distributed denial of services attacks, phishing and ransomware."
Technologies,Digital Technologies,Foundation to Year 10,data,A general term for a set of observations or measurements collected during an investigation. Primary data is collected by the user; secondary data is collected by others.
Technologies,Digital Technologies,Foundation to Year 10,data compression,The process of encoding data; using less data than the original representation to reduce size. Compression can maintain (lossless) or reduce (lossy) data.
Technologies,Digital Technologies,Foundation to Year 10,data representation,"How data is represented and structured symbolically for storage and communication, by people and digital systems, e.g. symbols can communicate ideas and whole numbers can represent letters."
Technologies,Digital Technologies,Foundation to Year 10,debug,"A systematic process that involves finding existing errors in a programme such as identifying error messages in lines of code, fixing them and validating if the changes made are correct."
Technologies,Digital Technologies,Foundation to Year 10,decompose,A process to separate complex problems into manageable parts to allow problems to be more easily understood and solved. Iterative questioning helps to understand a problem and reveal possible solutions.
Technologies,Digital Technologies,Foundation to Year 10,design criteria,"Criteria used to determine if the proposed solution meets the requirements. They are drawn from the solutions requirements, user stories, if appropriate, and constraints."
Technologies,Digital Technologies,Foundation to Year 10,design process,A process that involves investigating and defining; generating and designing; producing and implementing; evaluating; and collabourating and manageing to create designed solutions that meet needs.
Technologies,Digital Technologies,Foundation to Year 10,design thinking,"An approach which helps people to empathise and understand needs, opportunities and problems; generate, iterate and represent innovative, user-centred ideas; and analyse and evaluate those ideas."
