SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Dance,Foundation,AC9ADAFASC01,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Developing practices and skills,"about, and/or, arts, community, describe, encounter, experiences, feelings, foundation, home, ideas, observations, school, works, year","AC9ADAFE01,AC9ADAFP01",High
The Arts,Dance,Foundation,AC9ADAFASC02,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Developing practices and skills,"and/or, arts, create, different, forms, imagination, knowledge, play, processes, share, skills, works","AC9ADAFE01,AC9ADAFD01,AC9ADAFC01,AC9ADAFP01",High
The Arts,Dance,Years 1 and 2,AC9ADA2ASC01,"By the end of Year 2, students identify where they experience dance.",Exploring and responding,"dance, experience, identify, where, year","AC9ADA2E01,",High
The Arts,Dance,Years 1 and 2,AC9ADA2ASC02,"They describe where, why and/or how people across cultures, communities and/or other contexts experience dance.",Exploring and responding,"across, and/or, communities, contexts, cultures, dance, describe, experience, other, people, where","AC9ADA2E01,AC9ADA2E02",High
The Arts,Dance,Years 1 and 2,AC9ADA2ASC03,Students use the elements of dance to structure dance sequences.,Developing practices and skills,"dance, elements, sequences, structure","AC9ADA2D01,AC9ADA2C01",High
The Arts,Dance,Years 1 and 2,AC9ADA2ASC04,They demonstrate fundamental movement skills and safe dance practise.,Developing practices and skills,"dance, demonstrate, fundamental, movement, practise, safe, skills","AC9ADA2D01,AC9ADA2C01",High
The Arts,Dance,Years 1 and 2,AC9ADA2ASC05,They perform their dance in informal settings.,Presenting and performing,"dance, informal, perform, settings",AC9ADA2P01,High
The Arts,Dance,Years 3 and 4,AC9ADA4ASC01,"By the end of Year 4, students describe use of the elements of dance in dance they experience, create and/or perform.",Exploring and responding,"and/or, create, dance, describe, elements, experience, perform, year","AC9ADA4E01,AC9ADA4D01,AC9ADA4C01",High
The Arts,Dance,Years 3 and 4,AC9ADA4ASC02,"They describe where, why and/or how dance is choreographed and/or performed across cultures, times, places and/or other contexts.",Developing practices and skills,"across, and/or, choreographed, contexts, cultures, dance, describe, other, performed, places, times, where","AC9ADA4E01,AC9ADA4E02",High
The Arts,Dance,Years 3 and 4,AC9ADA4ASC03,"Students use the elements of dance to structure dance sequences that communicate ideas, perspectives and/or meaning.",Developing practices and skills,"and/or, communicate, dance, elements, ideas, meaning, perspectives, sequences, structure","AC9ADA4D01,AC9ADA4C01",High
