SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E01,"investigate ways that dance works, performers and/or choreographers across cultures, times, places and/or other contexts use the elements of dance, choreographic devices and/or production elements to communicate ideas, perspectives and/or meaning",,"analysing dances from a range of times and locations, such as dances from times they are studying in History or dance from a country or region in Asia, and considering how a single realistic movement can be manipulated from representational to symbolic (literal to abstract)"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E01,"investigate ways that dance works, performers and/or choreographers across cultures, times, places and/or other contexts use the elements of dance, choreographic devices and/or production elements to communicate ideas, perspectives and/or meaning",,"investigating the development of dance styles in different artistic, social, environmental, historical or cultural contexts; for example, identifying the distinguishing stylistic features of dances in a range of styles or from a range of times or places, and considering how these can inform their choreography"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E01,"investigate ways that dance works, performers and/or choreographers across cultures, times, places and/or other contexts use the elements of dance, choreographic devices and/or production elements to communicate ideas, perspectives and/or meaning",,"using Viewpoints to explore questions such as “What was the choreographer’s intention for this dance?”, “What ideas did you think the dance expressed?”"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E01,"investigate ways that dance works, performers and/or choreographers across cultures, times, places and/or other contexts use the elements of dance, choreographic devices and/or production elements to communicate ideas, perspectives and/or meaning",,"comparing use of one or more elements of dance and/or choreographic devices such as repetition in dances from a range of genres/styles, cultures, times and/or places; for example, dances from a range of cultures or countries in Asia"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E01,"investigate ways that dance works, performers and/or choreographers across cultures, times, places and/or other contexts use the elements of dance, choreographic devices and/or production elements to communicate ideas, perspectives and/or meaning",,"investigating how digital tools and use of immersive technologies such as virtual reality (VR) are influencing choreography, performance or use of production elements"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E02,investigate the diversity of dance choreographed and/or performed by First Nations Australians considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,"exploring information about Indigenous Cultural and Intellectual Property rights that is available to help dance practitioners understand how to make ethical choices; for example, asking questions such as “Who created this dance or these movements?”"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E02,investigate the diversity of dance choreographed and/or performed by First Nations Australians considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,using and annotating a map of First Nations Australian language groups to identify where First Nations Australian choreographers and/or performers are working and provide short descriptions of the dance they are choreographing and/or performing
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E02,investigate the diversity of dance choreographed and/or performed by First Nations Australians considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,"analysing how linear and non-linear narrative is used in specific examples of dance choreographed and/or performed by First Nations Australians to explore issues such as relationships, identity or empathy"
The Arts,Dance,Years 7-8,Exploring and responding,,AC9ADA8E02,investigate the diversity of dance choreographed and/or performed by First Nations Australians considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights,,"investigating an example of cultural appropriation where it has been found that First Nations Australian Indigenous Cultural and Intellectual Property rights have been denied and identifying how this situation could have been approached respectfully; for example, a situation where a choreographer has used movement vocabulary that carries cultural knowledge without permission from the knowledge holders"
The Arts,Dance,Years 7-8,Developing practices and skills,,AC9ADA8D01,"develop safe dance practice and use of expressive and technical skills and, as appropriate, genre- or style-specific techniques",,"developing dance skills and style-specific techniques; for example, experimenting to extend their own movement vocabulary by improvising using movements and techniques from diverse dance styles"
