SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E01,"Explore ways that the elements of dance are combined to communicate ideas, perspectives and/or meaning in dance across cultures, times, places and/or other contexts",,"Exploring how dances they experience use the elements of dance and choreographic devices such as repetition, unison or contrast; for example, exploring culturally specific dance from a country or region in Asia, or dance on screen",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E01,"Explore ways that the elements of dance are combined to communicate ideas, perspectives and/or meaning in dance across cultures, times, places and/or other contexts",,"Seeking feedback about how ideas in a dance were perceived/understood by the audience; for example, checking how the audience interpreted movements such as stop and start/percussive arm and upper body movements intended to express basketball actions in a game, or rhythmic and accented movement intended to express the passage of time, or the actions of a clock",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E01,"Explore ways that the elements of dance are combined to communicate ideas, perspectives and/or meaning in dance across cultures, times, places and/or other contexts",,"Discussing the purpose of movements, elements of dance, production elements, technical and expressive skills, such as use of projection and focus, and how these affect the mood of audience and the relationship between dancers and the audience",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E01,"Explore ways that the elements of dance are combined to communicate ideas, perspectives and/or meaning in dance across cultures, times, places and/or other contexts",,"Asking questions based on Viewpoints to explore similarities and differences in ways that choreographers or performers and audiences experience/respond to aspects of a dance; for example, “How were elements of dance used to communicate the main idea in the dance?”, “How was your mood changed by this dance?” and developing and asking questions that refer to energy, shape, tempo or use of production elements such as props or music",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E01,"Explore ways that the elements of dance are combined to communicate ideas, perspectives and/or meaning in dance across cultures, times, places and/or other contexts",,"Exploring how dance is used to communicate cultural traditions; for example, considering dance from a country or region in Asia and asking, “What stories, narratives or ways of being and doing does this dance reflect?”, “Is this dance communicating something about the culture where it originated that we can’t learn any other way?”, “How is this dance evolving over time? For example, are costumes now made from different materials?”",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E02,Explore the ways that First Nations Australians use dance to continue and revitalise cultures,,"Exploring, using resources created or co-created by First Nations Australians, how and why cultural expressions are critical for sharing continuing or revitalising cultures",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E02,Explore the ways that First Nations Australians use dance to continue and revitalise cultures,,"Investigating how meaning and purpose are communicated in dance choreographed and/or performed by First Nations Australians; for example, observing how movements are used to share cultural knowledge with the broader community in a dance performed at a community event, or using resources created or co-created by First Nations Australians",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E02,Explore the ways that First Nations Australians use dance to continue and revitalise cultures,,"Experiencing how First Nations Australians’ telling of ways stories and ideas communicate connection to and responsibility for Country/Place; for example, exploring how dance communicates knowledge about weather events or knowledge of sustainable practices for caring for land, sea, sky and waterways",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E02,Explore the ways that First Nations Australians use dance to continue and revitalise cultures,,"Using Viewpoints to develop questions to build understanding about First Nations Australians’ dances and exploring what they could investigate further, such as “What do I already know about this dance practice?”, “What do I need to learn to have a better understanding?”, “What knowledge can I share with others?”, “What questions would I ask the dancers about this performance?”",
The Arts,Dance,Years 5 and 6,Exploring and responding,,AC9ADA6E02,Explore the ways that First Nations Australians use dance to continue and revitalise cultures,,"Exploring how dances that tell stories maintain culture; for example, narrative dances that communicate knowledge about sustainable approaches to locating and gathering food or stories about how places got their names",
The Arts,Dance,Years 5 and 6,Developing practices and skills,,AC9ADA6D01,Develop and practise technical and expressive skills using safe dance practise and the elements of dance,,"Improvising new movement to communicate ideas in response to stimulus; for example, exploring how they can use different body parts, zones, bases and elements of dance to communicate/represent ideas about overcrowded cities; for example, groups of dancers in close proximity to each other",
The Arts,Dance,Years 5 and 6,Developing practices and skills,,AC9ADA6D01,Develop and practise technical and expressive skills using safe dance practise and the elements of dance,,"Developing technical and expressive skills to refine their execution of fundamental movements such as galloping, jumping, sliding, rolling, slithering, spinning, shrinking, exploding or collapsing",
The Arts,Dance,Years 5 and 6,Developing practices and skills,,AC9ADA6D01,Develop and practise technical and expressive skills using safe dance practise and the elements of dance,,"Developing expressive skills of focus, clarity of the movement, confidence and facial expression/character",
The Arts,Dance,Years 5 and 6,Developing practices and skills,,AC9ADA6D01,Develop and practise technical and expressive skills using safe dance practise and the elements of dance,,"Exploring an element of dance; for example, experimenting with shapes and considering ideas such as positive and negative space or use of contrasting dynamics",
The Arts,Dance,Years 5 and 6,Creating and making,,AC9ADA6C01,"Manipulate the elements of dance and/or choreographic devices to choreograph dances that communicate ideas, perspectives and/or meaning",,"Exploring character and mood by experimenting with the elements of dance, developing ideas for a narrative dance such as retelling a story and combining ideas for each section of the story to structure the dance",
The Arts,Dance,Years 5 and 6,Creating and making,,AC9ADA6C01,"Manipulate the elements of dance and/or choreographic devices to choreograph dances that communicate ideas, perspectives and/or meaning",,"Exploring a stimulus or analysing other dances to devise a variety of movement possibilities, such as different ways to jump and land, roll and stand or spiral down to the ground, and then selecting, combining, arranging and refining the movements to structure a dance; for example, using some movements in a repeating section that alternates with contrasting sections",
The Arts,Dance,Years 5 and 6,Creating and making,,AC9ADA6C01,"Manipulate the elements of dance and/or choreographic devices to choreograph dances that communicate ideas, perspectives and/or meaning",,"Using Viewpoints to frame questions when reflecting on development of their dance, “How is the movement of the body used to represent a story, character or idea?”, “How can we use space, costume or multimedia to communicate meaning in this dance?”",
The Arts,Dance,Years 5 and 6,Creating and making,,AC9ADA6C01,"Manipulate the elements of dance and/or choreographic devices to choreograph dances that communicate ideas, perspectives and/or meaning",,"Creating a dance that focuses on use of technical and expressive skills such as control, coordination and balance",
The Arts,Dance,Years 5 and 6,Creating and making,,AC9ADA6C01,"Manipulate the elements of dance and/or choreographic devices to choreograph dances that communicate ideas, perspectives and/or meaning",,Creating a dance that explores a theme or an issue such as a theme from a known text or an issue relating to sustainable ways of living,
The Arts,Dance,Years 5 and 6,Presenting and performing,,AC9ADA6P01,Practise and perform dances using technical and expressive skills in informal and/or formal settings,,Rehearsing and performing a range of learnt dance and/or dance they have choreographed with an awareness of how they are working within their body capabilities and applying technical and expressive skills,
The Arts,Dance,Years 5 and 6,Presenting and performing,,AC9ADA6P01,Practise and perform dances using technical and expressive skills in informal and/or formal settings,,"Using specific technical and expressive skills in their performance to communicate ideas, perspectives and/or meaning to the audience; for example, creating tension through use of a series of slow, controlled movements performed with neutral (blank) facial expressions",
The Arts,Dance,Years 5 and 6,Presenting and performing,,AC9ADA6P01,Practise and perform dances using technical and expressive skills in informal and/or formal settings,,"Presenting dances, using production elements such as music, costumes and props where appropriate to enhance different contexts; for example, using traditional music when performing dances with representatives of the cultural group from the community",
The Arts,Dance,Years 5 and 6,Presenting and performing,,AC9ADA6P01,Practise and perform dances using technical and expressive skills in informal and/or formal settings,,"Using questions based on Viewpoints such as questions about forms and elements to reflect on their performance; for example, “How did the dancers/you use space and energy to create a feeling of strength/isolation/happiness?”, “What relationship are you aiming to create between the dancers and the audience?”",
