SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Drama,Foundation,AC9ADRFASC01,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Developing practices and skills,"about, and/or, arts, community, describe, encounter, experiences, feelings, foundation, home, ideas, observations, school, works, year",AC9ADRFE01,High
The Arts,Drama,Foundation,AC9ADRFASC02,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Developing practices and skills,"and/or, arts, create, different, forms, imagination, knowledge, play, processes, share, skills, works","AC9ADRFE01,AC9ADRFD01,AC9ADRFC01",High
The Arts,Drama,Years 1 and 2,AC9ADR2ASC01,"By the end of Year 2, students identify where they experience drama.",Exploring and responding,"drama, experience, identify, where, year",AC9ADR2E01,High
The Arts,Drama,Years 1 and 2,AC9ADR2ASC02,"They describe where, why and/or how people across cultures, communities and/or other contexts experience drama.",Exploring and responding,"across, and/or, communities, contexts, cultures, describe, drama, experience, other, people, where","AC9ADR2E01,AC9ADR2E02",High
The Arts,Drama,Years 1 and 2,AC9ADR2ASC03,Students pretend and imagine as they create roles and situations in improvised drama and/or dramatic play.,Exploring and responding,"and/or, create, drama, dramatic, imagine, improvised, play, pretend, roles, situations","AC9ADR2D01,AC9ADR2C01",High
The Arts,Drama,Years 1 and 2,AC9ADR2ASC04,They perform their drama in informal settings.,Presenting and performing,"drama, informal, perform, settings",AC9ADR2P01,High
The Arts,Drama,Years 3 and 4,AC9ADR4ASC01,"By the end of Year 4, students describe use of selected elements of drama in drama they experience, create and/or perform.",Exploring and responding,"and/or, create, describe, drama, elements, experience, perform, selected, year","AC9ADR4E01,AC9ADR4D01,AC9ADR4C01",High
The Arts,Drama,Years 3 and 4,AC9ADR4ASC02,"They describe where, why and/or how drama is created and/or performed across cultures, times, places and/or other contexts.",Exploring and responding,"across, and/or, contexts, created, cultures, describe, drama, other, performed, places, times, where","AC9ADR4E01,AC9ADR4E02",High
The Arts,Drama,Years 3 and 4,AC9ADR4ASC03,Students use selected elements of drama when creating drama and/or performing.,Exploring and responding,"and/or, creating, drama, elements, performing, selected, when","AC9ADR4D01,AC9ADR4C01",High
The Arts,Drama,Years 3 and 4,AC9ADR4ASC04,"They collabourate to improvise and/or devise drama that communicates ideas, perspectives and/or meaning.",Creating and making,"and/or, collabourate, communicates, devise, drama, ideas, improvise, meaning, perspectives","AC9ADR4D01,AC9ADR4C01",High
