SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E01,"Explore ways that the elements of drama are combined to communicate ideas, perspectives and/or meaning in drama across cultures, times, places and/or other contexts",,"Exploring how drama is used within their own communities to maintain, continue and revitalise culture",
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E01,"Explore ways that the elements of drama are combined to communicate ideas, perspectives and/or meaning in drama across cultures, times, places and/or other contexts",,"Identifying and discussing use of elements of drama such as space, time, language, movement, character and/or relationships in the drama; for example, using Viewpoints to develop questions such as “What did you see in the drama?”, “How did the actors make the characters believable?”, “When was the drama set? (for example, time, place or other context)”, “What was the purpose of the drama?”",
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E01,"Explore ways that the elements of drama are combined to communicate ideas, perspectives and/or meaning in drama across cultures, times, places and/or other contexts",,"Exploring drama from other places and times, and discussing how it might contribute to their own drama, and how cultural understandings shape meaning in drama; for example, exploring how drama is used to share cultural knowledge in celebrations, ceremonies or rituals that happen in their local community and/or in another place, such as a country or region in Asia",
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E02,Explore the ways that First Nations Australians use drama to continue and revitalise cultures,,"Exploring how performances that tell stories maintain culture; for example, narrative drama that communicates knowledge about land, sea, sky or waterways",
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E02,Explore the ways that First Nations Australians use drama to continue and revitalise cultures,,"Identifying and discussing the role of storytelling in First Nations Australians’ cultural traditions, through direct engagement or using online resources created or co-created by First Nations Australians",
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E02,Explore the ways that First Nations Australians use drama to continue and revitalise cultures,,"Identifying examples that illustrate how cultural expressions change over time; for example, by using available resources published by First Nations Australian communities and organisations",
The Arts,Drama,Years 5 and 6,Exploring and responding,,AC9ADR6E02,Explore the ways that First Nations Australians use drama to continue and revitalise cultures,,"Investigating the ways that a diverse range of First Nations Australian drama makers and performers embed themselves and their communities in drama in a range of representative forms as a visual declaration of identity, storytelling and resilience; for example, exploring how drama is used to share cultural narratives",
The Arts,Drama,Years 5 and 6,Developing practices and skills,,AC9ADR6D01,"Explore ways to combine the elements of drama to communicate ideas, perspectives and/or meaning in improvisations, devised drama and/or scripted drama",,"Experimenting with empathy to develop characters and relationships in drama, considering situations from the perspectives of different characters, exploring responses and challenging stereotypes; for example, when interpreting scripted drama",
The Arts,Drama,Years 5 and 6,Developing practices and skills,,AC9ADR6D01,"Explore ways to combine the elements of drama to communicate ideas, perspectives and/or meaning in improvisations, devised drama and/or scripted drama",,Imagining and developing a “new scene” to include in a dramatic re-telling of a known narrative,
The Arts,Drama,Years 5 and 6,Developing practices and skills,,AC9ADR6D01,"Explore ways to combine the elements of drama to communicate ideas, perspectives and/or meaning in improvisations, devised drama and/or scripted drama",,"Using Viewpoints to ask questions to explore the role of cultures in the use of elements of drama, such as “How are relationships, language and symbols shaped by cultures?”, “How do we use our own cultures to create shortcuts of meaning and ideas?”, “How do we understand the cultures of others?”",
The Arts,Drama,Years 5 and 6,Developing practices and skills,,AC9ADR6D01,"Explore ways to combine the elements of drama to communicate ideas, perspectives and/or meaning in improvisations, devised drama and/or scripted drama",,"Using improvisation or process drama to compare different ways that improvised and scripted drama can create characters and action, or evaluating drama they experience in live performance and considering how they can use specific techniques in their own work",
The Arts,Drama,Years 5 and 6,Developing practices and skills,,AC9ADR6D01,"Explore ways to combine the elements of drama to communicate ideas, perspectives and/or meaning in improvisations, devised drama and/or scripted drama",,Imagining that they are in the time/place of an historical event and considering why people involved in the event made (or will make) certain decisions and/or what they could have done differently,
The Arts,Drama,Years 5 and 6,Creating and making,,AC9ADR6C01,"Develop characters and situations, and shape and sustain dramatic action to communicate ideas, perspectives and/or meaning in improvised, devised and/or scripted forms",,"Exploring physical, fictional or emotional spaces to create characters and respond to situations",
The Arts,Drama,Years 5 and 6,Creating and making,,AC9ADR6C01,"Develop characters and situations, and shape and sustain dramatic action to communicate ideas, perspectives and/or meaning in improvised, devised and/or scripted forms",,"Varying use of voice/vocalisation using techniques such as projection, dynamics, pace, pause and pitch, to create and communicate characters’ intentions, or exploring how movement and gesture can be used without voice/vocalisation to communicate ideas or intentions",
The Arts,Drama,Years 5 and 6,Creating and making,,AC9ADR6C01,"Develop characters and situations, and shape and sustain dramatic action to communicate ideas, perspectives and/or meaning in improvised, devised and/or scripted forms",,"Rehearsing, interacting and negotiating with others to interpret scripts and create characters and their relationships",
The Arts,Drama,Years 5 and 6,Creating and making,,AC9ADR6C01,"Develop characters and situations, and shape and sustain dramatic action to communicate ideas, perspectives and/or meaning in improvised, devised and/or scripted forms",,"Using Viewpoints to ask questions when exploring character; for example, “How did the performers use the elements of drama and design elements effectively?”, “For what purposes did they make drama?”, “What evidence supports your judgement about the drama?”",
The Arts,Drama,Years 5 and 6,Creating and making,,AC9ADR6C01,"Develop characters and situations, and shape and sustain dramatic action to communicate ideas, perspectives and/or meaning in improvised, devised and/or scripted forms",,"Devising drama based on research or knowledge about a project happening in their school/local community to encourage cultural awareness or to present different perspectives in a debate, such as a debate about an environmental issue",
The Arts,Drama,Years 5 and 6,Creating and making,,AC9ADR6C01,"Develop characters and situations, and shape and sustain dramatic action to communicate ideas, perspectives and/or meaning in improvised, devised and/or scripted forms",,"Working collaboratively to devise drama for a school ritual, gathering (such as an assembly) or ceremony; for example, drama that explores a school motto, a health message or a campaign such as “no-packaging lunch”",
The Arts,Drama,Years 5 and 6,Presenting and performing,,AC9ADR6P01,"Rehearse and perform improvised, devised and/or scripted drama in informal and/or formal settings",,"Using props, costumes and available technologies such as light, sound or multimedia to create dramatic symbols and enhance dramatic action",
The Arts,Drama,Years 5 and 6,Presenting and performing,,AC9ADR6P01,"Rehearse and perform improvised, devised and/or scripted drama in informal and/or formal settings",,"Focusing on communication with the audience by, for example, remembering lines, moves and cues in rehearsal and performance",
The Arts,Drama,Years 5 and 6,Presenting and performing,,AC9ADR6P01,"Rehearse and perform improvised, devised and/or scripted drama in informal and/or formal settings",,Showing understanding of the purpose of rehearsing and the need for collaboration,
The Arts,Drama,Years 5 and 6,Presenting and performing,,AC9ADR6P01,"Rehearse and perform improvised, devised and/or scripted drama in informal and/or formal settings",,"Sharing ideas about their drama with audiences; for example, through choice of performance space, approach to entering or leaving the performance space, pre-show presentations or by creating an introduction such as a podcast that can be distributed when an audience member obtains their ticket",
