SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E01,"investigate ways the elements of drama and/or conventions are used to communicate ideas, perspectives and/or meaning in drama created and/or performed across cultures, times, places and/or other contexts",,"researching and noticing how the impact of time and place/context of a drama from a particular period can differ from that of another period, particularly in relation to the use of drama conventions"
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E01,"investigate ways the elements of drama and/or conventions are used to communicate ideas, perspectives and/or meaning in drama created and/or performed across cultures, times, places and/or other contexts",,"using Viewpoints to analyse and evaluate performances they have experienced and/or participated in by asking questions such as “What ideas did you think the drama expressed?”, “What conventions were used to establish time/place/context?”, “How was movement used in the drama?”"
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E01,"investigate ways the elements of drama and/or conventions are used to communicate ideas, perspectives and/or meaning in drama created and/or performed across cultures, times, places and/or other contexts",,"writing or pod/vodcasting a review of a drama they experience, focusing on use of specific elements of drama and/or conventions; for example, identifying and describing how an element of drama has been manipulated to communicate ideas, perspectives and/or meaning"
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E01,"investigate ways the elements of drama and/or conventions are used to communicate ideas, perspectives and/or meaning in drama created and/or performed across cultures, times, places and/or other contexts",,"analysing how linear and non-linear narrative is used in examples of drama from diverse cultures; for example, in contemporary drama from countries or regions in Asia or in drama from historical times"
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E02,"investigate the diversity of drama created and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,identifying how diverse examples of drama created and/or performed by First Nations Australians can consider and demonstrate culturally responsive approaches to Indigenous Cultural and Intellectual Property rights
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E02,"investigate the diversity of drama created and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,using information from Indigenous Cultural and Intellectual Property protocols and guidelines to inform decisions about whether or not ideas from an existing source featuring cultural expressions can be used when developing new drama work
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E02,"investigate the diversity of drama created and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"engaging in activities that enable understanding of how to make ethical choices and empathise with content creators and story owners; for example, asking questions such as, “Whose story is it?”, “Is this my story to share or should I ask permission to tell it?”"
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E02,"investigate the diversity of drama created and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"investigating specific examples of how drama practitioners select and use First Nations Australians’ historical and cultural material to develop and create contemporary First Nations Australian theatre; for example, using historical and cultural materials that accurately communicate First Nations Australian perspectives, such as resilience to the impacts of colonisation"
The Arts,Drama,Years 7-8,Exploring and responding,,AC9ADR8E02,"investigate the diversity of drama created and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"identifying and analysing what cultural appropriation is and how to avoid it by considering the original purpose, context and intended audience of cultural expressions; for example, using advice from protocols for protecting Indigenous Cultural and Intellectual Property rights"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,"developing vocal qualities of projection, clarity and contrast through control of pace, pitch, dynamics and use of pause and silence"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,"developing use of the body to communicate through, for example, movement and stillness, realistic and non-realistic movement; and developing performance skills such as exploring ways to transition between scenes"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,"experimenting with ways to use conventions associated with a specific style/form in their drama; for example, conventions such as flashback/flashforward, aside, slow motion, chorus (commentator), signs, sound/music"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,"experimenting with the elements of drama, relevant stylistic conventions or ways of manipulating form to create, shape and sustain dramatic action, situations and narratives, in order to achieve intended meaning and purpose; for example, through class, individual and group activities such as improvisation and basic devising in a selected style or in response to provided stimulus material"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,using improvisation to explore techniques/strategies associated with specific styles/forms to heighten and release tension and using ideas from the improvisation to interpret scenes from a scripted drama
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,experimenting with ways to manipulate elements of drama and use performance skills to communicate status/power relationships in drama being devised and/or when interpreting scripts
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D01,develop performance skills relevant to selected drama styles and/or forms,,"understanding the importance of and applying respectful relationships and empathy when developing roles and characters, and conveying historical and cultural ideas and meaning"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D02,reflect on their own and others’ drama to inform choices when manipulating elements of drama and/or conventions to shape dramatic action,,"reflecting, independently and in class discussion, upon the action created in order to evaluate and analyse what was effective and make decisions about what would be done differently in future; for example, discussing whether the purpose was achieved, whether the action was engaging, whether the elements could have been managed differently for better effect, and which of the elements worked well to make meaning clear"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D02,reflect on their own and others’ drama to inform choices when manipulating elements of drama and/or conventions to shape dramatic action,,"seeking, accepting and responding to feedback to inform choices about use of elements of drama and/or conventions; for example, using Viewpoints to develop questions such as “How did the performer use language/movement to make their character believable?”, “What ideas/perspectives/meaning did the drama communicate?”, “What do you think will/could/should happen next?”, “How would you describe the relationship/s between the characters in this scene?”"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D02,reflect on their own and others’ drama to inform choices when manipulating elements of drama and/or conventions to shape dramatic action,,"developing understanding of human behaviours and emotions using appropriate boundaries, by recalling and re-enacting past experiences and people they have observed in situations relevant to the text or content being used; asking “What did my/their body do?”, “How did my/their voice sound/communicate meaning in the situation?”, “How can I adapt my facial expression, posture, gesture, movement and voice/vocalisation to portray age, power or attitude?”, “How can I express character relationships through vocal dynamics, eye contact, distance and space?”"
The Arts,Drama,Years 7-8,Developing practices and skills,,AC9ADR8D02,reflect on their own and others’ drama to inform choices when manipulating elements of drama and/or conventions to shape dramatic action,,"reflecting on how performance skills are used to communicate perspectives; for example, how performance skills can be used in drama that seeks to communicate ideas such as perpetuating or challenging unequal power relationships and oppression"
