SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Media Arts,Foundation,AC9AMAFASC01,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Developing practices and skills,"about, and/or, arts, community, describe, encounter, experiences, feelings, foundation, home, ideas, observations, school, works, year",AC9AMAFE01,High
The Arts,Media Arts,Foundation,AC9AMAFASC02,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Developing practices and skills,"and/or, arts, create, different, forms, imagination, knowledge, play, processes, share, skills, works",AC9AMAFP01,High
The Arts,Media Arts,Years 1 and 2,AC9AMA2ASC01,"By the end of Year 2, students identify where they experience media arts.",Exploring and responding,"arts, experience, identify, media, where, year",AC9AMA2E01,High
The Arts,Media Arts,Years 1 and 2,AC9AMA2ASC02,"They describe where, why and/or how people across cultures, communities and/or other contexts experience media arts.",Exploring and responding,"across, and/or, arts, communities, contexts, cultures, describe, experience, media, other, people, where","AC9AMA2E01, AC9AMA2E02",High
The Arts,Media Arts,Years 1 and 2,AC9AMA2ASC03,Students use media languages and media technologies to construct representations in media arts works.,Creating and making,"arts, construct, languages, media, representations, technologies, works",AC9AMA2C01,High
The Arts,Media Arts,Years 1 and 2,AC9AMA2ASC04,They share their work with audiences safely and in informal ways.,Presenting and performing,"audiences, informal, safely, share, ways, work",AC9AMA2P01,High
The Arts,Media Arts,Years 3 and 4,AC9AMA4ASC01,"By the end of Year 4, students describe the use of media languages and media technologies to construct representations in media arts works they experience and/or produce.",Creating and making,"and/or, arts, construct, describe, experience, languages, media, produce, representations, technologies, works, year",AC9AMA4C01,High
The Arts,Media Arts,Years 3 and 4,AC9AMA4ASC02,"They describe where, why and/or how media arts works are created and/or distributed across cultures, times, places and/or other contexts.",Exploring and responding,"across, and/or, arts, contexts, created, cultures, describe, distributed, media, other, places, times, where, works","AC9AMA4E01, AC9AMA4E02",High
The Arts,Media Arts,Years 3 and 4,AC9AMA4ASC03,"Students use media languages, and media technologies and production processes to construct representations in media arts works.",Creating and making,"arts, construct, languages, media, processes, production, representations, technologies, works",AC9AMA4C01,High
The Arts,Media Arts,Years 3 and 4,AC9AMA4ASC04,They share their work in informal settings using responsible media practise.,Presenting and performing,"informal, media, practise, responsible, settings, share, work",AC9AMA4P01,High
The Arts,Media Arts,Years 5 and 6,AC9AMA6ASC01,"By the end of Year 6, students explain how media languages and media technologies are used in media arts works they construct and/or experience.",Exploring and responding,"and/or, arts, construct, experience, explain, languages, media, technologies, used, works, year",AC9AMA6E01,High
The Arts,Media Arts,Years 5 and 6,AC9AMA6ASC02,"They describe how media arts works created across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning.",Exploring and responding,"across, and/or, arts, communicate, contexts, created, cultures, describe, ideas, meaning, media, other, perspectives, places, times, works","AC9AMA6E01, AC9AMA6E02",High
The Arts,Media Arts,Years 5 and 6,AC9AMA6ASC03,They describe how media arts are used to continue and revitalise cultures.,Exploring and responding,"arts, continue, cultures, describe, media, revitalise, used",AC9AMA6E02,High
The Arts,Media Arts,Years 5 and 6,AC9AMA6ASC04,"Students use media languages, and media technologies and production processes to construct representations in media arts works for specific purposes and audiences.",Creating and making,"arts, audiences, construct, languages, media, processes, production, purposes, representations, specific, technologies, works",AC9AMA6C01,High
The Arts,Media Arts,Years 5 and 6,AC9AMA6ASC05,They present their work in informal and/or formal settings using responsible media practise.,Presenting and performing,"and/or, formal, informal, media, practise, present, responsible, settings, work",AC9AMA6P01,High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC01,"By the end of Year 8, students analyse the use of media arts concepts to construct representations that communicate ideas, perspectives and/or meaning in media arts works they produce and/or experience.",Creating and making,"analyse, and/or, arts, communicate, concepts, construct, experience, ideas, meaning, media, perspectives, produce, representations, works, year","AC9AMA8E01,AC9AMA8D02,AC9AMA8C01",High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC02,"They evaluate use of media arts concepts in media arts works from across cultures, times, places and/or other contexts.",Exploring and responding,"across, and/or, arts, concepts, contexts, cultures, evaluate, media, other, places, times, works","AC9AMA8E01,AC9AMA8E02,AC9AMA8D02,AC9AMA8C01",High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC03,They describe respectful approaches to creating and/or responding to media arts works.,Exploring and responding,"and/or, approaches, arts, creating, describe, media, respectful, responding, works",AC9AMA8E02,High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC04,"Students select and manipulate media languages and media technologies, and use production processes to construct representations.",Developing practices and skills,"construct, languages, manipulate, media, processes, production, representations, select, technologies","AC9AMA8E01,AC9AMA8D01,AC9AMA8D02,AC9AMA8C01,AC9AMA8C02",High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC05,"They produce media arts works that communicate ideas, perspectives and/or meaning.",Creating and making,"and/or, arts, communicate, ideas, meaning, media, perspectives, produce, works","AC9AMA8D02,AC9AMA8C02",High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC06,They present their work to an audience.,Presenting and performing,"audience, present, work",AC9AMA8P01,High
The Arts,Media Arts,Years 7 and 8,AC9AMA8ASC07,They plan where and how they could distribute their work using responsible media practise.,Creating and making,"distribute, media, plan, practise, responsible, where, work",AC9AMA8P01,High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC01,"By the end of Year 10, students analyse how and why media arts concepts are manipulated to construct representations in media arts works they produce and/or experience.",Creating and making,"analyse, and/or, arts, concepts, construct, experience, manipulated, media, produce, representations, works, year","AC9AMA10E01,AC9AMA10D02,",High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC02,"They evaluate how and why media artists across cultures, times, places and/or other contexts use media arts concepts to represent and/or challenge ideas, perspectives and/or meaning.",Exploring and responding,"across, and/or, artists, arts, challenge, concepts, contexts, cultures, evaluate, ideas, meaning, media, other, perspectives, places, represent, times","AC9AMA10E01,AC9AMA10E02,AC9AMA10D02",High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC03,They evaluate how media arts are used to celebrate and challenge perspectives of Australian identity.,Exploring and responding,"arts, australian, celebrate, challenge, evaluate, identity, media, perspectives, used",AC9AMA10E02,High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC04,"Students use media arts concepts to construct representations and communicate ideas, perspectives and/or meaning.",Creating and making,"and/or, arts, communicate, concepts, construct, ideas, meaning, media, perspectives, representations","AC9AMA10D01,AC9AMA10D02,AC9AMA10C01,AC9AMA10C02",High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC05,"They use responsible media practise and production processes to create media arts works in a range of genres/styles and/or forms, for specific audiences.",Creating and making,"and/or, arts, audiences, create, forms, genres/styles, media, practise, processes, production, range, responsible, specific, works","AC9AMA10E01,AC9AMA10D01,AC9AMA10D02,AC9AMA10C01,AC9AMA10C02",High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC06,They present their work to an audience.,Presenting and performing,"audience, present, work",AC9AMA10P01,High
The Arts,Media Arts,Years 9 and 10,AC9AMA10ASC07,"They plan where and how they could distribute their work and the relationships they could develop with their audiences, using responsible media practise.",Presenting and performing,"audiences, develop, distribute, media, plan, practise, relationships, responsible, where, work","AC9AMA10C01,AC9AMA10C02,AC9AMA10P01",High
