SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E01,"explore where, why and how media arts is created and/or distributed across cultures, times, places and/or other contexts",,"sequencing images, sounds and/or text to clearly establish the beginning, middle and end of a story or event; for example, taking a series of photographs or a short film sequence that represents comic superheroes and villains through setting, costume and body language"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E01,"explore where, why and how media arts is created and/or distributed across cultures, times, places and/or other contexts",,"identifying meaning and describing representations in media arts works from different social, cultural or historical contexts; for example, examining the different ways traditional stories are retold using media technologies or the use of stereotypes in advertising"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E01,"explore where, why and how media arts is created and/or distributed across cultures, times, places and/or other contexts",,"comparing media arts works made for different purposes using appropriate language, and identifying features such as use of conventions in a variety of media types"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E01,"explore where, why and how media arts is created and/or distributed across cultures, times, places and/or other contexts",,"using appropriate language to discuss the meaning of their own media arts works; for example, in writing or through an oral, visual or multimedia presentation"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E01,"explore where, why and how media arts is created and/or distributed across cultures, times, places and/or other contexts",,"investigating digital or analog storyboarding as a planning tool; for example, preparing a storyboard for a short film, stop motion or comic strip, to create a sequence of actions, changes or events; rearranging the sequence of boards, or adding and removing boards, to change the meaning or add new meaning to the narrative, and testing how a group of people responds"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E02,explore how First Nations Australians use media arts to communicate their connection to and responsibility for Country/Place,,"identifying meaning and describing representations in media arts works created and/or co-created by First Nations Australians, such as how traditional stories of First Nations Australians are being retold using media technologies and media arts concepts; for example, through animation, stop motion or green screen"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E02,explore how First Nations Australians use media arts to communicate their connection to and responsibility for Country/Place,,"recognising, through media arts, how First Nations Australians’ cultural expressions often contain and communicate connection to and responsibility for Country/Place, such as naming the Country and Traditional Owners, showing respect to the Traditional Owners and acknowledging their Ancestors, and the land, sea, sky and waterways, singing and/or speaking in language"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E02,explore how First Nations Australians use media arts to communicate their connection to and responsibility for Country/Place,,"exploring First Nations Australians’ use of media arts to express connection to and responsibility for Country/Place, such as communicating knowledge about the local seasons or using screen-based storytelling to maintain language and unique ways of life"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E02,explore how First Nations Australians use media arts to communicate their connection to and responsibility for Country/Place,,"exploring how First Nations Australians use media arts concepts to communicate their connection to and responsibility for Country/Place, such as use of media languages, media technologies or relationships; for example, learning about the diverse use of languages, symbols and icons"
The Arts,Media Arts,Years 3-4,Exploring and responding,,AC9AMA4E02,explore how First Nations Australians use media arts to communicate their connection to and responsibility for Country/Place,,"collecting and sharing information about media arts works created and produced by First Nations Australians for occasions such as festivals or ceremonies, and reflecting on how these media arts works can communicate important information or knowledge about Country/Place"
