SubjectArea,Subject,Band,Term,Definition
The Arts,Music,Foundation to Year 10,Aesthetic knowledge,"Understanding and appreciation of arts works through intellectual, emotional, sensory and/or physical responses. May refer to knowledge, qualities or skills."
The Arts,Music,Foundation to Year 10,Arts work,"In Australian Curriculum: The Arts, a collection of works from different subjects in The Arts, and/or a work in a hybrid, multi-arts or site-specific form."
The Arts,Music,Foundation to Year 10,Asia/Asian,"Geographically, the largest continent, bounded by Europe and the Pacific, Arctic and Indian oceans. It can be described in cultural, religious, historical and language boundaries or commonalities."
The Arts,Music,Foundation to Year 10,Belief,"Something that is accepted, considered to be true, or held as an opinion."
The Arts,Music,Foundation to Year 10,Belief systems,"A set of principles or tenets which together form the basis of a philosophy, moral code or religion."
The Arts,Music,Foundation to Year 10,Colonisation,"The act of setting up a colony away from one’s place of origin. With humans, it can be seen negatively because it tends to involve an invading culture taking control over an indigenous population."
The Arts,Music,Foundation to Year 10,Compositional devices,"Approaches or devices used to manipulate and organise sound (e.g. motif, repetition, abstraction, sequence, transition, contrast, variation, canon, inversion, unison, ground bass, imitation)."
The Arts,Music,Foundation to Year 10,Copyright,"Legal rights in creative work (e.g. text, images, music, computer programmes, sound recordings, film). The creator or copyright owner has the right to prevent others copying the work without permission."
The Arts,Music,Foundation to Year 10,Country/Place,"Spaces mapped out that individuals or groups of First Nations Peoples of Australia occupy and regard as their own and having varying degrees of spirituality. They include lands, waters and sky."
The Arts,Music,Foundation to Year 10,Cultural expressions,"Cultural content resulting from the creativity of societies, groups and individuals. They include cultural stories, body, cave and sand paintings, symbols, song, dance, artworks and material culture."
The Arts,Music,Foundation to Year 10,Cultural knowledge,Knowledge held by a person with cultural authority.
The Arts,Music,Foundation to Year 10,Culture,"A body of beliefs, attitudes, language/s, skills, knowledge, laws, customs and tools by which communities structure and organise their lives and interactions."
The Arts,Music,Foundation to Year 10,Digital tools,"Digital hardware, software, platforms and resources used to develop and communicate learning, ideas and information."
The Arts,Music,Foundation to Year 10,Dramatic action,"The driving force and forward motion of drama to create dramatic meaning, tension, belief and audience engagement."
The Arts,Music,Foundation to Year 10,Dramatic play,"A child-structured form of pretence, where children create fictional situations, adopt roles, establish spaces and symbolically transform objects."
The Arts,Music,Foundation to Year 10,Duration,A measure of time that an event or activity takes to complete.
The Arts,Music,Foundation to Year 10,Elements of art/design,"Visual conventions including but not limited to point, line, shape, form, tone, colour, texture and space."
The Arts,Music,Foundation to Year 10,Elements of music,"Duration/time (including beat, rhythm), pitch, dynamics and expression, form or structure, timbre and texture."
The Arts,Music,Foundation to Year 10,Embodied,"Describes aesthetic, sensory, cognitive and physical engagement through stillness, movement, exploration of space or working with materials; used to generate, develop or communicate ideas or meaning."
The Arts,Music,Foundation to Year 10,Form [Music],"The structure of a music work (e.g. 32-bar song form, binary – AB or theme and variations)."
The Arts,Music,Foundation to Year 10,Genre,"A category of dance, drama, media arts, music or visual arts works characterised by similarities in form, style or purpose, or subject matter, content, technique, conventions or ideologies."
The Arts,Music,Foundation to Year 10,Imaginative play,"Acting out and exploring real and imagined roles, tasks or stories. It may involve expressing feelings and choices, and experiencing multiple perspectives."
The Arts,Music,Foundation to Year 10,Indigenous Cultural and Intellectual Property (ICIP),"The rights of First Peoples of Australia to own and control their cultural heritage. It refers to all aspects of cultural heritage, including the tangible (e.g. cultural objects) and intangible (e.g. knowledge)."
The Arts,Music,Foundation to Year 10,Kinship,"A system used to decide how people relate to each other and their roles, responsibilities and duties. A feature of First Nations Australians' social organisation and family relationships."
The Arts,Music,Foundation to Year 10,Materials,"Resources used to create arts works, including stimulus material; digital tools; naturally occurring, recycled and/or traditional materials (e.g. cameras, editing software, paint, paper and clay)."
The Arts,Music,Foundation to Year 10,Place,"A space mapped out that individuals or groups of Torres Strait Islander Peoples occupy and regard as their own and having varying degrees of spirituality. It includes lands, waters and sky."
The Arts,Music,Foundation to Year 10,Play,"Any activity that is positively valued, self-motivated, freely chosen and engageing."
The Arts,Music,Foundation to Year 10,Protocols,"Rules, practises and/or customs of a group. Respectful ways of interacting with and experiencing the arts, including protocols for protecting Indigenous Cultural and Intellectual Property (ICIP) rights."
The Arts,Music,Foundation to Year 10,Region / regional,An area of the world sharing common characteristics (e.g. a geographical region such as South East Queensland or a regional intergovernmental organisation such as the Association of South-East Asian Nations (ASEAN)).
The Arts,Music,Foundation to Year 10,Stimulus material,"Anything that acts as inspiration for generating or developing ideas for arts works, including the world of the student, images, experiences, observations, provocations, sounds and texts."
The Arts,Music,Foundation to Year 10,Story,"A rich part of First Nations Australians' continuous oral tradition, linking social, cultural and ecological ways of knowing, being and doing. Cultural groups are custodians of their stories."
The Arts,Music,Foundation to Year 10,Style,"The distinctive characteristics of an arts form, arts works and/or arts practises that allow them to be grouped into related categories, by culture, time, place and/or other contexts."
The Arts,Music,Foundation to Year 10,Traditional owners,The original owners of a particular region based on their traditional and cultural associations with the land and who have ongoing traditional and cultural connections to that Country/Place.
The Arts,Music,Foundation to Year 10,Values,Ideas and beliefs specific to individuals and groups.
