SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Music,Foundation,AC9AMUFASC01,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Developing practices and skills,"about, and/or, arts, community, describe, encounter, experiences, feelings, foundation, home, ideas, observations, school, works, year","AC9AMUFE01,AC9AMUFP01",High
The Arts,Music,Foundation,AC9AMUFASC02,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Developing practices and skills,"and/or, arts, create, different, forms, imagination, knowledge, play, processes, share, skills, works","AC9AMUFE01,AC9AMUFD01,AC9AMUFC01,AC9AMUFP01",High
The Arts,Music,Years 1 and 2,AC9AMU2ASC01,"By the end of Year 2, students identify where they experience music.",Exploring and responding,"experience, identify, music, where, year",AC9AMU2E01,High
The Arts,Music,Years 1 and 2,AC9AMU2ASC02,"They describe where, why and/or how people across cultures, communities and/or other contexts experience music.",Exploring and responding,"across, and/or, communities, contexts, cultures, describe, experience, music, other, people, where","AC9AMU2E01, AC9AMU2E02",High
The Arts,Music,Years 1 and 2,AC9AMU2ASC03,Students demonstrate listening skills.,Developing practices and skills,"demonstrate, listening, skills","AC9AMU2E01,AC9AMU2E02,AC9AMU2D01,AC9AMU2C01,AC9AMU2P01",High
The Arts,Music,Years 1 and 2,AC9AMU2ASC04,They use the elements of music to improvise and/or compose music.,Creating and making,"and/or, compose, elements, improvise, music",AC9AMU2C01,High
The Arts,Music,Years 1 and 2,AC9AMU2ASC05,They sing and play music in informal settings.,Presenting and performing,"informal, music, play, settings, sing",AC9AMU2P01,High
The Arts,Music,Years 3 and 4,AC9AMU4ASC01,"By the end of Year 4, students describe the use of elements of music in music they compose, perform and/or experience.",Exploring and responding,"and/or, compose, describe, elements, experience, music, perform, year","AC9AMU4E01,AC9AMU4D01,AC9AMU4C01",High
The Arts,Music,Years 3 and 4,AC9AMU4ASC02,"They describe where, why and/or how music is composed and/or performed across cultures, times, places and/or other contexts.",Exploring and responding,"across, and/or, composed, contexts, cultures, describe, music, other, performed, places, times, where","AC9AMU4E01, AC9AMU4E02",High
The Arts,Music,Years 3 and 4,AC9AMU4ASC03,Students demonstrate listening skills when performing and composing.,Developing practices and skills,"composing, demonstrate, listening, performing, skills, when","AC9AMU4D01,AC9AMU4C01,AC9AMU4P01",High
The Arts,Music,Years 3 and 4,AC9AMU4ASC04,They combine the elements of music to compose music that communicates ideas.,Creating and making,"combine, communicates, compose, elements, ideas, music",AC9AMU4C01,High
The Arts,Music,Years 3 and 4,AC9AMU4ASC05,They sing and play music they have learnt and/or composed in informal settings.,Presenting and performing,"and/or, composed, informal, learnt, music, play, settings, sing",AC9AMU4P01,High
The Arts,Music,Years 5 and 6,AC9AMU6ASC01,"By the end of Year 6, students explain how elements of music are manipulated in music they compose, perform and/or experience.",Exploring and responding,"and/or, compose, elements, experience, explain, manipulated, music, perform, year","AC9AMU6E01,AC9AMU6C01,AC9AMU6P01",High
The Arts,Music,Years 5 and 6,AC9AMU6ASC02,"They describe how music composed and/or performed across contexts, cultures, times and/or places communicates ideas, perspectives and/or meaning.",Exploring and responding,"across, and/or, communicates, composed, contexts, cultures, describe, ideas, meaning, music, performed, perspectives, places, times","AC9AMU6E01, AC9AMU6E02",High
The Arts,Music,Years 5 and 6,AC9AMU6ASC03,They describe how music is used to continue and revitalise cultures.,Exploring and responding,"continue, cultures, describe, music, revitalise, used",AC9AMU6E02,High
The Arts,Music,Years 5 and 6,AC9AMU6ASC04,Students demonstrate listening and aural skills when composing and performing.,Developing practices and skills,"aural, composing, demonstrate, listening, performing, skills, when","AC9AMU6D01,AC9AMU6C01,AC9AMU6P01",High
The Arts,Music,Years 5 and 6,AC9AMU6ASC05,"They use elements of music and compositional devices to compose music that communicates ideas, and when practising music for a performance.",Developing practices and skills,"communicates, compose, compositional, devices, elements, ideas, music, performance, practising, when","AC9AMU6D01,AC9AMU6C01",High
The Arts,Music,Years 5 and 6,AC9AMU6ASC06,"They notate, document and/or record the music they compose.",Developing practices and skills,"and/or, compose, document, music, notate, record",AC9AMU6C01,High
The Arts,Music,Years 5 and 6,AC9AMU6ASC07,They perform music in formal and/or informal settings.,Presenting and performing,"and/or, formal, informal, music, perform, settings",AC9AMU6P01,High
The Arts,Music,Years 7 and 8,AC9AMU8ASC01,"By the end of Year 8, students analyse how the elements of music and/or compositional devices are manipulated in music they compose, perform and/or experience.",Creating and making,"analyse, and/or, compose, compositional, devices, elements, experience, manipulated, music, perform, year","AC9AMU8E01,AC9AMU8D02,AC9AMU8C01,AC9AMU8C02",High
The Arts,Music,Years 7 and 8,AC9AMU8ASC02,"They evaluate the ways music from across cultures, times, places and/or other contexts communicates ideas, perspectives and/or meaning.",Exploring and responding,"across, and/or, communicates, contexts, cultures, evaluate, ideas, meaning, music, other, perspectives, places, times, ways","AC9AMU8E01,AC9AMU8E02,AC9AMU8D02,AC9AMU8C01,AC9AMU8C02",High
The Arts,Music,Years 7 and 8,AC9AMU8ASC03,"They describe respectful approaches to composing, performing and/or responding to music.",Exploring and responding,"and/or, approaches, composing, describe, music, performing, respectful, responding",AC9AMU8E02,High
The Arts,Music,Years 7 and 8,AC9AMU8ASC04,Students demonstrate listening and aural skills when composing and performing.,Developing practices and skills,"aural, composing, demonstrate, listening, performing, skills, when","AC9AMU8D01,AC9AMU8D02,AC9AMU8C01,AC9AMU8C02,AC9AMU8P01",High
The Arts,Music,Years 7 and 8,AC9AMU8ASC05,"They manipulate elements of music and compositional devices to compose music that communicates ideas, perspectives and/or meaning.",Creating and making,"and/or, communicates, compose, compositional, devices, elements, ideas, manipulate, meaning, music, perspectives","AC9AMU8D02,AC9AMU8C02",High
The Arts,Music,Years 7 and 8,AC9AMU8ASC06,"They notate, document and/or record the music they compose.",Creating and making,"and/or, compose, document, music, notate, record","AC9AMU8D02,AC9AMU8C02",High
The Arts,Music,Years 7 and 8,AC9AMU8ASC07,They manipulate elements of music when performing their own and/or others’ music.,Developing practices and skills,"and/or, elements, manipulate, music, others’, performing, when",AC9AMU8D02,High
The Arts,Music,Years 7 and 8,AC9AMU8ASC08,They demonstrate performance skills when performing music for audiences.,Developing practices and skills,"audiences, demonstrate, music, performance, performing, skills, when","AC9AMU8D02,AC9AMU8P01",High
The Arts,Music,Years 9 and 10,AC9AMU10ASC01,"By the end of Year 10, students analyse ways composers and/or performers use the elements of music and compositional devices to engage audiences.",Exploring and responding,"analyse, and/or, audiences, composers, compositional, devices, elements, engage, music, performers, ways, year","AC9AMU10E01,AC9AMU10D02",High
