SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Music,Foundation,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Creating and making,"about,art,community,describe,encounter,experience,feeling,home,idea,observation,school,work",AC9AMUFE01,High
The Arts,Music,Foundation,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Developing practices and skills,"art,create,different,form,imagination,knowledge,play,processe,share,skill,use,work",AC9AMUFD01,High
The Arts,Music,Years 1-2,"By the end of Year 2, students identify where they experience music.",Exploring and responding,"experience,identify,music,where",AC9AMU2E01,High
The Arts,Music,Years 1-2,"They describe where, why and/or how people across cultures, communities and/or other contexts experience music.",Exploring and responding,"acros,communitie,context,culture,describe,experience,how,music,other,people,where,why","AC9AMU2E01, AC9AMU2E02",High
The Arts,Music,Years 1-2,Students demonstrate listening skills.,Developing practices and skills,"demonstrate,listening,skill",AC9AMU2D01,High
The Arts,Music,Years 1-2,They use the elements of music to improvise and/or compose music.,Creating and making,"compose,element,improvise,music,use",AC9AMU2C01,High
The Arts,Music,Years 1-2,They sing and play music in informal settings.,Presenting and performing,"informal,music,play,setting,sing",AC9AMU2P01,High
The Arts,Music,Years 3-4,"By the end of Year 4, students describe the use of elements of music in music they compose, perform and/or experience.",Developing practices and skills,"compose,describe,element,experience,music,perform,use",AC9AMU4D01,High
The Arts,Music,Years 3-4,"They describe where, why and/or how music is composed and/or performed across cultures, times, places and/or other contexts.",Exploring and responding,"acros,composed,context,culture,describe,how,music,other,performed,place,time,where,why","AC9AMU4E01, AC9AMU4E02",High
The Arts,Music,Years 3-4,Students demonstrate listening skills when performing and composing.,Developing practices and skills,"composing,demonstrate,listening,performing,skill,when",AC9AMU4P01,High
The Arts,Music,Years 3-4,They combine the elements of music to compose music that communicates ideas.,Exploring and responding,"combine,communicate,compose,element,idea,music",AC9AMU4C01,High
The Arts,Music,Years 3-4,They sing and play music they have learnt and/or composed in informal settings.,Presenting and performing,"composed,informal,learnt,music,play,setting,sing",AC9AMU4P01,High
The Arts,Music,Years 5-6,"By the end of Year 6, students explain how elements of music are manipulated in music they compose, perform and/or experience.",Creating and making,"compose,element,experience,explain,how,manipulated,music,perform",AC9AMU6C01,High
The Arts,Music,Years 5-6,"They describe how music composed and/or performed across contexts, cultures, times and/or places communicates ideas, perspectives and/or meaning.",Presenting and performing,"acros,communicate,composed,context,culture,describe,how,idea,meaning,music,performed,perspective,place,time","AC9AMU6E01, AC9AMU6E02",High
The Arts,Music,Years 5-6,They describe how music is used to continue and revitalise cultures.,Exploring and responding,"continue,culture,describe,how,music,revitalise,used",AC9AMU6E02,High
The Arts,Music,Years 5-6,Students demonstrate listening and aural skills when composing and performing.,Creating and making,"aural,composing,demonstrate,listening,performing,skill,when",AC9AMU6C01,High
The Arts,Music,Years 5-6,"They use elements of music and compositional devices to compose music that communicates ideas, and when practising music for a performance.",Developing practices and skills,"communicate,compose,compositional,device,element,idea,music,performance,practising,use,when",AC9AMU6D01,High
The Arts,Music,Years 5-6,"They notate, document and/or record the music they compose.",Creating and making,"compose,document,music,notate,record",AC9AMU6C01,High
The Arts,Music,Years 5-6,They perform music in formal and/or informal settings.,Presenting and performing,"formal,informal,music,perform,setting",AC9AMU6P01,High
The Arts,Music,Years 5-6,"By the end of Year 6, students explain the use of elements, concepts and/or conventions in arts works they create and/or experience.",Exploring and responding,"art,concept,convention,create,element,experience,explain,use,work",AC9AMU6E01,High
The Arts,Music,Years 5-6,"They describe how the arts communicate ideas, perspectives and/or meaning across cultures, times, places and/or other contexts.",Exploring and responding,"acros,art,communicate,context,culture,describe,how,idea,meaning,other,perspective,place,time","AC9AMU6E01, AC9AMU6E02",High
The Arts,Music,Years 5-6,They describe how the arts are used to continue and revitalise cultures.,Exploring and responding,"art,continue,culture,describe,how,revitalise,used",AC9AMU6E02,High
The Arts,Music,Years 5-6,"Students use subject-specific knowledge, elements, concepts, conventions, materials, skills and/or processes to create arts works that communicate ideas, perspectives and/or meaning.",Exploring and responding,"art,communicate,concept,convention,create,element,idea,knowledge,material,meaning,perspective,processe,skill,specific,subject,use,work",AC9AMU6D01,High
The Arts,Music,Years 5-6,They demonstrate safe practices.,Developing practices and skills,"demonstrate,practice,safe",AC9AMU6D01,High
The Arts,Music,Years 5-6,They present and perform their arts works in formal and/or informal settings.,Presenting and performing,"art,formal,informal,perform,present,setting,work",AC9AMU6P01,High
