SubjectArea,Subject,Band,Strand,Substrand,ContentCode,ContentDescription,Topic,Elaboration,EALDElaboration
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E01,"Investigate the ways that composers and/or performers use the elements of music and/or compositional devices in music composed across cultures, times, places and/or other contexts",,"Accessing and researching music through live or recorded/streamed performances to analyse performers’ interpretations of composers’ intentions; for example, using recordings and score/s or chart/s or other information such as an interview or review to identify how performers have interpreted a composer’s intentions, such as tempo choices, instrumentation, feel or articulation",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E01,"Investigate the ways that composers and/or performers use the elements of music and/or compositional devices in music composed across cultures, times, places and/or other contexts",,"Listening to live or recorded music and identifying stylistic characteristics; for example, analysing how elements of music are manipulated and how compositional devices are used; then using this information to describe features of a style or to inform their performance of music in that style",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E01,"Investigate the ways that composers and/or performers use the elements of music and/or compositional devices in music composed across cultures, times, places and/or other contexts",,"Listening to and evaluating how elements of music are manipulated in music composed by a range of composers, with the intention of drawing attention to social issues or values; for example, protest songs, nationalistic music, music that uses “folk”/traditional tunes in re-imagined ways, songs with lyrics that focus on themes such as identity or belonging",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E01,"Investigate the ways that composers and/or performers use the elements of music and/or compositional devices in music composed across cultures, times, places and/or other contexts",,"Researching and discussing the influence of social, cultural and historical developments relating to specific styles, forms or traditions and incorporating these into their performance and/or compositions; for example, conventions relating to forms such as 32-bar song form, genres such as chamber music, or traditions such as singer-songwriter",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E02,"Investigate the diversity of music composed and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Exploring ways that First Nations Australian composers and/or performers communicate their ideas and messages across communities and cultures; for example, by asking questions such as “What are the impacts of this musician’s/these musicians’ music?” and “What music styles or genres is this musician drawing on in creating their own music?”",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E02,"Investigate the diversity of music composed and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating when, how and why copyright and/or Indigenous Cultural and Intellectual Property rights might be relevant to their practice as, for example, listeners, songwriters, composers and/or performers",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E02,"Investigate the diversity of music composed and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Exploring how protocols for protecting Indigenous Cultural and Intellectual Property rights exist to help students make ethical choices about how they use music, as listeners or creators; for example, by asking questions such as, “Who wrote this music?”, “May I use ideas from this song, and do I need permission to do so?”",
The Arts,Music,Years 7 and 8,Exploring and responding,,AC9AMU8E02,"Investigate the diversity of music composed and/or performed by First Nations Australians, considering culturally responsive approaches to Indigenous Cultural and Intellectual Property rights",,"Investigating issues relating to the use of First Nations Australian languages or stories in lyrics and songs or music for screen-based works; for example, considering case studies that illustrate protocols relating to Indigenous Cultural and Intellectual Property rights",
The Arts,Music,Years 7 and 8,Developing practices and skills,,AC9AMU8D01,Develop and practise listening/aural skills and vocal and/or instrumental skills/techniques for manipulating elements of music to achieve expressive effects,,"Experimenting with ways in which vocal/instrumental techniques can be used to manipulate elements of music to achieve intended effects, such as an expressive sound that is typical of a particular style, and transcribing or documenting their ideas as a reference for future performances or composition",
The Arts,Music,Years 7 and 8,Developing practices and skills,,AC9AMU8D01,Develop and practise listening/aural skills and vocal and/or instrumental skills/techniques for manipulating elements of music to achieve expressive effects,,"Practising technical and expressive skills such as intonation, pitch/rhythmic accuracy, phrasing or shaping dynamics and articulation to communicate expressive intent using voices and/or instruments",
