SubjectArea,Subject,Band,ASComponentCode,ASComponentText,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Visual Arts,Foundation,AC9AVAFASC01,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Exploring and responding,"about, and/or, arts, community, describe, encounter, experiences, feelings, foundation, home, ideas, observations, school, works, year","AC9AVAFE01,AC9AVAFP01",High
The Arts,Visual Arts,Foundation,AC9AVAFASC02,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Exploring and responding,"and/or, arts, create, different, forms, imagination, knowledge, play, processes, share, skills, works","AC9AVAFE01,AC9AVAFD01,AC9AVAFC01,AC9AVAFP01",High
The Arts,Visual Arts,Years 1 and 2,AC9AVA2ASC01,"By the end of Year 2, students identify where they experience visual arts.",Exploring and responding,"arts, experience, identify, visual, where, year",AC9AVA2E01,High
The Arts,Visual Arts,Years 1 and 2,AC9AVA2ASC02,"They describe where, why and/or how people across cultures, communities and/or other contexts experience visual arts.",Exploring and responding,"across, and/or, arts, communities, contexts, cultures, describe, experience, other, people, visual, where","AC9AVA2E01, AC9AVA2E02",High
The Arts,Visual Arts,Years 1 and 2,AC9AVA2ASC03,"Students experiment with visual conventions, visual arts processes and materials.",Developing practices and skills,"arts, conventions, experiment, materials, processes, visual",AC9AVA2D01,High
The Arts,Visual Arts,Years 1 and 2,AC9AVA2ASC04,They make and share artworks in informal settings.,Creating and making,"artworks, informal, make, settings, share","AC9AVA2C01,AC9AVA2P01",High
The Arts,Visual Arts,Years 3 and 4,AC9AVA4ASC01,"By the end of Year 4, students describe the use of visual conventions, visual arts processes and materials in artworks they create and/or experience.",Exploring and responding,"and/or, arts, artworks, conventions, create, describe, experience, materials, processes, visual, year","AC9AVA4E01, AC9AVA4D01,AC9AVA4C01",High
The Arts,Visual Arts,Years 3 and 4,AC9AVA4ASC02,"They describe where, why and/or how visual artists create and/or display artworks across cultures, times, places and/or other contexts.",Exploring and responding,"across, and/or, artists, artworks, contexts, create, cultures, describe, display, other, places, times, visual, where","AC9AVA4E01,AC9AVA4E02",High
The Arts,Visual Arts,Years 3 and 4,AC9AVA4ASC03,"Students use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and/or meaning.",Developing practices and skills,"and/or, arts, artworks, communicate, conventions, create, ideas, materials, meaning, perspectives, processes, visual","AC9AVA4D01,AC9AVA4C01",High
The Arts,Visual Arts,Years 3 and 4,AC9AVA4ASC04,They share or display their artworks and/or visual arts practise in informal settings.,Presenting and performing,"and/or, arts, artworks, display, informal, practise, settings, share, visual",AC9AVA4P01,High
The Arts,Visual Arts,Years 5 and 6,AC9AVA6ASC01,"By the end of Year 6, students explain the ways that visual conventions, visual arts processes and materials are used in artworks they create and/or experience.",Exploring and responding,"and/or, arts, artworks, conventions, create, experience, explain, materials, processes, used, visual, ways, year","AC9AVA6E01,AC9AVA6C01,AC9AVA6P01",High
The Arts,Visual Arts,Years 5 and 6,AC9AVA6ASC02,"They describe how artworks created across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning.",Exploring and responding,"across, and/or, artworks, communicate, contexts, created, cultures, describe, ideas, meaning, other, perspectives, places, times","AC9AVA6E01,AC9AVA6E02",High
The Arts,Visual Arts,Years 5 and 6,AC9AVA6ASC03,They describe how visual arts are used to continue and revitalise cultures.,Exploring and responding,"arts, continue, cultures, describe, revitalise, used, visual",AC9AVA6E02,High
The Arts,Visual Arts,Years 5 and 6,AC9AVA6ASC04,Students develop and document ideas for their own artworks.,Developing practices and skills,"artworks, develop, document, ideas", AC9AVA6D01,High
The Arts,Visual Arts,Years 5 and 6,AC9AVA6ASC05,"They select and use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and/or meaning.",Developing practices and skills,"and/or, arts, artworks, communicate, conventions, create, ideas, materials, meaning, perspectives, processes, select, visual","AC9AVA6D01,AC9AVA6C01",High
The Arts,Visual Arts,Years 5 and 6,AC9AVA6ASC06,"They present documentation and artworks that communicate ideas, perspectives or meaning in informal and/or formal settings.",Presenting and performing,"and/or, artworks, communicate, documentation, formal, ideas, informal, meaning, perspectives, present, settings",AC9AVA6P01,High
The Arts,Visual Arts,Years 7 and 8,AC9AVA8ASC01,"By the end of Year 8, students analyse how visual conventions, visual arts processes and materials are manipulated in artworks they create and/or experience.",Exploring and responding,"analyse, and/or, arts, artworks, conventions, create, experience, manipulated, materials, processes, visual, year","AC9AVA8E01,AC9AVA8D02,AC9AVA8C01",High
The Arts,Visual Arts,Years 7 and 8,AC9AVA8ASC02,"They evaluate the ways that visual artists across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning through their visual arts practise.",Exploring and responding,"across, and/or, artists, arts, communicate, contexts, cultures, evaluate, ideas, meaning, other, perspectives, places, practise, times, visual, ways","AC9AVA8E01,AC9AVA8E02,AC9AVA8D02,AC9AVA8C01",High
The Arts,Visual Arts,Years 7 and 8,AC9AVA8ASC03,They describe respectful approaches to creating and/or responding to artworks.,Exploring and responding,"and/or, approaches, artworks, creating, describe, respectful, responding",AC9AVA8E02,High
The Arts,Visual Arts,Years 7 and 8,AC9AVA8ASC04,"Students generate, document and develop ideas for artworks.",Exploring and responding,"artworks, develop, document, generate, ideas","AC9AVA8E01,AC9AVA8D02,AC9AVA8C01",High
The Arts,Visual Arts,Years 7 and 8,AC9AVA8ASC05,They reflect on their visual arts practise.,Developing practices and skills,"arts, practise, reflect, visual","AC9AVA8E01,AC9AVA8D02,AC9AVA8C01,AC9AVA8C02,AC9AVA8P01",High
