SubjectArea,Subject,Band,Text,Strand,Keywords,LinkedContentCodes,ConfidenceScore
The Arts,Visual Arts,Foundation,"By the end of the Foundation year, students describe experiences, observations, ideas and/or feelings about arts works they encounter at school, home and/or in the community.",Exploring and responding,"foundation, year, describe, experiences, observations, ideas, feelings, about, arts, works",AC9AVAFE01,High
The Arts,Visual Arts,Foundation,"Students use play, imagination, arts knowledge, processes and/or skills to create and share arts works in different forms.",Presenting and performing,"play, imagination, arts, knowledge, processes, skills, create, share, works, different",AC9AVAFP01,High
The Arts,Visual Arts,Years 1-2,"By the end of Year 2, students identify where they experience visual arts.",Exploring and responding,"year, identify, where, experience, visual, arts",AC9AVA2E01,High
The Arts,Visual Arts,Years 1-2,"They describe where, why and/or how people across cultures, communities and/or other contexts experience visual arts.",Exploring and responding,"describe, where, people, across, cultures, communities, other, contexts, experience, visual","AC9AVA2E01, AC9AVA2E02",High
The Arts,Visual Arts,Years 1-2,"Students experiment with visual conventions, visual arts processes and materials.",Developing practices and skills,"experiment, visual, conventions, arts, processes, materials",AC9AVA2D01,High
The Arts,Visual Arts,Years 1-2,They make and share artworks in informal settings.,Presenting and performing,"make, share, artworks, informal, settings",AC9AVA2C01,High
The Arts,Visual Arts,Years 3-4,"By the end of Year 4, students describe the use of visual conventions, visual arts processes and materials in artworks they create and/or experience.",Creating and making,"year, describe, visual, conventions, arts, processes, materials, artworks, create, experience",AC9AVA4C01,High
The Arts,Visual Arts,Years 3-4,"They describe where, why and/or how visual artists create and/or display artworks across cultures, times, places and/or other contexts.",Presenting and performing,"describe, where, visual, artists, create, display, artworks, across, cultures, times","AC9AVA4E01, AC9AVA4E02",High
The Arts,Visual Arts,Years 3-4,"Students use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and/or meaning.",Creating and making,"visual, conventions, arts, processes, materials, create, artworks, communicate, ideas, perspectives",AC9AVA4C01,High
The Arts,Visual Arts,Years 3-4,They share or display their artworks and/or visual arts practice in informal settings.,Presenting and performing,"share, display, artworks, visual, arts, practice, informal, settings",AC9AVA4P01,High
The Arts,Visual Arts,Years 5-6,"By the end of Year 6, students explain the ways that visual conventions, visual arts processes and materials are used in artworks they create and/or experience.",Exploring and responding,"year, explain, ways, visual, conventions, arts, processes, materials, used, artworks",AC9AVA6E01,High
The Arts,Visual Arts,Years 5-6,"They describe how artworks created across cultures, times, places and/or other contexts communicate ideas, perspectives and/or meaning.",Creating and making,"describe, artworks, created, across, cultures, times, places, other, contexts, communicate","AC9AVA6E02, AC9AVA6E01",High
The Arts,Visual Arts,Years 5-6,They describe how visual arts are used to continue and revitalise cultures.,Exploring and responding,"describe, visual, arts, used, continue, revitalise, cultures",AC9AVA6E02,High
The Arts,Visual Arts,Years 5-6,Students develop and document ideas for their own artworks.,Creating and making,"develop, document, ideas, artworks", AC9AVA6D01,High
The Arts,Visual Arts,Years 5-6,"They select and use visual conventions, visual arts processes and materials to create artworks that communicate ideas, perspectives and/or meaning.",Creating and making,"select, visual, conventions, arts, processes, materials, create, artworks, communicate, ideas",AC9AVA6C01,High
The Arts,Visual Arts,Years 5-6,"They present documentation and artworks that communicate ideas, perspectives or meaning in informal and/or formal settings.",Presenting and performing,"present, documentation, artworks, communicate, ideas, perspectives, meaning, informal, formal, settings",AC9AVA6P01,High
